variant_id,view,split,control_id,rows,days,trade_count,trades_per_day,net_proxy,gross_profit,gross_loss,proxy_pf,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,max_drawdown,recovery_factor,time_under_water_bars,max_consecutive_loss,long_count,short_count,side_min_share,avg_cost_penalty,regime_coverage_count,cost_high_trade_share
v01_worst_tier_path_utility,tier_a_separate,train,all_trade_no_abstain,29217,573,29217,50.989529,-0.69144395,40.39463462,41.08607857,0.983171,0.482493,0.00286548,-0.00271733,1.054518,-2.367e-05,2.1371176,-0.32354,28987,31,14478,14739,0.495533,0.00028213,52,0.393949
v01_worst_tier_path_utility,tier_a_separate,train,random_abstain_rate_match_single,29217,573,3966,6.921466,-0.13753998,5.58381033,5.72135032,0.97596,0.484871,0.0029037,-0.00280047,1.036863,-3.468e-05,0.39684445,-0.346584,3962,13,2020,1946,0.490671,0.00028435,49,0.394352
v01_worst_tier_path_utility,tier_a_separate,train,density_only_high_density_control,29217,573,3966,6.921466,-0.32191725,6.16610162,6.48801887,0.950383,0.471004,0.00330091,-0.00309248,1.0674,-8.117e-05,0.50874352,-0.632769,3958,18,1552,2414,0.391326,0.00036521,42,0.774584
v01_worst_tier_path_utility,tier_a_separate,train,unbudgeted_strength_rank_replay,29217,573,3966,6.921466,1.08907206,5.07335736,3.9842853,1.273342,0.490671,0.00260707,-0.00197242,1.321763,0.0002746,0.38061459,2.861351,3607,27,1681,2285,0.423853,0.00024363,45,0.191377
v01_worst_tier_path_utility,tier_a_separate,validation,all_trade_no_abstain,9836,183,9836,53.748634,-4.69255364,12.17501455,16.86756819,0.7218,0.440931,0.00280724,-0.00306739,0.91519,-0.00047708,4.72023683,-0.994135,9830,29,4079,5757,0.414701,0.00029195,51,0.394876
v01_worst_tier_path_utility,tier_a_separate,validation,random_abstain_rate_match_single,9836,183,2164,11.825137,-1.02495375,2.76272547,3.78767923,0.729398,0.437616,0.00291734,-0.00311231,0.937357,-0.00047364,1.02495375,-1.0,2164,16,919,1245,0.424677,0.00029592,49,0.408965
v01_worst_tier_path_utility,tier_a_separate,validation,density_only_high_density_control,9836,183,2164,11.825137,-0.92689292,3.16100137,4.08789429,0.773259,0.434843,0.00335919,-0.00334251,1.00499,-0.00042832,1.03602329,-0.894664,2143,21,756,1408,0.349353,0.00036375,43,0.676063
v01_worst_tier_path_utility,tier_a_separate,validation,unbudgeted_strength_rank_replay,9836,183,2164,11.825137,-0.5204698,1.87856819,2.39903799,0.783051,0.432532,0.00200702,-0.00195361,1.027336,-0.00024051,0.64581687,-0.805909,2135,40,535,1629,0.247227,0.00024815,44,0.177911
v01_worst_tier_path_utility,tier_a_separate,oos,all_trade_no_abstain,7575,131,7575,57.824427,-0.76351681,9.20315744,9.96667426,0.923393,0.468383,0.0025939,-0.00247496,1.048056,-0.00010079,1.08157723,-0.705929,7545,40,2855,4720,0.376898,0.00027241,50,0.370033
v01_worst_tier_path_utility,tier_a_separate,oos,random_abstain_rate_match_single,7575,131,2059,15.717557,-0.20467414,2.50897254,2.71364667,0.924576,0.471102,0.00258657,-0.00249187,1.038003,-9.94e-05,0.34616055,-0.591269,2047,18,728,1331,0.35357,0.00027151,49,0.365712
