attempt_name,artifact_slug,role,horizon_id,cost_level,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,max_drawdown_after_cost,survives_pf_gt_1,stress_boundary
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,0.0,1.45,1.004247,0.019333,106.45,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,0.25,-17.3,0.950635,-0.230667,109.2,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,0.5,-36.05,0.89973,-0.480667,111.95,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,1.0,-73.55,0.805598,-0.980667,117.45,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,2.0,-148.55,0.643697,-1.980667,157.55,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,3.0,-223.55,0.512538,-2.980667,225.55,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,5.0,-373.55,0.322432,-4.980667,373.55,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,0.0,-45.13,0.691144,-1.611786,106.45,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,0.25,-52.13,0.653322,-1.861786,109.2,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,0.5,-59.13,0.617776,-2.111786,111.95,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,1.0,-73.13,0.554113,-2.611786,117.45,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,2.0,-101.13,0.449153,-3.611786,128.45,False,synthetic round-trip account-currency cost; no retuning
