attempt_name,artifact_slug,role,horizon_id,source_attempt,start_time,end_time,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,max_drawdown,claim_boundary
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,all,2026-04-14 08:00:00,2026-05-22 18:10:00,75,1.45,342.9,-341.45,1.004247,0.019333,0.52,8.792308,-9.484722,106.45,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,all,2026-04-14 08:00:00,2026-05-03 13:05:00,28,-45.13,100.99,-146.12,0.691144,-1.611786,0.392857,9.180909,-8.595294,106.45,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,all,2026-05-03 13:05:00,2026-05-22 18:10:00,47,46.58,241.91,-195.33,1.238468,0.991064,0.595745,8.639643,-10.280526,89.02,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,all,2026-04-14 08:00:00,2026-04-30 20:45:00,27,-47.62,98.5,-146.12,0.674103,-1.763704,0.37037,9.85,-8.595294,106.45,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,all,2026-05-01 08:00:00,2026-05-22 18:10:00,48,49.07,244.4,-195.33,1.251216,1.022292,0.604167,8.427586,-10.280526,89.02,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,c56_bal_rf,2026-05-15 17:20:00,2026-05-20 16:35:00,20,-66.07,75.81,-141.88,0.534325,-3.3035,0.35,10.83,-10.913846,89.02,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,all,2026-04-14 08:00:00,2026-05-22 18:10:00,277,57.84,774.64,-716.8,1.080692,0.208809,0.509025,5.493901,-5.270588,133.91,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,all,2026-04-14 08:00:00,2026-05-03 13:05:00,120,-84.42,218.83,-303.25,0.721616,-0.7035,0.475,3.839123,-4.813492,133.91,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,all,2026-05-03 13:05:00,2026-05-22 18:10:00,157,142.26,555.81,-413.55,1.343997,0.906115,0.535032,6.616786,-5.665068,48.47,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,all,2026-04-14 08:00:00,2026-04-30 20:45:00,115,-79.83,216.34,-296.17,0.730459,-0.694174,0.486957,3.863214,-5.019831,133.91,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,all,2026-05-01 08:00:00,2026-05-22 18:10:00,162,137.67,558.3,-420.63,1.327295,0.849815,0.524691,6.568235,-5.462727,48.47,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,m48_bal_rf,2026-04-28 12:50:00,2026-04-30 08:35:00,20,-79.99,32.03,-112.02,0.285931,-3.9995,0.35,4.575714,-8.616923,90.91,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,all,2026-04-14 08:00:00,2026-05-22 18:10:00,323,8.66,829.99,-821.33,1.010544,0.026811,0.510836,5.030242,-5.198291,158.45,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,all,2026-04-14 08:00:00,2026-05-03 13:05:00,145,-114.91,257.91,-372.82,0.691782,-0.792483,0.468966,3.792794,-4.841818,158.45,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,all,2026-05-03 13:05:00,2026-05-22 18:10:00,178,123.57,572.08,-448.51,1.275512,0.694213,0.544944,5.897732,-5.53716,48.51,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,all,2026-04-14 08:00:00,2026-04-30 20:45:00,136,-116.79,244.9,-361.69,0.677099,-0.85875,0.477941,3.767692,-5.094225,158.45,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,all,2026-05-01 08:00:00,2026-05-22 18:10:00,187,125.45,585.09,-459.64,1.272931,0.670856,0.534759,5.8509,-5.283218,48.51,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
