variant_id,family,split,decision_policy,threshold_policy,trade_count,days_in_scope,trades_per_day,short_trade_count,long_trade_count,flat_count,net_profit,profit_factor,expectancy,win_rate,max_drawdown_percent,max_monthly_drawdown_percent,underwater_ratio,max_loss_streak,equity_trend_r2,density_axis_distance,pf_axis_distance,dd_axis_distance,smoothness_axis_distance,joint_axis_distance,density_pass,pf_pass,dd_pass,smoothness_pass,mean_p_short,mean_p_flat,mean_p_long,mean_probability_margin,proxy_cost_log_return
f19b_xgb_depth2_l2_backbone_control,xgboost,train,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",18941,573,33.05584642233857,4432,14509,10281,7.752739585783947,1.2859407614832226,0.00040930994064642556,0.5603188849585555,48.34310249380932,42.52166948165224,0.8988965735705612,29,0.9659959482146945,2.305584642233857,0.3570296192583887,3.834310249380932,0.51980528141014,7.016729792283318,False,False,False,False,0.30995688295747437,0.3305604214063008,0.3594826958988385,0.0736608901280706,5e-05
f19b_xgb_depth2_l2_backbone_control,xgboost,validation,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",5982,183,32.68852459016394,1017,4965,3862,-0.18566671759144943,0.9838943771962263,-3.1037565628794624e-05,0.5224005349381478,81.34846748748956,65.75127025717097,0.9886325643597459,37,0.005693524903361347,2.2688524590163937,0.5080528114018869,7.134846748748956,1.992322567755373,11.90407458692261,False,False,False,False,0.30321184339433943,0.33054181719739983,0.3662463392016366,0.09657161117163145,5e-05
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",4850,131,37.02290076335878,787,4063,2734,0.19973051988137738,1.0266880736259871,4.118155049100565e-05,0.516701030927835,48.008740651148926,48.00874065114894,0.9738144329896907,31,0.42577760195493775,2.7022900763358777,0.48665596318700644,3.8008740651148942,0.7966165739656389,7.786436678603417,False,False,False,False,0.3030764482137335,0.32848680665999463,0.36843674515770897,0.09536236390385007,5e-05
f19b_xgb_depth3_balanced_l2_backbone,xgboost,train,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",17226,573,30.06282722513089,9932,7294,11996,15.562710928791178,1.7278926062299365,0.000903443105119655,0.6003134796238244,21.72506054572758,21.725060545729313,0.7778358295599674,29,0.986349238116329,2.006282722513089,0.13605369688503177,1.1725060545729313,0.4561689661496373,3.77101144012069,False,False,False,False,0.3323494205596176,0.33404358969833703,0.333606990135456,0.08335411286561709,5e-05
f19b_xgb_depth3_balanced_l2_backbone,xgboost,validation,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",5616,183,30.688524590163933,2595,3021,4228,-0.8048143977284787,0.9298461930928978,-0.00014330740700293425,0.49145299145299143,75.89775336618968,55.79263208234262,0.9980413105413105,34,0.022829950635000852,2.0688524590163935,0.5350769034535511,6.589775336618968,1.9888451119578394,11.182549811046751,False,False,False,False,0.32524975028974357,0.33375425452471674,0.34099599503189604,0.10102525831316361,5e-05
f19b_xgb_depth3_balanced_l2_backbone,xgboost,oos,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",4561,131,34.81679389312977,2222,2339,3023,0.019563708480457853,1.0026778516768602,4.28934630135011e-06,0.5060293795220346,47.128537954478844,39.663731466634225,0.9745669809252357,27,0.20319519540805772,2.481679389312977,0.4986610741615699,3.7128537954478844,0.8971173034827301,7.590311562405162,False,False,False,False,0.326707647793105,0.3321885859882577,0.3411037662314086,0.09713968236140813,5e-05
f19b_cat_ordered_depth3_backbone,catboost,train,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",18657,573,32.56020942408377,3370,15287,10565,6.012536926370702,1.2179181790522586,0.00032226708079384156,0.5540547783673688,49.26005183129486,45.56582457936794,0.9173500562791446,38,0.9613836138639389,2.2560209424083775,0.3910409104738707,3.9260051831294858,0.5301848990868425,7.1032519350985766,False,False,False,False,0.3107494185861192,0.33016369450705985,0.35908688690682095,0.06942308806797153,5e-05
f19b_cat_ordered_depth3_backbone,catboost,validation,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",5849,183,31.961748633879782,820,5029,3995,0.28701714041963766,1.0256946570990235,4.9071147276395565e-05,0.5313728842537185,81.26162980005735,73.1121313814591,0.9758933150965977,40,0.16356900881852302,2.196174863387978,0.48715267145048824,7.126162980005735,0.9155459378251336,10.725036452669334,False,False,False,False,0.30643563903616194,0.32924168172922214,0.3643226792346159,0.0919309102903183,5e-05
f19b_cat_ordered_depth3_backbone,catboost,oos,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",4803,131,36.66412213740458,549,4254,2781,0.37547514078286787,1.0512177340051903,7.817512820796749e-05,0.5209244222361025,41.17784716541726,41.17784716541725,0.9704351447012284,36,0.46556216152743596,2.6664122137404584,0.4743911329974049,3.1177847165417263,0.7771928424282066,7.035780905707796,False,False,False,False,0.3064055654579162,0.3245454352880591,0.3690489992540247,0.09317433223531679,5e-05
f19b_cat_plain_depth3_backbone_control,catboost,train,argmax_nonflat_control(최대확률 비중립 대조),"none_no_threshold_search(없음, 임계값 탐색 없음)",18621,573,32.49738219895288,3449,15172,10601,6.885191620192159,1.2538489595598519,0.0003697541281452209,0.5585092100316846,46.19361092826351,44.41433830348215,0.906396004511036,37,0.9613138956467496,2.2497382198952875,0.37307552022007406,3.619361092826351,0.5252869489889289,6.767461781930641,False,False,False,False,0.31062596815739346,0.330142424670715,0.3592316071718916,0.06967888678637055,5e-05
