variant_id,family,split,period,trade_count,days_in_scope,trades_per_day,net_profit,profit_factor,max_drawdown_percent,max_monthly_drawdown_percent,audit_role
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,2025-10,614,23,26.695652173913043,-0.4511505312591209,0.6082023826184106,40.706811704220094,40.706811704220094,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,2025-11,824,18,45.77777777777778,0.44031041565415646,1.3074256583253139,36.18839376598141,36.18839376598141,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,2025-12,573,21,27.285714285714285,-0.06922270040993893,0.9131290913200669,18.664352005376195,18.664352005376195,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,2026-01,576,20,28.8,0.026250659324479092,1.0308446422382378,14.377351148093165,14.377351148093165,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,2026-02,874,19,46.0,0.1886290060303407,1.1427312183232727,17.440068213955684,17.440068213955684,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,2026-03,1095,22,49.77272727272727,-0.22680447124888437,0.8643508723285979,48.00874065114894,48.00874065114894,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,oos,2026-04,294,8,36.75,0.2917181417903456,2.1277171615323067,6.779695935856623,6.779695935856623,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2022-09,1207,20,60.35,0.5252852092173437,1.2316223620416458,23.357113024726406,23.357113024726406,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2022-10,1259,21,59.95238095238095,1.751147771526576,1.924052218516394,24.956769545027633,24.956769545027633,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2022-11,907,20,45.35,0.28705318941443536,1.176338888132589,25.989147251616284,25.989147251616284,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2022-12,1086,21,51.714285714285715,-0.10167989630666559,0.945134421637703,30.317503243573405,30.317503243573405,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-01,858,19,45.1578947368421,0.5946136324559206,1.5207846454554417,12.418745924358598,12.418745924358598,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-02,895,19,47.10526315789474,0.37908928726803776,1.2568925664618475,24.66149576043811,24.66149576043811,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-03,885,23,38.47826086956522,0.7178349269078461,1.5736264925365948,15.988203571473036,15.988203571473036,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-04,445,19,23.42105263157895,-0.1076737656103578,0.8419198894659852,22.21599312704532,22.21599312704532,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-05,480,22,21.818181818181817,0.08002248681839409,1.1277067562400787,11.42220652201451,11.42220652201451,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-06,555,21,26.428571428571427,0.32445806319193804,1.484503831167244,10.333541175559835,10.333541175559835,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-07,386,19,20.31578947368421,-0.07567134516109651,0.8513468858980276,22.923326298801417,22.923326298801417,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
f19b_xgb_depth2_l2_backbone_control,xgboost,train,2023-08,823,23,35.78260869565217,0.50844697438062,1.5337942316971442,15.96924108303086,15.96924108303086,"stability_audit_tie_break_only(안정성 감사, 동률 처리 전용)"
