run_id,variant_id,split,axis,bucket,trade_count,net_profit,trade_share,profit_per_trade
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,session_slice,early,313,40.17,0.398219,0.128339
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,session_slice,late,220,307.09,0.279898,1.395864
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,session_slice,mid,253,87.82,0.321883,0.347115
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,volatility_regime,feature_missing,1,-0.95,0.001272,-0.95
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,volatility_regime,vol_high,293,265.61,0.372774,0.906519
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,volatility_regime,vol_low,294,36.67,0.374046,0.124728
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,volatility_regime,vol_mid,198,133.75,0.251908,0.675505
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,trend_regime,downtrend,518,379.18,0.659033,0.732008
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,trend_regime,feature_missing,1,-0.95,0.001272,-0.95
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,trend_regime,range_or_weak_trend,267,56.85,0.339695,0.212921
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,adx_bucket,adx_20_25,110,131.78,0.139949,1.198
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,adx_bucket,adx_gt25,408,247.4,0.519084,0.606373
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,adx_bucket,adx_lt20,267,56.85,0.339695,0.212921
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,adx_bucket,feature_missing,1,-0.95,0.001272,-0.95
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,spread_regime,feature_missing,1,-0.95,0.001272,-0.95
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,validation,spread_regime,spread_low,785,436.03,0.998728,0.555452
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,session_slice,early,235,96.47,0.39629,0.410511
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,session_slice,late,172,-135.04,0.290051,-0.785116
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,session_slice,mid,186,46.23,0.313659,0.248548
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,volatility_regime,vol_high,204,89.91,0.344013,0.440735
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,volatility_regime,vol_low,204,-99.12,0.344013,-0.485882
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,volatility_regime,vol_mid,185,16.87,0.311973,0.091189
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,trend_regime,downtrend,408,13.63,0.688027,0.033407
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,trend_regime,range_or_weak_trend,185,-5.97,0.311973,-0.03227
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,adx_bucket,adx_20_25,82,-21.96,0.13828,-0.267805
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,adx_bucket,adx_gt25,326,35.59,0.549747,0.109172
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,adx_bucket,adx_lt20,185,-5.97,0.311973,-0.03227
run50AV_nf200c12_h4_s240l150_a_logreg_deep_v1,nf200c12_h4_s240l150_a,oos,spread_regime,spread_low,593,7.66,1.0,0.012917
