variant_id,group,run_id,external_verification_status,threshold_id,tier_a_short_threshold,tier_a_long_threshold,tier_a_min_margin,tier_b_short_threshold,tier_b_long_threshold,tier_b_min_margin,max_hold_bars,session_slice_id,tier_b_allowed_subtypes,tier_a_validation_closed_trades,tier_a_validation_net_profit,tier_a_validation_profit_factor,tier_a_oos_closed_trades,tier_a_oos_net_profit,tier_a_oos_profit_factor,tier_b_validation_closed_trades,tier_b_validation_net_profit,tier_b_validation_profit_factor,tier_b_oos_closed_trades,tier_b_oos_net_profit,tier_b_oos_profit_factor,routed_validation_closed_trades,routed_validation_trades_per_day,routed_validation_net_profit,routed_validation_profit_factor,routed_validation_drawdown,routed_validation_short_trades,routed_validation_long_trades,routed_oos_closed_trades,routed_oos_trades_per_day,routed_oos_net_profit,routed_oos_profit_factor,routed_oos_drawdown,routed_oos_short_trades,routed_oos_long_trades,routed_validation_b_fallback_bars,routed_oos_b_fallback_bars,route_coverage_by_split,base_id,routed_fallback_enabled,routed_validation_report_path,routed_validation_aggregation,routed_oos_report_path,routed_oos_aggregation,reentry_cooldown_bars,judgment,error,summary_path,notes
h10_s390l300_aonly,hold_extension_direction_disablement,run50J_h10_s390l300_aonly_logreg_deep_v1,completed,a_stage56_h10_s390l300_aonly_a_s390_l300_m000__b_disabled__hold10__cool0,0.39,0.3,0.0,0.45,0.45,0.0,10,,,823,327.11,1.11,626,107.53,1.04,14,139.19,2.35,32,-37.69,0.87,823,4.497268,327.11,1.11,237.27,262,561,626,3.210256,107.53,1.04,201.51,193,433,,,{},h10_s390l300,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s390l300_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s390l300_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s390l300_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s390l300_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s390l300_aonly/summary.json,hold extension to test whether density survives without same-move split; A-only matched comparison
h10_s390l300_b045,hold_extension_direction_comparison,run50J_h10_s390l300_b045_logreg_deep_v1,completed,a_stage56_h10_s390l300_b045_a_s390_l300_m000__b_stage56_h10_s390l300_b045_b_s450_l450_m000__hold10__cool0,0.39,0.3,0.0,0.45,0.45,0.0,10,,,823,327.11,1.11,626,107.53,1.04,14,139.19,2.35,32,-37.69,0.87,854,4.666667,273.55,1.09,237.27,270,584,663,3.400000,68.94,1.03,263.62,206,457,,,{},h10_s390l300,true,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s390l300_b045/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s390l300_b045_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s390l300_b045/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s390l300_b045_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s390l300_b045/summary.json,hold extension with strict Tier B comparison
h10_s400l295_aonly,hold_extension_direction_disablement,run50J_h10_s400l295_aonly_logreg_deep_v1,completed,a_stage56_h10_s400l295_aonly_a_s400_l295_m000__b_disabled__hold10__cool0,0.4,0.295,0.0,0.45,0.45,0.0,10,,,798,397.72,1.14,599,157.34,1.07,14,139.19,2.35,32,-37.69,0.87,798,4.360656,397.72,1.14,243.44,242,556,599,3.071795,157.34,1.07,176.68,173,426,,,{},h10_s400l295,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s400l295_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s400l295_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s400l295_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s400l295_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s400l295_aonly/summary.json,stronger short filter plus long-density pressure under longer hold; A-only matched comparison
h10_s400l295_b045,hold_extension_direction_comparison,run50J_h10_s400l295_b045_logreg_deep_v1,completed,a_stage56_h10_s400l295_b045_a_s400_l295_m000__b_stage56_h10_s400l295_b045_b_s450_l450_m000__hold10__cool0,0.4,0.295,0.0,0.45,0.45,0.0,10,,,798,397.72,1.14,599,157.34,1.07,14,139.19,2.35,32,-37.69,0.87,827,4.519126,418.26,1.15,243.44,249,578,637,3.266667,27.75,1.01,286.52,188,449,,,{},h10_s400l295,true,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s400l295_b045/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s400l295_b045_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s400l295_b045/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s400l295_b045_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s400l295_b045/summary.json,stronger short filter plus long-density pressure under longer hold with strict Tier B
h10_s410l290_aonly,hold_extension_direction_disablement,run50J_h10_s410l290_aonly_logreg_deep_v1,completed,a_stage56_h10_s410l290_aonly_a_s410_l290_m000__b_disabled__hold10__cool0,0.41,0.29,0.0,0.45,0.45,0.0,10,,,764,267.4,1.09,574,68.19,1.03,14,139.19,2.35,32,-37.69,0.87,764,4.174863,267.4,1.09,228.57,217,547,574,2.943590,68.19,1.03,243.29,155,419,,,{},h10_s410l290,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s410l290_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s410l290_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s410l290_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s410l290_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,density_failed_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s410l290_aonly/summary.json,quality-heavy short filter plus maximum long-density pressure under longer hold; A-only matched comparison
h10_s410l290_b045,hold_extension_direction_comparison,run50J_h10_s410l290_b045_logreg_deep_v1,completed,a_stage56_h10_s410l290_b045_a_s410_l290_m000__b_stage56_h10_s410l290_b045_b_s450_l450_m000__hold10__cool0,0.41,0.29,0.0,0.45,0.45,0.0,10,,,764,267.4,1.09,574,68.19,1.03,14,139.19,2.35,32,-37.69,0.87,792,4.327869,282.43,1.1,216.85,223,569,609,3.123077,27.66,1.01,312.46,168,441,,,{},h10_s410l290,true,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s410l290_b045/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s410l290_b045_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s410l290_b045/mt5/reports/Project_Obsidian_Prime_v2_run50J_h10_s410l290_b045_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50J/h10_s410l290_b045/summary.json,quality-heavy short filter plus maximum long-density pressure under longer hold with strict Tier B
