rank,selection_label,development_score,run_number,variant_id,validation_trades_per_day,oos_trades_per_day,validation_pf,oos_pf,validation_net,oos_net,validation_drawdown,oos_drawdown,validation_cost_stressed_expectancy,oos_cost_stressed_expectancy,validation_same_move_ratio,oos_same_move_ratio,validation_cooldown12_trades_per_day,oos_cooldown12_trades_per_day,validation_mfe_capture,oos_mfe_capture,tier_a_validation_net,tier_a_oos_net,tier_b_validation_net,tier_b_oos_net,failure_reasons,source_summary_path,notes
1,backup_anchor,55.306439,run50BQ,v60_v47_et_stable_damage_firewall_h2c0_no_b,9.617486,6.948718,1.180000,1.220000,462.210000,436.330000,129.690000,162.200000,-0.237381,-0.177985,0.526136,0.578598,4.557377,2.928205,0.606261,0.615804,462.210000,436.330000,-235.460000,-204.540000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BQ_summary.csv,Run50BN v47 plus ET slot-fill stable damage firewall; blocks ET slot6 short and slot5 long.
2,reference_only,54.485205,run50BN,v47_v22_topup_plus_et40_slotfill_h2c0_no_b,9.748634,7.071795,1.170000,1.180000,446.110000,380.770000,126.320000,160.840000,-0.249938,-0.223880,0.534753,0.586657,4.535519,2.923077,0.604955,0.615271,446.110000,380.770000,-235.460000,-204.540000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BN_summary.csv,Higher-coverage v22 slot 3/5/8 source remains primary; context-flat slots can be filled once by ExtraTrees direction.
3,development_anchor,53.414193,run50BR,v64_v47_ctxgap14_refill_etfw_h2_no_b,8.918033,6.358974,1.210000,1.220000,478.850000,397.640000,144.220000,150.630000,-0.206587,-0.179323,0.465074,0.517742,4.770492,3.066667,0.606945,0.620721,478.850000,397.640000,-94.140000,-254.320000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BR_summary.csv,"Context primary same-direction source gap 14 bars, ET slot refill, and stable ET damage firewall."
4,reference_only,53.198635,run50BN,v46_v22_midcov_plus_et40_slotfill_h2c0_no_b,9.595628,6.789744,1.130000,1.230000,337.280000,437.640000,182.600000,146.460000,-0.307927,-0.169456,0.534169,0.578550,4.469945,2.861538,0.605074,0.616258,337.280000,437.640000,-160.790000,-153.020000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BN_summary.csv,Run50BE v30 context source remains primary; context-flat slots can be filled once by ExtraTrees direction.
5,reference_only,52.856037,run50BQ,v61_v47_et_firewall_h2_transition_no_b,9.415301,6.784615,1.150000,1.200000,359.900000,386.850000,129.690000,155.410000,-0.291120,-0.207596,0.514219,0.557823,4.573770,3.000000,0.604627,0.616831,359.900000,386.850000,-233.160000,-210.980000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BQ_summary.csv,Run50BN v47 plus ET stable damage firewall and entry-transition-only execution.
6,reference_only,50.702690,run50BO,v50_topup_slotfill_sd2_h2c0_no_b,8.857923,6.420513,1.170000,1.190000,380.190000,342.920000,124.850000,155.730000,-0.265460,-0.226102,0.494139,0.547125,4.480874,2.907692,0.608130,0.613721,380.190000,342.920000,-150.180000,-135.170000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BO_summary.csv,Run50BN v47 source with same-direction cooldown2 in MT5 execution.
7,reference_only,50.091468,run50BO,v53_topup_slotfill_sd2_h3c0_no_b,8.666667,6.389744,1.100000,1.230000,339.860000,567.760000,339.750000,199.560000,-0.285712,-0.044334,0.564313,0.588283,3.775956,2.630769,0.621956,0.623825,339.860000,567.760000,-159.410000,-290.040000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BO_summary.csv,Run50BN v47 source with hold3 and same-direction cooldown2 in MT5 execution.
8,reference_only,49.949307,run50BO,v52_topup_slotfill_sd4_h2c0_no_b,8.524590,6.189744,1.150000,1.220000,327.080000,384.180000,139.650000,137.340000,-0.290333,-0.181707,0.469231,0.507871,4.524590,3.046154,0.604157,0.613203,327.080000,384.180000,-58.970000,-115.850000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BO_summary.csv,Run50BN v47 source with same-direction cooldown4 in MT5 execution.
9,reference_only,49.605516,run50BO,v48_midcov_slotfill_sd2_h2c0_no_b,8.743169,6.205128,1.110000,1.250000,251.390000,424.170000,181.340000,141.390000,-0.342881,-0.149446,0.491250,0.541322,4.448087,2.846154,0.607434,0.612745,251.390000,424.170000,-54.740000,-208.470000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BO_summary.csv,Run50BN v46 source with same-direction cooldown2 in MT5 execution.
10,reference_only,49.006790,run50BO,v49_midcov_slotfill_sd3_h2c0_no_b,8.595628,6.153846,1.080000,1.270000,195.050000,458.130000,184.400000,137.480000,-0.376001,-0.118225,0.479975,0.533333,4.469945,2.871795,0.603557,0.611900,195.050000,458.130000,-64.200000,-319.610000,validation_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BO_summary.csv,Run50BN v46 source with same-direction cooldown3 in MT5 execution.
11,reference_only,48.202577,run50BO,v51_topup_slotfill_sd3_h2c0_no_b,8.715847,6.338462,1.140000,1.140000,331.720000,265.130000,133.020000,148.650000,-0.292025,-0.285494,0.482132,0.538026,4.513661,2.928205,0.606096,0.614181,331.720000,265.130000,-163.680000,-171.240000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BO_summary.csv,Run50BN v47 source with same-direction cooldown3 in MT5 execution.
