variant_id,split,tier,slot_width_minutes,rule_count,rows,context_nonflat,context_long,context_short,context_rule_nonflat
v17_slot40_even_short_odd_long_context_h2c0_no_b,train,Tier A,40,9,29222,3951,1735,2216,"{""s0_short_adx_le50"": 279, ""s1_long_bb_ge67"": 316, ""s2_short_breadth_ge67"": 510, ""s3_long_di_ge25"": 500, ""s4_short_vix_ge33"": 479, ""s5_long_rsi_le75"": 498, ""s6_short_atr_le25"": 424, ""s7_long_adx_ge25"": 421, ""s8_short_atr_le50"": 524}"
v17_slot40_even_short_odd_long_context_h2c0_no_b,train,Tier B,40,9,8970,1931,938,993,"{""s0_short_adx_le50"": 230, ""s1_long_bb_ge67"": 135, ""s2_short_breadth_ge67"": 165, ""s3_long_di_ge25"": 272, ""s4_short_vix_ge33"": 58, ""s5_long_rsi_le75"": 263, ""s6_short_atr_le25"": 299, ""s7_long_adx_ge25"": 268, ""s8_short_atr_le50"": 241}"
v17_slot40_even_short_odd_long_context_h2c0_no_b,validation,Tier A,40,9,9844,1290,562,728,"{""s0_short_adx_le50"": 99, ""s1_long_bb_ge67"": 103, ""s2_short_breadth_ge67"": 165, ""s3_long_di_ge25"": 166, ""s4_short_vix_ge33"": 160, ""s5_long_rsi_le75"": 160, ""s6_short_atr_le25"": 135, ""s7_long_adx_ge25"": 133, ""s8_short_atr_le50"": 169}"
v17_slot40_even_short_odd_long_context_h2c0_no_b,validation,Tier B,40,9,2366,510,265,245,"{""s0_short_adx_le50"": 19, ""s1_long_bb_ge67"": 38, ""s2_short_breadth_ge67"": 35, ""s3_long_di_ge25"": 79, ""s4_short_vix_ge33"": 24, ""s5_long_rsi_le75"": 76, ""s6_short_atr_le25"": 91, ""s7_long_adx_ge25"": 72, ""s8_short_atr_le50"": 76}"
v17_slot40_even_short_odd_long_context_h2c0_no_b,oos,Tier A,40,9,7584,931,396,535,"{""s0_short_adx_le50"": 61, ""s1_long_bb_ge67"": 73, ""s2_short_breadth_ge67"": 125, ""s3_long_di_ge25"": 118, ""s4_short_vix_ge33"": 119, ""s5_long_rsi_le75"": 113, ""s6_short_atr_le25"": 106, ""s7_long_adx_ge25"": 92, ""s8_short_atr_le50"": 124}"
v17_slot40_even_short_odd_long_context_h2c0_no_b,oos,Tier B,40,9,1062,337,157,180,"{""s0_short_adx_le50"": 14, ""s1_long_bb_ge67"": 17, ""s2_short_breadth_ge67"": 10, ""s3_long_di_ge25"": 36, ""s4_short_vix_ge33"": 38, ""s5_long_rsi_le75"": 55, ""s6_short_atr_le25"": 68, ""s7_long_adx_ge25"": 49, ""s8_short_atr_le50"": 50}"
v18_slot40_even_short_odd_long_context_h2c0_with_b,train,Tier A,40,9,29222,3951,1735,2216,"{""s0_short_adx_le50"": 279, ""s1_long_bb_ge67"": 316, ""s2_short_breadth_ge67"": 510, ""s3_long_di_ge25"": 500, ""s4_short_vix_ge33"": 479, ""s5_long_rsi_le75"": 498, ""s6_short_atr_le25"": 424, ""s7_long_adx_ge25"": 421, ""s8_short_atr_le50"": 524}"
v18_slot40_even_short_odd_long_context_h2c0_with_b,train,Tier B,40,9,8970,1931,938,993,"{""s0_short_adx_le50"": 230, ""s1_long_bb_ge67"": 135, ""s2_short_breadth_ge67"": 165, ""s3_long_di_ge25"": 272, ""s4_short_vix_ge33"": 58, ""s5_long_rsi_le75"": 263, ""s6_short_atr_le25"": 299, ""s7_long_adx_ge25"": 268, ""s8_short_atr_le50"": 241}"
v18_slot40_even_short_odd_long_context_h2c0_with_b,validation,Tier A,40,9,9844,1290,562,728,"{""s0_short_adx_le50"": 99, ""s1_long_bb_ge67"": 103, ""s2_short_breadth_ge67"": 165, ""s3_long_di_ge25"": 166, ""s4_short_vix_ge33"": 160, ""s5_long_rsi_le75"": 160, ""s6_short_atr_le25"": 135, ""s7_long_adx_ge25"": 133, ""s8_short_atr_le50"": 169}"
v18_slot40_even_short_odd_long_context_h2c0_with_b,validation,Tier B,40,9,2366,510,265,245,"{""s0_short_adx_le50"": 19, ""s1_long_bb_ge67"": 38, ""s2_short_breadth_ge67"": 35, ""s3_long_di_ge25"": 79, ""s4_short_vix_ge33"": 24, ""s5_long_rsi_le75"": 76, ""s6_short_atr_le25"": 91, ""s7_long_adx_ge25"": 72, ""s8_short_atr_le50"": 76}"
v18_slot40_even_short_odd_long_context_h2c0_with_b,oos,Tier A,40,9,7584,931,396,535,"{""s0_short_adx_le50"": 61, ""s1_long_bb_ge67"": 73, ""s2_short_breadth_ge67"": 125, ""s3_long_di_ge25"": 118, ""s4_short_vix_ge33"": 119, ""s5_long_rsi_le75"": 113, ""s6_short_atr_le25"": 106, ""s7_long_adx_ge25"": 92, ""s8_short_atr_le50"": 124}"
v18_slot40_even_short_odd_long_context_h2c0_with_b,oos,Tier B,40,9,1062,337,157,180,"{""s0_short_adx_le50"": 14, ""s1_long_bb_ge67"": 17, ""s2_short_breadth_ge67"": 10, ""s3_long_di_ge25"": 36, ""s4_short_vix_ge33"": 38, ""s5_long_rsi_le75"": 55, ""s6_short_atr_le25"": 68, ""s7_long_adx_ge25"": 49, ""s8_short_atr_le50"": 50}"
v19_slot40_even_short_odd_long_always_h2c0_no_b,train,Tier A,40,9,29222,5020,2254,2766,"{""s0_short_always_w40"": 531, ""s1_long_always_w40"": 568, ""s2_short_always_w40"": 567, ""s3_long_always_w40"": 563, ""s4_short_always_w40"": 560, ""s5_long_always_w40"": 565, ""s6_short_always_w40"": 554, ""s7_long_always_w40"": 558, ""s8_short_always_w40"": 554}"
v19_slot40_even_short_odd_long_always_h2c0_no_b,train,Tier B,40,9,8970,2920,1245,1675,"{""s0_short_always_w40"": 478, ""s1_long_always_w40"": 228, ""s2_short_always_w40"": 259, ""s3_long_always_w40"": 300, ""s4_short_always_w40"": 330, ""s5_long_always_w40"": 341, ""s6_short_always_w40"": 361, ""s7_long_always_w40"": 376, ""s8_short_always_w40"": 247}"
v19_slot40_even_short_odd_long_always_h2c0_no_b,validation,Tier A,40,9,9844,1608,721,887,"{""s0_short_always_w40"": 168, ""s1_long_always_w40"": 178, ""s2_short_always_w40"": 178, ""s3_long_always_w40"": 182, ""s4_short_always_w40"": 182, ""s5_long_always_w40"": 181, ""s6_short_always_w40"": 180, ""s7_long_always_w40"": 180, ""s8_short_always_w40"": 179}"
v19_slot40_even_short_odd_long_always_h2c0_no_b,validation,Tier B,40,9,2366,778,376,402,"{""s0_short_always_w40"": 42, ""s1_long_always_w40"": 72, ""s2_short_always_w40"": 76, ""s3_long_always_w40"": 90, ""s4_short_always_w40"": 100, ""s5_long_always_w40"": 104, ""s6_short_always_w40"": 107, ""s7_long_always_w40"": 110, ""s8_short_always_w40"": 77}"
v19_slot40_even_short_odd_long_always_h2c0_no_b,oos,Tier A,40,9,7584,1154,524,630,"{""s0_short_always_w40"": 110, ""s1_long_always_w40"": 131, ""s2_short_always_w40"": 131, ""s3_long_always_w40"": 131, ""s4_short_always_w40"": 131, ""s5_long_always_w40"": 131, ""s6_short_always_w40"": 130, ""s7_long_always_w40"": 131, ""s8_short_always_w40"": 128}"
v19_slot40_even_short_odd_long_always_h2c0_no_b,oos,Tier B,40,9,1062,481,233,248,"{""s0_short_always_w40"": 29, ""s1_long_always_w40"": 38, ""s2_short_always_w40"": 24, ""s3_long_always_w40"": 43, ""s4_short_always_w40"": 62, ""s5_long_always_w40"": 69, ""s6_short_always_w40"": 82, ""s7_long_always_w40"": 83, ""s8_short_always_w40"": 51}"
v20_slot45_even_long_odd_short_always_h2c0_no_b,train,Tier A,45,8,29222,4476,2226,2250,"{""s0_long_always_w45"": 531, ""s1_short_always_w45"": 569, ""s2_long_always_w45"": 569, ""s3_short_always_w45"": 565, ""s4_long_always_w45"": 566, ""s5_short_always_w45"": 556, ""s6_long_always_w45"": 560, ""s7_short_always_w45"": 560}"
v20_slot45_even_long_odd_short_always_h2c0_no_b,train,Tier B,45,8,8970,2734,1496,1238,"{""s0_long_always_w45"": 482, ""s1_short_always_w45"": 246, ""s2_long_always_w45"": 292, ""s3_short_always_w45"": 326, ""s4_long_always_w45"": 340, ""s5_short_always_w45"": 375, ""s6_long_always_w45"": 382, ""s7_short_always_w45"": 291}"
v20_slot45_even_long_odd_short_always_h2c0_no_b,validation,Tier A,45,8,9844,1432,712,720,"{""s0_long_always_w45"": 168, ""s1_short_always_w45"": 177, ""s2_long_always_w45"": 183, ""s3_short_always_w45"": 181, ""s4_long_always_w45"": 182, ""s5_short_always_w45"": 181, ""s6_long_always_w45"": 179, ""s7_short_always_w45"": 181}"
v20_slot45_even_long_odd_short_always_h2c0_no_b,validation,Tier B,45,8,2366,719,338,381,"{""s0_long_always_w45"": 45, ""s1_short_always_w45"": 84, ""s2_long_always_w45"": 82, ""s3_short_always_w45"": 100, ""s4_long_always_w45"": 102, ""s5_short_always_w45"": 112, ""s6_long_always_w45"": 109, ""s7_short_always_w45"": 85}"
v20_slot45_even_long_odd_short_always_h2c0_no_b,oos,Tier A,45,8,7584,1026,503,523,"{""s0_long_always_w45"": 110, ""s1_short_always_w45"": 131, ""s2_long_always_w45"": 131, ""s3_short_always_w45"": 131, ""s4_long_always_w45"": 131, ""s5_short_always_w45"": 131, ""s6_long_always_w45"": 131, ""s7_short_always_w45"": 130}"
v20_slot45_even_long_odd_short_always_h2c0_no_b,oos,Tier B,45,8,1062,445,211,234,"{""s0_long_always_w45"": 31, ""s1_short_always_w45"": 40, ""s2_long_always_w45"": 28, ""s3_short_always_w45"": 56, ""s4_long_always_w45"": 68, ""s5_short_always_w45"": 79, ""s6_long_always_w45"": 84, ""s7_short_always_w45"": 59}"
