attempt_name,split,tier,telemetry_path,status,cycle_rows,risk_floor_applied_count,max_model_risk_pct,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,telemetry_sha256
ba08_no_atr_same_direction_cooldown4_ta_val,validation_is,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba08_no_atr_same_direction_cooldown4/telemetry/ba08_no_atr_same_direction_cooldown4_ta_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,0dbfd53f4dd4a1965b6e998a57db8e789990312b868d521569796ba0b9b31c8c
ba08_no_atr_same_direction_cooldown4_rt_val,validation_is,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba08_no_atr_same_direction_cooldown4/telemetry/ba08_no_atr_same_direction_cooldown4_rt_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,0dbfd53f4dd4a1965b6e998a57db8e789990312b868d521569796ba0b9b31c8c
ba08_no_atr_same_direction_cooldown4_ta_oos,oos,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba08_no_atr_same_direction_cooldown4/telemetry/ba08_no_atr_same_direction_cooldown4_ta_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,bd29e646677f037cab54c8c87d7688ea8424c164cc67dcc6931cb71edd7eb5ef
ba08_no_atr_same_direction_cooldown4_rt_oos,oos,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba08_no_atr_same_direction_cooldown4/telemetry/ba08_no_atr_same_direction_cooldown4_rt_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,bd29e646677f037cab54c8c87d7688ea8424c164cc67dcc6931cb71edd7eb5ef
ba09_no_atr_close_only_opposite_ta_val,validation_is,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba09_no_atr_close_only_opposite/telemetry/ba09_no_atr_close_only_opposite_ta_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,20d1ec2a912cbc63d3ba0bc23cf43e29a50a43a23a90673c02c1ea0c403a4f26
ba09_no_atr_close_only_opposite_rt_val,validation_is,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba09_no_atr_close_only_opposite/telemetry/ba09_no_atr_close_only_opposite_rt_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,20d1ec2a912cbc63d3ba0bc23cf43e29a50a43a23a90673c02c1ea0c403a4f26
ba09_no_atr_close_only_opposite_ta_oos,oos,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba09_no_atr_close_only_opposite/telemetry/ba09_no_atr_close_only_opposite_ta_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,7fde4227053deeeeef7585eb9f43c8871b1fc7817fbdfbadbc2e1d471986855c
ba09_no_atr_close_only_opposite_rt_oos,oos,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba09_no_atr_close_only_opposite/telemetry/ba09_no_atr_close_only_opposite_rt_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,7fde4227053deeeeef7585eb9f43c8871b1fc7817fbdfbadbc2e1d471986855c
ba10_no_atr_close_only_same_dir_cd4_ta_val,validation_is,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba10_no_atr_close_only_same_dir_cd4/telemetry/ba10_no_atr_close_only_same_dir_cd4_ta_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,0b6b89957b7a41eba1783620e7641fe555fb96214ecdcfb27a0505a03562cfbc
ba10_no_atr_close_only_same_dir_cd4_rt_val,validation_is,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba10_no_atr_close_only_same_dir_cd4/telemetry/ba10_no_atr_close_only_same_dir_cd4_rt_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,0b6b89957b7a41eba1783620e7641fe555fb96214ecdcfb27a0505a03562cfbc
ba10_no_atr_close_only_same_dir_cd4_ta_oos,oos,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba10_no_atr_close_only_same_dir_cd4/telemetry/ba10_no_atr_close_only_same_dir_cd4_ta_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,0119cfd4092234892b36e2126abd0950c2711f07a6672e70922bbf73ede50da3
ba10_no_atr_close_only_same_dir_cd4_rt_oos,oos,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BW_baseline_adapter_lifecycle_repair/ba10_no_atr_close_only_same_dir_cd4/telemetry/ba10_no_atr_close_only_same_dir_cd4_rt_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,0119cfd4092234892b36e2126abd0950c2711f07a6672e70922bbf73ede50da3
