variant_id,split,tier,rows,context_gap_policy,context_raw_nonflat,context_after_gap_nonflat,context_gap_blocked,et40_nonflat,final_nonflat,final_long,final_short,context_primary_nonflat,et_slotfill_nonflat,firewall_blocked
v64_v47_ctxgap14_refill_etfw_h2_no_b,train,Tier A,29222,gap14,4389,3537,852,17369,6389,2874,3515,3537,3145,293
v64_v47_ctxgap14_refill_etfw_h2_no_b,train,Tier B,8970,gap14,1904,1661,243,198,1712,714,998,1661,51,0
v64_v47_ctxgap14_refill_etfw_h2_no_b,validation,Tier A,9844,gap14,1403,1204,199,5976,2086,945,1141,1204,973,91
v64_v47_ctxgap14_refill_etfw_h2_no_b,validation,Tier B,2366,gap14,438,392,46,33,401,204,197,392,9,0
v64_v47_ctxgap14_refill_etfw_h2_no_b,oos,Tier A,7584,gap14,1027,861,166,5017,1573,737,836,861,785,73
v64_v47_ctxgap14_refill_etfw_h2_no_b,oos,Tier B,1062,gap14,244,218,26,54,232,106,126,218,14,0
v65_v47_ctxgap24_refill_etfw_h2_no_b,train,Tier A,29222,gap24,4389,2609,1780,17369,5489,2342,3147,2609,3172,292
v65_v47_ctxgap24_refill_etfw_h2_no_b,train,Tier B,8970,gap24,1904,1447,457,198,1498,591,907,1447,51,0
v65_v47_ctxgap24_refill_etfw_h2_no_b,validation,Tier A,9844,gap24,1403,833,570,5976,1715,760,955,833,974,92
v65_v47_ctxgap24_refill_etfw_h2_no_b,validation,Tier B,2366,gap24,438,317,121,33,326,163,163,317,9,0
v65_v47_ctxgap24_refill_etfw_h2_no_b,oos,Tier A,7584,gap24,1027,599,428,5017,1311,610,701,599,787,75
v65_v47_ctxgap24_refill_etfw_h2_no_b,oos,Tier B,1062,gap24,244,200,44,54,214,96,118,200,14,0
v66_v47_badctxgap24_refill_etfw_h2_no_b,train,Tier A,29222,bad_context_only_gap24,4389,3559,830,17369,6427,2782,3645,3559,3164,296
v66_v47_badctxgap24_refill_etfw_h2_no_b,train,Tier B,8970,bad_context_only_gap24,1904,1624,280,198,1675,689,986,1624,51,0
v66_v47_badctxgap24_refill_etfw_h2_no_b,validation,Tier A,9844,bad_context_only_gap24,1403,1120,283,5976,2006,888,1118,1120,977,91
v66_v47_badctxgap24_refill_etfw_h2_no_b,validation,Tier B,2366,bad_context_only_gap24,438,368,70,33,377,187,190,368,9,0
v66_v47_badctxgap24_refill_etfw_h2_no_b,oos,Tier A,7584,bad_context_only_gap24,1027,827,200,5017,1540,714,826,827,788,75
v66_v47_badctxgap24_refill_etfw_h2_no_b,oos,Tier B,1062,bad_context_only_gap24,244,216,28,54,230,103,127,216,14,0
v67_v47_ctxgap24_refill_etfw_h4_no_b,train,Tier A,29222,gap24,4389,2609,1780,17369,5489,2342,3147,2609,3172,292
v67_v47_ctxgap24_refill_etfw_h4_no_b,train,Tier B,8970,gap24,1904,1447,457,198,1498,591,907,1447,51,0
v67_v47_ctxgap24_refill_etfw_h4_no_b,validation,Tier A,9844,gap24,1403,833,570,5976,1715,760,955,833,974,92
v67_v47_ctxgap24_refill_etfw_h4_no_b,validation,Tier B,2366,gap24,438,317,121,33,326,163,163,317,9,0
v67_v47_ctxgap24_refill_etfw_h4_no_b,oos,Tier A,7584,gap24,1027,599,428,5017,1311,610,701,599,787,75
v67_v47_ctxgap24_refill_etfw_h4_no_b,oos,Tier B,1062,gap24,244,200,44,54,214,96,118,200,14,0
