variant_id,split,tier,primary_source,secondary_source,composite_mode,rows,primary_nonflat,secondary_nonflat,composite_nonflat,source_agree_nonflat,source_conflict_nonflat,composite_long,composite_short
v05_s47_breadth_vix_h3c3_no_b,validation,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix,9844,3164,1816,1882,773,26,1290,592
v05_s47_breadth_vix_h3c3_no_b,validation,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix,2366,493,231,97,62,3,61,36
v05_s47_breadth_vix_h3c3_no_b,oos,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix,7584,2692,1243,1556,519,31,1146,410
v05_s47_breadth_vix_h3c3_no_b,oos,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix,1062,294,110,114,34,3,79,35
v06_s47_us100_vix_h3c3_no_b,validation,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_us100_vix,9844,3164,1816,1277,773,26,754,523
v06_s47_us100_vix_h3c3_no_b,validation,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_us100_vix,2366,493,231,71,62,3,41,30
v06_s47_us100_vix_h3c3_no_b,oos,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_us100_vix,7584,2692,1243,967,519,31,598,369
v06_s47_us100_vix_h3c3_no_b,oos,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_us100_vix,1062,294,110,64,34,3,39,25
v07_s47_s45_context_h2c2_no_b,validation,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,9844,3164,1816,2072,773,26,1383,689
v07_s47_s45_context_h2c2_no_b,validation,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,2366,493,231,147,62,3,90,57
v07_s47_s45_context_h2c2_no_b,oos,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,7584,2692,1243,1716,519,31,1233,483
v07_s47_s45_context_h2c2_no_b,oos,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,1062,294,110,134,34,3,87,47
v08_s47_s45_context_h3c3_with_b,validation,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,9844,3164,1816,2072,773,26,1383,689
v08_s47_s45_context_h3c3_with_b,validation,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,2366,493,231,147,62,3,90,57
v08_s47_s45_context_h3c3_with_b,oos,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,7584,2692,1243,1716,519,31,1233,483
v08_s47_s45_context_h3c3_with_b,oos,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_plus_s47_breadth_vix_s45_low_adx,1062,294,110,134,34,3,87,47
