variant_id,group,run_id,external_verification_status,threshold_id,tier_a_short_threshold,tier_a_long_threshold,tier_a_min_margin,tier_b_short_threshold,tier_b_long_threshold,tier_b_min_margin,max_hold_bars,session_slice_id,tier_b_allowed_subtypes,tier_a_validation_closed_trades,tier_a_validation_net_profit,tier_a_validation_profit_factor,tier_a_oos_closed_trades,tier_a_oos_net_profit,tier_a_oos_profit_factor,tier_b_validation_closed_trades,tier_b_validation_net_profit,tier_b_validation_profit_factor,tier_b_oos_closed_trades,tier_b_oos_net_profit,tier_b_oos_profit_factor,routed_validation_closed_trades,routed_validation_trades_per_day,routed_validation_net_profit,routed_validation_profit_factor,routed_validation_drawdown,routed_validation_short_trades,routed_validation_long_trades,routed_oos_closed_trades,routed_oos_trades_per_day,routed_oos_net_profit,routed_oos_profit_factor,routed_oos_drawdown,routed_oos_short_trades,routed_oos_long_trades,routed_validation_b_fallback_bars,routed_oos_b_fallback_bars,route_coverage_by_split,base_id,routed_fallback_enabled,routed_validation_report_path,routed_validation_aggregation,routed_oos_report_path,routed_oos_aggregation,model_spec_id,train_start_utc,class_weight,flat_sample_weight,nonflat_sample_weight,c_value,reentry_cooldown_bars,judgment,error,summary_path,notes
nf150_h10_s420l360_aonly,model_axis_nonflat_weight_aonly,run50K_nf150_h10_s420l360_aonly_logreg_deep_v1,completed,a_stage56_nf150_h10_s420l360_aonly_a_s420_l360_m000__b_disabled__hold10__cool0,0.42,0.36,0.0,0.45,0.45,0.0,10,,,1264,20.68,1.01,967,-81.84,0.97,14,136.23,2.32,32,-38.17,0.87,1264,6.907104,20.68,1.01,286.82,372,892,967,4.958974,-81.84,0.97,282.93,290,677,,,{},nf150_h10_s420l360,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s420l360_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50K_nf150_h10_s420l360_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s420l360_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50K_nf150_h10_s420l360_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,logreg_nonflat_weight_c050_flat070_nonflat150,,,0.7,1.5,0.5,0,quality_failed_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s420l360_aonly/summary.json,non-flat sample weighting with hold10 to test real density without Tier B damage
nf150_h10_s420l360_b045,model_axis_nonflat_weight_tier_b_comparison,run50K_nf150_h10_s420l360_b045_logreg_deep_v1,completed,a_stage56_nf150_h10_s420l360_b045_a_s420_l360_m000__b_stage56_nf150_h10_s420l360_b045_b_s450_l450_m000__hold10__cool0,0.42,0.36,0.0,0.45,0.45,0.0,10,,,1264,20.68,1.01,967,-81.84,0.97,14,136.23,2.32,32,-38.17,0.87,1410,7.704918,120.56,1.03,284.39,382,1028,1038,5.323077,-53.42,0.98,365.34,304,734,,,{},nf150_h10_s420l360,true,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s420l360_b045/mt5/reports/Project_Obsidian_Prime_v2_run50K_nf150_h10_s420l360_b045_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s420l360_b045/mt5/reports/Project_Obsidian_Prime_v2_run50K_nf150_h10_s420l360_b045_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,logreg_nonflat_weight_c050_flat070_nonflat150,,,0.7,1.5,0.5,0,quality_failed_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s420l360_b045/summary.json,matched A-only/A+B comparison for Tier B disablement under non-flat weighted model
nf150_h10_s400l300_aonly,model_axis_nonflat_weight_aonly,run50K_nf150_h10_s400l300_aonly_logreg_deep_v1,completed,a_stage56_nf150_h10_s400l300_aonly_a_s400_l300_m000__b_disabled__hold10__cool0,0.4,0.3,0.0,0.45,0.45,0.0,10,,,1365,86.49,1.02,1015,-145.52,0.96,14,136.23,2.32,32,-38.17,0.87,1365,7.459016,86.49,1.02,337.3,443,922,1015,5.205128,-145.52,0.96,304.51,321,694,,,{},nf150_h10_s400l300,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s400l300_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50K_nf150_h10_s400l300_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s400l300_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50K_nf150_h10_s400l300_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,logreg_nonflat_weight_c050_flat070_nonflat150,,,0.7,1.5,0.5,0,quality_failed_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/nf150_h10_s400l300_aonly/summary.json,stronger density pressure under non-flat weighted model and hold10
recent24_h10_s400l300_aonly,model_axis_recent_train_aonly,run50K_recent24_h10_s400l300_aonly_logreg_deep_v1,completed,a_stage56_recent24_h10_s400l300_aonly_a_s400_l300_m000__b_disabled__hold10__cool0,0.4,0.3,0.0,0.45,0.45,0.0,10,,,998,-260.41,0.92,836,-384.93,0.87,14,136.23,2.32,32,-38.17,0.87,998,5.453552,-260.41,0.92,523.21,409,589,836,4.287179,-384.93,0.87,475.2,336,500,,,{},recent24_h10_s400l300,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/recent24_h10_s400l300_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50K_recent24_h10_s400l300_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/recent24_h10_s400l300_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50K_recent24_h10_s400l300_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,logreg_recent2024_balanced_c050,2024-01-01T00:00:00Z,balanced,,,0.5,0,quality_failed_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50K/recent24_h10_s400l300_aonly/summary.json,recent train-only logistic model to test session/weather drift without validation/OOS leakage
