variant_id,split,tier,composite_mode,rows,context_nonflat,et40_nonflat,context_et40_agree,context_et40_conflict,final_nonflat,final_long,final_short
v41_v22_midcov_et40_agree_h2c0_no_b,train,Tier A,context_et40_agree,29222,4185,17369,1394,1045,1394,462,932
v41_v22_midcov_et40_agree_h2c0_no_b,train,Tier B,context_et40_agree,8970,1708,198,74,43,74,1,73
v41_v22_midcov_et40_agree_h2c0_no_b,validation,Tier A,context_et40_agree,9844,1320,5976,468,327,468,164,304
v41_v22_midcov_et40_agree_h2c0_no_b,validation,Tier B,context_et40_agree,2366,362,33,0,3,0,0,0
v41_v22_midcov_et40_agree_h2c0_no_b,oos,Tier A,context_et40_agree,7584,940,5017,348,295,348,135,213
v41_v22_midcov_et40_agree_h2c0_no_b,oos,Tier B,context_et40_agree,1062,205,54,6,3,6,0,6
v42_v22_midcov_et40_veto_conflict_h2c0_no_b,train,Tier A,context_et40_veto_conflict,29222,4185,17369,1394,1045,3140,1196,1944
v42_v22_midcov_et40_veto_conflict_h2c0_no_b,train,Tier B,context_et40_veto_conflict,8970,1708,198,74,43,1665,633,1032
v42_v22_midcov_et40_veto_conflict_h2c0_no_b,validation,Tier A,context_et40_veto_conflict,9844,1320,5976,468,327,993,399,594
v42_v22_midcov_et40_veto_conflict_h2c0_no_b,validation,Tier B,context_et40_veto_conflict,2366,362,33,0,3,359,163,196
v42_v22_midcov_et40_veto_conflict_h2c0_no_b,oos,Tier A,context_et40_veto_conflict,7584,940,5017,348,295,645,273,372
v42_v22_midcov_et40_veto_conflict_h2c0_no_b,oos,Tier B,context_et40_veto_conflict,1062,205,54,6,3,202,81,121
v43_v22_midcov_et40_direction_h2c0_no_b,train,Tier A,context_timing_et40_direction,29222,4185,17369,1394,1045,2439,898,1541
v43_v22_midcov_et40_direction_h2c0_no_b,train,Tier B,context_timing_et40_direction,8970,1708,198,74,43,117,44,73
v43_v22_midcov_et40_direction_h2c0_no_b,validation,Tier A,context_timing_et40_direction,9844,1320,5976,468,327,795,314,481
v43_v22_midcov_et40_direction_h2c0_no_b,validation,Tier B,context_timing_et40_direction,2366,362,33,0,3,3,3,0
v43_v22_midcov_et40_direction_h2c0_no_b,oos,Tier A,context_timing_et40_direction,7584,940,5017,348,295,643,282,361
v43_v22_midcov_et40_direction_h2c0_no_b,oos,Tier B,context_timing_et40_direction,1062,205,54,6,3,9,3,6
v44_v22_topup_et40_veto_conflict_h2c0_no_b,train,Tier A,context_et40_veto_conflict,29222,4389,17369,1432,1038,3351,1376,1975
v44_v22_topup_et40_veto_conflict_h2c0_no_b,train,Tier B,context_et40_veto_conflict,8970,1904,198,74,43,1861,802,1059
v44_v22_topup_et40_veto_conflict_h2c0_no_b,validation,Tier A,context_et40_veto_conflict,9844,1403,5976,480,318,1085,455,630
v44_v22_topup_et40_veto_conflict_h2c0_no_b,validation,Tier B,context_et40_veto_conflict,2366,438,33,1,3,435,218,217
v44_v22_topup_et40_veto_conflict_h2c0_no_b,oos,Tier A,context_et40_veto_conflict,7584,1027,5017,365,296,731,319,412
v44_v22_topup_et40_veto_conflict_h2c0_no_b,oos,Tier B,context_et40_veto_conflict,1062,244,54,6,3,241,110,131
v45_v22_midcov_et40_veto_conflict_h2c0_with_b,train,Tier A,context_et40_veto_conflict,29222,4185,17369,1394,1045,3140,1196,1944
v45_v22_midcov_et40_veto_conflict_h2c0_with_b,train,Tier B,context_et40_veto_conflict,8970,1708,198,74,43,1665,633,1032
v45_v22_midcov_et40_veto_conflict_h2c0_with_b,validation,Tier A,context_et40_veto_conflict,9844,1320,5976,468,327,993,399,594
v45_v22_midcov_et40_veto_conflict_h2c0_with_b,validation,Tier B,context_et40_veto_conflict,2366,362,33,0,3,359,163,196
v45_v22_midcov_et40_veto_conflict_h2c0_with_b,oos,Tier A,context_et40_veto_conflict,7584,940,5017,348,295,645,273,372
v45_v22_midcov_et40_veto_conflict_h2c0_with_b,oos,Tier B,context_et40_veto_conflict,1062,205,54,6,3,202,81,121
v46_v22_midcov_plus_et40_slotfill_h2c0_no_b,train,Tier A,context_plus_et40_slot_fill,29222,4185,17369,1394,1045,7318,3158,4160
v46_v22_midcov_plus_et40_slotfill_h2c0_no_b,train,Tier B,context_plus_et40_slot_fill,8970,1708,198,74,43,1759,668,1091
v46_v22_midcov_plus_et40_slotfill_h2c0_no_b,validation,Tier A,context_plus_et40_slot_fill,9844,1320,5976,468,327,2290,1017,1273
v46_v22_midcov_plus_et40_slotfill_h2c0_no_b,validation,Tier B,context_plus_et40_slot_fill,2366,362,33,0,3,372,169,203
v46_v22_midcov_plus_et40_slotfill_h2c0_no_b,oos,Tier A,context_plus_et40_slot_fill,7584,940,5017,348,295,1725,800,925
