variant_id,group,run_id,external_verification_status,threshold_id,tier_a_short_threshold,tier_a_long_threshold,tier_a_min_margin,tier_b_short_threshold,tier_b_long_threshold,tier_b_min_margin,max_hold_bars,session_slice_id,tier_b_allowed_subtypes,tier_a_validation_closed_trades,tier_a_validation_net_profit,tier_a_validation_profit_factor,tier_a_oos_closed_trades,tier_a_oos_net_profit,tier_a_oos_profit_factor,tier_b_validation_closed_trades,tier_b_validation_net_profit,tier_b_validation_profit_factor,tier_b_oos_closed_trades,tier_b_oos_net_profit,tier_b_oos_profit_factor,routed_validation_closed_trades,routed_validation_trades_per_day,routed_validation_net_profit,routed_validation_profit_factor,routed_validation_drawdown,routed_validation_short_trades,routed_validation_long_trades,routed_oos_closed_trades,routed_oos_trades_per_day,routed_oos_net_profit,routed_oos_profit_factor,routed_oos_drawdown,routed_oos_short_trades,routed_oos_long_trades,routed_validation_b_fallback_bars,routed_oos_b_fallback_bars,route_coverage_by_split,judgment,error,summary_path,notes
d370h10,dense,run50D_d370h10_logreg_deep_v1,completed,a_stage56_d370h10_a_s370_l370_m000__b_stage56_d370h10_b_s370_l370_m000__hold10,0.37,0.37,0.0,0.37,0.37,0.0,10,,,823,297.23,1.1,644,285.05,1.12,82,39.17,1.07,89,-325.06,0.66,898,4.907104,153.4,1.05,314.79,335,563,716,3.671795,136.97,1.05,250.12,264,452,,,{},weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d370h10/summary.json,lower threshold density pressure
d375h10,dense,run50D_d375h10_logreg_deep_v1,completed,a_stage56_d375h10_a_s375_l375_m000__b_stage56_d375h10_b_s375_l375_m000__hold10,0.375,0.375,0.0,0.375,0.375,0.0,10,,,781,340.37,1.12,627,145.66,1.06,77,32.77,1.06,86,-407.47,0.56,851,4.650273,231.28,1.08,239.05,319,532,698,3.579487,84.8,1.03,253.92,256,442,,,{},quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d375h10/summary.json,between d37h09 and d38h10
d375h11,dense,run50D_d375h11_logreg_deep_v1,completed,a_stage56_d375h11_a_s375_l375_m000__b_stage56_d375h11_b_s375_l375_m000__hold11,0.375,0.375,0.0,0.375,0.375,0.0,11,,,751,186.43,1.06,601,118.3,1.05,73,-115.08,0.82,84,-281.04,0.64,811,4.431694,121.7,1.04,276.95,309,502,668,3.425641,150.83,1.06,230.38,249,419,,,{},quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d375h11/summary.json,density plus longer hold
d380h09,dense,run50D_d380h09_logreg_deep_v1,completed,a_stage56_d380h09_a_s380_l380_m000__b_stage56_d380h09_b_s380_l380_m000__hold9,0.38,0.38,0.0,0.38,0.38,0.0,9,,,797,85.32,1.03,638,106.54,1.04,76,-14.93,0.97,83,-363.94,0.58,858,4.688525,113.83,1.04,317.52,316,542,706,3.620513,89.14,1.04,226.56,253,453,,,{},quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d380h09/summary.json,d38 shorter hold
d385h10,dense,run50D_d385h10_logreg_deep_v1,completed,a_stage56_d385h10_a_s385_l385_m000__b_stage56_d385h10_b_s385_l385_m000__hold10,0.385,0.385,0.0,0.385,0.385,0.0,10,,,716,409.59,1.16,568,222.08,1.1,68,23.18,1.05,77,-252.03,0.64,779,4.256831,279.68,1.1,245.31,286,493,623,3.194872,296.49,1.13,179.28,223,400,,,{},weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d385h10/summary.json,quality pressure around d38h10
d385h11,dense,run50D_d385h11_logreg_deep_v1,completed,a_stage56_d385h11_a_s385_l385_m000__b_stage56_d385h11_b_s385_l385_m000__hold11,0.385,0.385,0.0,0.385,0.385,0.0,11,,,693,183.84,1.07,546,158.69,1.07,64,-85.12,0.84,76,-210.29,0.67,745,4.071038,135.73,1.05,276.95,277,468,605,3.102564,274.45,1.12,186.52,221,384,,,{},weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d385h11/summary.json,quality pressure plus longer hold
d390h10,dense,run50D_d390h10_logreg_deep_v1,completed,a_stage56_d390h10_a_s390_l390_m000__b_stage56_d390h10_b_s390_l390_m000__hold10,0.39,0.39,0.0,0.39,0.39,0.0,10,,,691,488.03,1.19,545,204.48,1.09,60,206.37,1.66,74,-225.14,0.65,748,4.087432,341.54,1.13,229.2,272,476,594,3.046154,273.2,1.12,179.28,211,383,,,{},weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/summary.json,upper bracket quality pressure
d38long37short39h10,balance,run50D_d38long37short39h10_logreg_deep_v1,completed,a_stage56_d38long37short39h10_a_s390_l370_m000__b_stage56_d38long37short39h10_b_s390_l370_m000__hold10,0.39,0.37,0.0,0.39,0.37,0.0,10,,,757,377.39,1.14,589,190.69,1.08,70,57.76,1.13,82,-85.56,0.87,822,4.491803,232.03,1.08,280.09,277,545,652,3.343590,161.84,1.07,212.71,217,435,,,{},weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d38long37short39h10/summary.json,long-friendly balance probe
d38short37long39h10,balance,run50D_d38short37long39h10_logreg_deep_v1,completed,a_stage56_d38short37long39h10_a_s370_l390_m000__b_stage56_d38short37long39h10_b_s370_l390_m000__hold10,0.37,0.39,0.0,0.37,0.39,0.0,10,,,743,387.88,1.14,589,210.04,1.09,70,192.27,1.51,79,-490.55,0.47,808,4.415301,311.11,1.11,223.5,323,485,644,3.302564,207.48,1.09,226.7,250,394,,,{},weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d38short37long39h10/summary.json,short-friendly balance probe
d38m005h10,balance,run50D_d38m005h10_logreg_deep_v1,completed,a_stage56_d38m005h10_a_s380_l380_m005__b_stage56_d38m005h10_b_s380_l380_m005__hold10,0.38,0.38,0.005,0.38,0.38,0.005,10,,,738,271.68,1.1,595,222.18,1.09,71,4.16,1.01,74,-203.0,0.7,802,4.382514,159.35,1.06,315.88,298,504,654,3.353846,262.72,1.11,179.28,235,419,,,{},weak_dense_engine_candidate_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d38m005h10/summary.json,probability margin filter
