variant_id,group,run_id,external_verification_status,threshold_id,tier_a_short_threshold,tier_a_long_threshold,tier_a_min_margin,tier_b_short_threshold,tier_b_long_threshold,tier_b_min_margin,max_hold_bars,session_slice_id,tier_b_allowed_subtypes,tier_a_validation_closed_trades,tier_a_validation_net_profit,tier_a_validation_profit_factor,tier_a_oos_closed_trades,tier_a_oos_net_profit,tier_a_oos_profit_factor,tier_b_validation_closed_trades,tier_b_validation_net_profit,tier_b_validation_profit_factor,tier_b_oos_closed_trades,tier_b_oos_net_profit,tier_b_oos_profit_factor,routed_validation_closed_trades,routed_validation_trades_per_day,routed_validation_net_profit,routed_validation_profit_factor,routed_validation_drawdown,routed_validation_short_trades,routed_validation_long_trades,routed_oos_closed_trades,routed_oos_trades_per_day,routed_oos_net_profit,routed_oos_profit_factor,routed_oos_drawdown,routed_oos_short_trades,routed_oos_long_trades,routed_validation_b_fallback_bars,routed_oos_b_fallback_bars,route_coverage_by_split,base_id,routed_fallback_enabled,routed_validation_report_path,routed_validation_aggregation,routed_oos_report_path,routed_oos_aggregation,reentry_cooldown_bars,side_filter_id,side_filter_enabled,tier_a_side_filter_feature_index,tier_b_side_filter_feature_index,judgment,error,summary_path,notes
d340h06_sadx_c0_aonly,hold6_side_adx_density_aonly,run50O_d340h06_sadx_c0_aonly_logreg_deep_v1,completed,a_stage56_d340h06_sadx_c0_aonly_a_s340_l340_m000__b_disabled__hold6__cool0__side_skipshortadx2025,0.34,0.34,0.0,0.45,0.45,0.0,6,,,1139,237.11,1.07,907,2.49,1.0,16,-30.46,0.73,33,-44.61,0.82,1139,6.224044,237.11,1.07,285.05,373,766,907,4.651282,2.49,1.0,233.09,288,619,,,{},d340h06_sadx,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d340h06_sadx_c0_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50O_d340h06_sadx_c0_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d340h06_sadx_c0_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50O_d340h06_sadx_c0_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,skip_short_adx_20_25,True,34,34,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d340h06_sadx_c0_aonly/summary.json,hold6 density frontier with short ADX 20-25 block and Tier B disabled for matched comparison
d340h06_sadx_c0_b045,hold6_side_adx_density_tier_b_comparison,run50O_d340h06_sadx_c0_b045_logreg_deep_v1,completed,a_stage56_d340h06_sadx_c0_b045_a_s340_l340_m000__b_stage56_d340h06_sadx_c0_b045_b_s450_l450_m000__hold6__cool0__side_skipshortadx2025,0.34,0.34,0.0,0.45,0.45,0.0,6,,,1139,237.11,1.07,907,2.49,1.0,16,-30.46,0.73,33,-44.61,0.82,1162,6.349727,148.49,1.05,285.05,377,785,947,4.856410,52.99,1.02,242.69,302,645,,,{},d340h06_sadx,true,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d340h06_sadx_c0_b045/mt5/reports/Project_Obsidian_Prime_v2_run50O_d340h06_sadx_c0_b045_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d340h06_sadx_c0_b045/mt5/reports/Project_Obsidian_Prime_v2_run50O_d340h06_sadx_c0_b045_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,skip_short_adx_20_25,True,34,34,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d340h06_sadx_c0_b045/summary.json,hold6 density frontier with short ADX 20-25 block and B045 fallback
d320h06_sadx_c0_aonly,hold6_side_adx_density_aonly,run50O_d320h06_sadx_c0_aonly_logreg_deep_v1,completed,a_stage56_d320h06_sadx_c0_aonly_a_s320_l320_m000__b_disabled__hold6__cool0__side_skipshortadx2025,0.32,0.32,0.0,0.45,0.45,0.0,6,,,1149,193.69,1.06,911,8.94,1.0,16,-30.46,0.73,33,-44.61,0.82,1149,6.278689,193.69,1.06,285.05,376,773,911,4.671795,8.94,1.0,230.94,290,621,,,{},d320h06_sadx,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d320h06_sadx_c0_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50O_d320h06_sadx_c0_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d320h06_sadx_c0_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50O_d320h06_sadx_c0_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,skip_short_adx_20_25,True,34,34,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d320h06_sadx_c0_aonly/summary.json,extra hold6 density pressure after short ADX block with Tier B disabled
d320h06_sadx_c0_b045,hold6_side_adx_density_tier_b_comparison,run50O_d320h06_sadx_c0_b045_logreg_deep_v1,completed,a_stage56_d320h06_sadx_c0_b045_a_s320_l320_m000__b_stage56_d320h06_sadx_c0_b045_b_s450_l450_m000__hold6__cool0__side_skipshortadx2025,0.32,0.32,0.0,0.45,0.45,0.0,6,,,1149,193.69,1.06,911,8.94,1.0,16,-30.46,0.73,33,-44.61,0.82,1171,6.398907,143.47,1.04,285.05,381,790,952,4.882051,60.5,1.02,240.54,305,647,,,{},d320h06_sadx,true,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d320h06_sadx_c0_b045/mt5/reports/Project_Obsidian_Prime_v2_run50O_d320h06_sadx_c0_b045_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d320h06_sadx_c0_b045/mt5/reports/Project_Obsidian_Prime_v2_run50O_d320h06_sadx_c0_b045_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,0,skip_short_adx_20_25,True,34,34,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d320h06_sadx_c0_b045/summary.json,extra hold6 density pressure after short ADX block with B045 fallback
d315h06_sadx_c1_aonly,hold6_side_adx_cooldown_aonly,run50O_d315h06_sadx_c1_aonly_logreg_deep_v1,completed,a_stage56_d315h06_sadx_c1_aonly_a_s315_l315_m000__b_disabled__hold6__cool1__side_skipshortadx2025,0.315,0.315,0.0,0.45,0.45,0.0,6,,,1046,15.56,1.0,826,23.44,1.01,16,-25.24,0.76,32,-57.46,0.77,1046,5.715847,15.56,1.0,271.82,349,697,826,4.235897,23.44,1.01,258.11,267,559,,,{},d315h06_sadx,false,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d315h06_sadx_c1_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50O_d315h06_sadx_c1_aonly_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d315h06_sadx_c1_aonly/mt5/reports/Project_Obsidian_Prime_v2_run50O_d315h06_sadx_c1_aonly_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,1,skip_short_adx_20_25,True,34,34,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d315h06_sadx_c1_aonly/summary.json,one-bar cooldown survival test with short ADX block and Tier B disabled
d315h06_sadx_c1_b045,hold6_side_adx_cooldown_tier_b_comparison,run50O_d315h06_sadx_c1_b045_logreg_deep_v1,completed,a_stage56_d315h06_sadx_c1_b045_a_s315_l315_m000__b_stage56_d315h06_sadx_c1_b045_b_s450_l450_m000__hold6__cool1__side_skipshortadx2025,0.315,0.315,0.0,0.45,0.45,0.0,6,,,1046,15.56,1.0,826,23.44,1.01,16,-25.24,0.76,32,-57.46,0.77,1080,5.901639,10.51,1.0,268.48,358,722,865,4.435897,56.84,1.02,217.61,285,580,,,{},d315h06_sadx,true,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d315h06_sadx_c1_b045/mt5/reports/Project_Obsidian_Prime_v2_run50O_d315h06_sadx_c1_b045_logreg_deep_v1_routed_validation_is.htm,actual_routed_tester_run,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d315h06_sadx_c1_b045/mt5/reports/Project_Obsidian_Prime_v2_run50O_d315h06_sadx_c1_b045_logreg_deep_v1_routed_oos.htm,actual_routed_tester_run,1,skip_short_adx_20_25,True,34,34,quality_or_density_inconclusive_actual_routed_mt5,,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50O/d315h06_sadx_c1_b045/summary.json,one-bar cooldown survival test with short ADX block and B045 fallback
