candidate_id,candidate_label,split,stage_number,mechanism_family,rule_code,model_family,feature_set,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,long_count,short_count,no_trade_rate,trade_count_delta_vs_reference,activation_rate,candidate_rejection_reason,expected_trade_count_effect,overfit_risk,variant_id,source_stage_number,source_candidate_id,max_hold_bars,reentry_cooldown_bars,group
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4524,237,4761,2035,2726,0.6100737100737101,0,0.3899262899262899,mt5_pending,moderate,medium,s43c02_h4c6,43,c02_top8_stability_ranked_elasticnet,4,6,stage43_low_complexity_best_validation
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3868,380,4248,2038,2210,0.508674531575295,0,0.4913254684247051,mt5_pending,moderate,medium,s43c02_h4c6,43,c02_top8_stability_ranked_elasticnet,4,6,stage43_low_complexity_best_validation
c08_constrained_tree_stump_combo,constrained shallow-tree stump combo,validation_is,43,constrained tree,tree_stump_combo,shallow_tree_proxy,[],4060,766,4826,2045,2781,0.6047502047502047,0,0.39524979524979525,mt5_pending,lower,medium_high,s43c08_h4c6,43,c08_constrained_tree_stump_combo,4,6,stage43_low_complexity_best_oos
c08_constrained_tree_stump_combo,constrained shallow-tree stump combo,oos,43,constrained tree,tree_stump_combo,shallow_tree_proxy,[],3277,396,3673,1692,1981,0.5751792736525561,0,0.4248207263474439,mt5_pending,lower,medium_high,s43c08_h4c6,43,c08_constrained_tree_stump_combo,4,6,stage43_low_complexity_best_oos
c04_histvol_ratio_expansion,realized volatility expansion,validation_is,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1816,231,2047,1038,1009,0.8323505323505324,0,0.16764946764946764,mt5_pending,moderate,medium,s45c04_h4c6,45,c04_histvol_ratio_expansion,4,6,stage45_volatility_expansion_density
c04_histvol_ratio_expansion,realized volatility expansion,oos,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1243,110,1353,716,637,0.8435114503816794,0,0.15648854961832062,mt5_pending,moderate,medium,s45c04_h4c6,45,c04_histvol_ratio_expansion,4,6,stage45_volatility_expansion_density
c06_direction_specific_expansion_breakout,direction-specific expansion breakout,validation_is,45,directional expansion,directional_breakout,score_table_rule,[],282,87,369,168,201,0.9697788697788697,0,0.03022113022113022,mt5_pending,moderate,medium,s45c06_h4c6,45,c06_direction_specific_expansion_breakout,4,6,stage45_directional_expansion_best_oos
c06_direction_specific_expansion_breakout,direction-specific expansion breakout,oos,45,directional expansion,directional_breakout,score_table_rule,[],258,49,307,181,126,0.9644922507517928,0,0.035507749248207265,mt5_pending,moderate,medium,s45c06_h4c6,45,c06_direction_specific_expansion_breakout,4,6,stage45_directional_expansion_best_oos
c03_majority_agreement,majority agreement signal,validation_is,47,majority consensus,majority_agreement,meta_signal_score_table,[],3164,493,3657,1996,1661,0.7004914004914005,0,0.2995085995085995,mt5_pending,moderate,medium,s47c03_h4c6,47,c03_majority_agreement,4,6,stage47_meta_majority_best_validation
c03_majority_agreement,majority agreement signal,oos,47,majority consensus,majority_agreement,meta_signal_score_table,[],2692,294,2986,1651,1335,0.6546379828822577,0,0.3453620171177423,mt5_pending,moderate,medium,s47c03_h4c6,47,c03_majority_agreement,4,6,stage47_meta_majority_best_validation
