variant_id,split,tier,composite_mode,slot_width_minutes,max_hold_bars,rows,et40_nonflat,slot_signal_nonflat,slot_signal_long,slot_signal_short,probability_floor
v54_et40_slot20_first_h2c0_no_b,train,Tier A,et40_slot_first,20,2,29222,17369,5689,2401,3288,0.0
v54_et40_slot20_first_h2c0_no_b,train,Tier B,et40_slot_first,20,2,8970,198,169,80,89,0.0
v54_et40_slot20_first_h2c0_no_b,validation,Tier A,et40_slot_first,20,2,9844,5976,1774,802,972,0.0
v54_et40_slot20_first_h2c0_no_b,validation,Tier B,et40_slot_first,20,2,2366,33,17,10,7,0.0
v54_et40_slot20_first_h2c0_no_b,oos,Tier A,et40_slot_first,20,2,7584,5017,1465,688,777,0.0
v54_et40_slot20_first_h2c0_no_b,oos,Tier B,et40_slot_first,20,2,1062,54,25,12,13,0.0
v55_et40_slot25_first_h2c0_no_b,train,Tier A,et40_slot_first,25,2,29222,17369,4768,2014,2754,0.0
v55_et40_slot25_first_h2c0_no_b,train,Tier B,et40_slot_first,25,2,8970,198,166,78,88,0.0
v55_et40_slot25_first_h2c0_no_b,validation,Tier A,et40_slot_first,25,2,9844,5976,1488,664,824,0.0
v55_et40_slot25_first_h2c0_no_b,validation,Tier B,et40_slot_first,25,2,2366,33,15,9,6,0.0
v55_et40_slot25_first_h2c0_no_b,oos,Tier A,et40_slot_first,25,2,7584,5017,1219,582,637,0.0
v55_et40_slot25_first_h2c0_no_b,oos,Tier B,et40_slot_first,25,2,1062,54,20,9,11,0.0
v56_et40_slot30_first_h2c0_no_b,train,Tier A,et40_slot_first,30,2,29222,17369,4114,1699,2415,0.0
v56_et40_slot30_first_h2c0_no_b,train,Tier B,et40_slot_first,30,2,8970,198,164,77,87,0.0
v56_et40_slot30_first_h2c0_no_b,validation,Tier A,et40_slot_first,30,2,9844,5976,1291,551,740,0.0
v56_et40_slot30_first_h2c0_no_b,validation,Tier B,et40_slot_first,30,2,2366,33,14,8,6,0.0
v56_et40_slot30_first_h2c0_no_b,oos,Tier A,et40_slot_first,30,2,7584,5017,1036,474,562,0.0
v56_et40_slot30_first_h2c0_no_b,oos,Tier B,et40_slot_first,30,2,1062,54,18,9,9,0.0
v57_et40_slot25_prob035_h2c0_no_b,train,Tier A,et40_slot_prob035,25,2,29222,17369,4470,1801,2669,0.35
v57_et40_slot25_prob035_h2c0_no_b,train,Tier B,et40_slot_prob035,25,2,8970,198,166,78,88,0.35
v57_et40_slot25_prob035_h2c0_no_b,validation,Tier A,et40_slot_prob035,25,2,9844,5976,1400,607,793,0.35
v57_et40_slot25_prob035_h2c0_no_b,validation,Tier B,et40_slot_prob035,25,2,2366,33,15,9,6,0.35
v57_et40_slot25_prob035_h2c0_no_b,oos,Tier A,et40_slot_prob035,25,2,7584,5017,1148,540,608,0.35
v57_et40_slot25_prob035_h2c0_no_b,oos,Tier B,et40_slot_prob035,25,2,1062,54,20,9,11,0.35
v58_et40_slot30_prob035_h2c0_no_b,train,Tier A,et40_slot_prob035,30,2,29222,17369,3867,1529,2338,0.35
v58_et40_slot30_prob035_h2c0_no_b,train,Tier B,et40_slot_prob035,30,2,8970,198,164,77,87,0.35
v58_et40_slot30_prob035_h2c0_no_b,validation,Tier A,et40_slot_prob035,30,2,9844,5976,1218,498,720,0.35
v58_et40_slot30_prob035_h2c0_no_b,validation,Tier B,et40_slot_prob035,30,2,2366,33,14,8,6,0.35
v58_et40_slot30_prob035_h2c0_no_b,oos,Tier A,et40_slot_prob035,30,2,7584,5017,979,440,539,0.35
v58_et40_slot30_prob035_h2c0_no_b,oos,Tier B,et40_slot_prob035,30,2,1062,54,18,9,9,0.35
v59_et40_slot25_first_h1c0_no_b,train,Tier A,et40_slot_first,25,1,29222,17369,4768,2014,2754,0.0
v59_et40_slot25_first_h1c0_no_b,train,Tier B,et40_slot_first,25,1,8970,198,166,78,88,0.0
v59_et40_slot25_first_h1c0_no_b,validation,Tier A,et40_slot_first,25,1,9844,5976,1488,664,824,0.0
v59_et40_slot25_first_h1c0_no_b,validation,Tier B,et40_slot_first,25,1,2366,33,15,9,6,0.0
v59_et40_slot25_first_h1c0_no_b,oos,Tier A,et40_slot_first,25,1,7584,5017,1219,582,637,0.0
v59_et40_slot25_first_h1c0_no_b,oos,Tier B,et40_slot_first,25,1,1062,54,20,9,11,0.0
