variant_id,split,tier,slot_width_minutes,rule_count,rows,context_nonflat,context_long,context_short,context_rule_nonflat
v31_v22_midcov_h1c0_with_b,train,Tier A,40,9,29222,4185,1805,2380,"{""s0_short_rsi_le65"": 487, ""s1_long_breadth_ge75"": 505, ""s2_short_vix_ge20"": 472, ""s3_long_bb_le50"": 384, ""s4_short_ret_ge67"": 493, ""s5_long_breadth_le20"": 430, ""s6_short_us_le33"": 473, ""s7_long_us_le33"": 486, ""s8_short_atr_ge20"": 455}"
v31_v22_midcov_h1c0_with_b,train,Tier B,40,9,8970,1708,633,1075,"{""s0_short_rsi_le65"": 401, ""s1_long_breadth_ge75"": 116, ""s2_short_vix_ge20"": 21, ""s3_long_bb_le50"": 144, ""s4_short_ret_ge67"": 221, ""s5_long_breadth_le20"": 138, ""s6_short_us_le33"": 249, ""s7_long_us_le33"": 235, ""s8_short_atr_ge20"": 183}"
v31_v22_midcov_h1c0_with_b,validation,Tier A,40,9,9844,1320,576,744,"{""s0_short_rsi_le65"": 155, ""s1_long_breadth_ge75"": 158, ""s2_short_vix_ge20"": 155, ""s3_long_bb_le50"": 140, ""s4_short_ret_ge67"": 152, ""s5_long_breadth_le20"": 136, ""s6_short_us_le33"": 152, ""s7_long_us_le33"": 142, ""s8_short_atr_ge20"": 130}"
v31_v22_midcov_h1c0_with_b,validation,Tier B,40,9,2366,362,163,199,"{""s0_short_rsi_le65"": 35, ""s1_long_breadth_ge75"": 23, ""s2_short_vix_ge20"": 16, ""s3_long_bb_le50"": 49, ""s4_short_ret_ge67"": 56, ""s5_long_breadth_le20"": 31, ""s6_short_us_le33"": 57, ""s7_long_us_le33"": 60, ""s8_short_atr_ge20"": 35}"
v31_v22_midcov_h1c0_with_b,oos,Tier A,40,9,7584,940,421,519,"{""s0_short_rsi_le65"": 101, ""s1_long_breadth_ge75"": 115, ""s2_short_vix_ge20"": 119, ""s3_long_bb_le50"": 88, ""s4_short_ret_ge67"": 117, ""s5_long_breadth_le20"": 102, ""s6_short_us_le33"": 111, ""s7_long_us_le33"": 116, ""s8_short_atr_ge20"": 71}"
v31_v22_midcov_h1c0_with_b,oos,Tier B,40,9,1062,205,81,124,"{""s0_short_rsi_le65"": 28, ""s1_long_breadth_ge75"": 7, ""s2_short_vix_ge20"": 14, ""s3_long_bb_le50"": 17, ""s4_short_ret_ge67"": 22, ""s5_long_breadth_le20"": 18, ""s6_short_us_le33"": 35, ""s7_long_us_le33"": 39, ""s8_short_atr_ge20"": 25}"
v32_v22_midcov_h3c0_with_b,train,Tier A,40,9,29222,4185,1805,2380,"{""s0_short_rsi_le65"": 487, ""s1_long_breadth_ge75"": 505, ""s2_short_vix_ge20"": 472, ""s3_long_bb_le50"": 384, ""s4_short_ret_ge67"": 493, ""s5_long_breadth_le20"": 430, ""s6_short_us_le33"": 473, ""s7_long_us_le33"": 486, ""s8_short_atr_ge20"": 455}"
v32_v22_midcov_h3c0_with_b,train,Tier B,40,9,8970,1708,633,1075,"{""s0_short_rsi_le65"": 401, ""s1_long_breadth_ge75"": 116, ""s2_short_vix_ge20"": 21, ""s3_long_bb_le50"": 144, ""s4_short_ret_ge67"": 221, ""s5_long_breadth_le20"": 138, ""s6_short_us_le33"": 249, ""s7_long_us_le33"": 235, ""s8_short_atr_ge20"": 183}"
v32_v22_midcov_h3c0_with_b,validation,Tier A,40,9,9844,1320,576,744,"{""s0_short_rsi_le65"": 155, ""s1_long_breadth_ge75"": 158, ""s2_short_vix_ge20"": 155, ""s3_long_bb_le50"": 140, ""s4_short_ret_ge67"": 152, ""s5_long_breadth_le20"": 136, ""s6_short_us_le33"": 152, ""s7_long_us_le33"": 142, ""s8_short_atr_ge20"": 130}"
v32_v22_midcov_h3c0_with_b,validation,Tier B,40,9,2366,362,163,199,"{""s0_short_rsi_le65"": 35, ""s1_long_breadth_ge75"": 23, ""s2_short_vix_ge20"": 16, ""s3_long_bb_le50"": 49, ""s4_short_ret_ge67"": 56, ""s5_long_breadth_le20"": 31, ""s6_short_us_le33"": 57, ""s7_long_us_le33"": 60, ""s8_short_atr_ge20"": 35}"
v32_v22_midcov_h3c0_with_b,oos,Tier A,40,9,7584,940,421,519,"{""s0_short_rsi_le65"": 101, ""s1_long_breadth_ge75"": 115, ""s2_short_vix_ge20"": 119, ""s3_long_bb_le50"": 88, ""s4_short_ret_ge67"": 117, ""s5_long_breadth_le20"": 102, ""s6_short_us_le33"": 111, ""s7_long_us_le33"": 116, ""s8_short_atr_ge20"": 71}"
v32_v22_midcov_h3c0_with_b,oos,Tier B,40,9,1062,205,81,124,"{""s0_short_rsi_le65"": 28, ""s1_long_breadth_ge75"": 7, ""s2_short_vix_ge20"": 14, ""s3_long_bb_le50"": 17, ""s4_short_ret_ge67"": 22, ""s5_long_breadth_le20"": 18, ""s6_short_us_le33"": 35, ""s7_long_us_le33"": 39, ""s8_short_atr_ge20"": 25}"
v33_v22_midcov_h4c0_with_b,train,Tier A,40,9,29222,4185,1805,2380,"{""s0_short_rsi_le65"": 487, ""s1_long_breadth_ge75"": 505, ""s2_short_vix_ge20"": 472, ""s3_long_bb_le50"": 384, ""s4_short_ret_ge67"": 493, ""s5_long_breadth_le20"": 430, ""s6_short_us_le33"": 473, ""s7_long_us_le33"": 486, ""s8_short_atr_ge20"": 455}"
v33_v22_midcov_h4c0_with_b,train,Tier B,40,9,8970,1708,633,1075,"{""s0_short_rsi_le65"": 401, ""s1_long_breadth_ge75"": 116, ""s2_short_vix_ge20"": 21, ""s3_long_bb_le50"": 144, ""s4_short_ret_ge67"": 221, ""s5_long_breadth_le20"": 138, ""s6_short_us_le33"": 249, ""s7_long_us_le33"": 235, ""s8_short_atr_ge20"": 183}"
v33_v22_midcov_h4c0_with_b,validation,Tier A,40,9,9844,1320,576,744,"{""s0_short_rsi_le65"": 155, ""s1_long_breadth_ge75"": 158, ""s2_short_vix_ge20"": 155, ""s3_long_bb_le50"": 140, ""s4_short_ret_ge67"": 152, ""s5_long_breadth_le20"": 136, ""s6_short_us_le33"": 152, ""s7_long_us_le33"": 142, ""s8_short_atr_ge20"": 130}"
v33_v22_midcov_h4c0_with_b,validation,Tier B,40,9,2366,362,163,199,"{""s0_short_rsi_le65"": 35, ""s1_long_breadth_ge75"": 23, ""s2_short_vix_ge20"": 16, ""s3_long_bb_le50"": 49, ""s4_short_ret_ge67"": 56, ""s5_long_breadth_le20"": 31, ""s6_short_us_le33"": 57, ""s7_long_us_le33"": 60, ""s8_short_atr_ge20"": 35}"
v33_v22_midcov_h4c0_with_b,oos,Tier A,40,9,7584,940,421,519,"{""s0_short_rsi_le65"": 101, ""s1_long_breadth_ge75"": 115, ""s2_short_vix_ge20"": 119, ""s3_long_bb_le50"": 88, ""s4_short_ret_ge67"": 117, ""s5_long_breadth_le20"": 102, ""s6_short_us_le33"": 111, ""s7_long_us_le33"": 116, ""s8_short_atr_ge20"": 71}"
v33_v22_midcov_h4c0_with_b,oos,Tier B,40,9,1062,205,81,124,"{""s0_short_rsi_le65"": 28, ""s1_long_breadth_ge75"": 7, ""s2_short_vix_ge20"": 14, ""s3_long_bb_le50"": 17, ""s4_short_ret_ge67"": 22, ""s5_long_breadth_le20"": 18, ""s6_short_us_le33"": 35, ""s7_long_us_le33"": 39, ""s8_short_atr_ge20"": 25}"
v34_v22_midcov_h3c2_with_b,train,Tier A,40,9,29222,4185,1805,2380,"{""s0_short_rsi_le65"": 487, ""s1_long_breadth_ge75"": 505, ""s2_short_vix_ge20"": 472, ""s3_long_bb_le50"": 384, ""s4_short_ret_ge67"": 493, ""s5_long_breadth_le20"": 430, ""s6_short_us_le33"": 473, ""s7_long_us_le33"": 486, ""s8_short_atr_ge20"": 455}"
v34_v22_midcov_h3c2_with_b,train,Tier B,40,9,8970,1708,633,1075,"{""s0_short_rsi_le65"": 401, ""s1_long_breadth_ge75"": 116, ""s2_short_vix_ge20"": 21, ""s3_long_bb_le50"": 144, ""s4_short_ret_ge67"": 221, ""s5_long_breadth_le20"": 138, ""s6_short_us_le33"": 249, ""s7_long_us_le33"": 235, ""s8_short_atr_ge20"": 183}"
