run_id,adapter_id,repair_label,split,view,route_role,tier_b_policy,atr_enabled,model_risk_enabled,fixed_lot,atr_stop_multiplier,atr_take_profit_multiplier,model_risk_max_pct,status,trades_per_day,profit_factor,net_profit,trade_count,max_drawdown_amount,max_drawdown_percent,expectancy,cost_stressed_expectancy,same_move_reentry_ratio,mfe_capture_ratio,cooldown12_trades_per_day,density_gain_survives_12bar_cooldown,risk_floor_applied_count,max_model_risk_pct,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,report_path,notes
run50BU_stage56_baseline_adapter_repair_v1,ba02_control_no_atr_fixed_lot,control_no_atr_fixed_lot,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,False,False,0.1000000000,0.0000000000,0.0000000000,0.0000000000,completed,8.9180327869,1.1900000000,448.1300000000,1632,147.1000000000,27.1700000000,0.2700000000,,,,,,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BU/mt5/reports/Project_Obsidian_Prime_v2_run50BU_stage56_baseline_adapter_repair_v1_ba02_control_no_atr_fixed_lot_ta_val.htm,Run the adapter entry/route path with run50BR-style no ATR and fixed 0.1 lot.
run50BU_stage56_baseline_adapter_repair_v1,ba02_control_no_atr_fixed_lot,control_no_atr_fixed_lot,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,False,False,0.1000000000,0.0000000000,0.0000000000,0.0000000000,completed,8.9180327869,1.1900000000,448.1300000000,1632,147.1000000000,27.1700000000,0.2700000000,-0.2254105392,0.4650735294,0.6064957233,4.7704918033,False,0,0.0000000000,0.0000000000,0.0211905729,0.0000000000,0.0000000000,0.0000000000,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BU/mt5/reports/Project_Obsidian_Prime_v2_run50BU_stage56_baseline_adapter_repair_v1_ba02_control_no_atr_fixed_lot_rt_val.htm,Run the adapter entry/route path with run50BR-style no ATR and fixed 0.1 lot.
run50BU_stage56_baseline_adapter_repair_v1,ba02_control_no_atr_fixed_lot,control_no_atr_fixed_lot,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.
run50BU_stage56_baseline_adapter_repair_v1,ba02_control_no_atr_fixed_lot,control_no_atr_fixed_lot,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,False,False,0.1000000000,0.0000000000,0.0000000000,0.0000000000,completed,6.3589743590,1.2000000000,370.7400000000,1240,157.1800000000,30.1700000000,0.3000000000,,,,,,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BU/mt5/reports/Project_Obsidian_Prime_v2_run50BU_stage56_baseline_adapter_repair_v1_ba02_control_no_atr_fixed_lot_ta_oos.htm,Run the adapter entry/route path with run50BR-style no ATR and fixed 0.1 lot.
run50BU_stage56_baseline_adapter_repair_v1,ba02_control_no_atr_fixed_lot,control_no_atr_fixed_lot,oos,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,False,False,0.1000000000,0.0000000000,0.0000000000,0.0000000000,completed,6.3589743590,1.2000000000,370.7400000000,1240,157.1800000000,30.1700000000,0.3000000000,-0.2010161290,0.5177419355,0.6196394258,3.0666666667,False,0,0.0000000000,0.0000000000,0.0207410338,0.0000000000,0.0000000000,0.0000000000,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BU/mt5/reports/Project_Obsidian_Prime_v2_run50BU_stage56_baseline_adapter_repair_v1_ba02_control_no_atr_fixed_lot_rt_oos.htm,Run the adapter entry/route path with run50BR-style no ATR and fixed 0.1 lot.
run50BU_stage56_baseline_adapter_repair_v1,ba02_control_no_atr_fixed_lot,control_no_atr_fixed_lot,oos,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.
run50BU_stage56_baseline_adapter_repair_v1,ba03_atr_fixed_lot,atr_fixed_lot,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,False,0.1000000000,1.5000000000,2.0000000000,0.0000000000,completed,9.6448087432,1.0600000000,139.2400000000,1765,141.7100000000,26.8300000000,0.0800000000,,,,,,0,0.0000000000,0.0000000000,0.0211905729,3634.3977404655,5451.5966106983,7268.7954809311,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BU/mt5/reports/Project_Obsidian_Prime_v2_run50BU_stage56_baseline_adapter_repair_v1_ba03_atr_fixed_lot_ta_val.htm,Keep ATR bracket but remove dynamic risk sizing to isolate bracket damage.
run50BU_stage56_baseline_adapter_repair_v1,ba03_atr_fixed_lot,atr_fixed_lot,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,False,0.1000000000,1.5000000000,2.0000000000,0.0000000000,completed,9.6448087432,1.0600000000,139.2400000000,1765,141.7100000000,26.8300000000,0.0800000000,-0.4211104816,0.4645892351,0.6238061370,5.1639344262,True,0,0.0000000000,0.0000000000,0.0211905729,3634.3977404655,5451.5966106983,7268.7954809311,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BU/mt5/reports/Project_Obsidian_Prime_v2_run50BU_stage56_baseline_adapter_repair_v1_ba03_atr_fixed_lot_rt_val.htm,Keep ATR bracket but remove dynamic risk sizing to isolate bracket damage.
run50BU_stage56_baseline_adapter_repair_v1,ba03_atr_fixed_lot,atr_fixed_lot,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.
run50BU_stage56_baseline_adapter_repair_v1,ba03_atr_fixed_lot,atr_fixed_lot,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,False,0.1000000000,1.5000000000,2.0000000000,0.0000000000,completed,6.7948717949,1.2000000000,358.2600000000,1325,152.0900000000,28.9200000000,0.2700000000,,,,,,0,0.0000000000,0.0000000000,0.0207410338,3903.3644985684,5855.0467478526,7806.7289971368,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BU/mt5/reports/Project_Obsidian_Prime_v2_run50BU_stage56_baseline_adapter_repair_v1_ba03_atr_fixed_lot_ta_oos.htm,Keep ATR bracket but remove dynamic risk sizing to isolate bracket damage.
