variant_id,split,tier,composite_mode,entry_transition_only,firewall_enabled,rows,context_nonflat,et40_nonflat,final_nonflat,final_long,final_short,context_primary_nonflat,et_slotfill_nonflat,firewall_blocked
v60_v47_et_stable_damage_firewall_h2c0_no_b,train,Tier A,context_plus_et40_slot_fill,False,True,29222,4389,17369,7234,3193,4041,4389,3133,288
v60_v47_et_stable_damage_firewall_h2c0_no_b,train,Tier B,context_plus_et40_slot_fill,False,True,8970,1904,198,1955,837,1118,1904,51,0
v60_v47_et_stable_damage_firewall_h2c0_no_b,validation,Tier A,context_plus_et40_slot_fill,False,True,9844,1403,5976,2281,1029,1252,1403,971,93
v60_v47_et_stable_damage_firewall_h2c0_no_b,validation,Tier B,context_plus_et40_slot_fill,False,True,2366,438,33,447,223,224,438,9,0
v60_v47_et_stable_damage_firewall_h2c0_no_b,oos,Tier A,context_plus_et40_slot_fill,False,True,7584,1027,5017,1737,816,921,1027,784,74
v60_v47_et_stable_damage_firewall_h2c0_no_b,oos,Tier B,context_plus_et40_slot_fill,False,True,1062,244,54,258,117,141,244,14,0
v61_v47_et_firewall_h2_transition_no_b,train,Tier A,context_plus_et40_slot_fill,True,True,29222,4389,17369,7234,3193,4041,4389,3133,288
v61_v47_et_firewall_h2_transition_no_b,train,Tier B,context_plus_et40_slot_fill,True,True,8970,1904,198,1955,837,1118,1904,51,0
v61_v47_et_firewall_h2_transition_no_b,validation,Tier A,context_plus_et40_slot_fill,True,True,9844,1403,5976,2281,1029,1252,1403,971,93
v61_v47_et_firewall_h2_transition_no_b,validation,Tier B,context_plus_et40_slot_fill,True,True,2366,438,33,447,223,224,438,9,0
v61_v47_et_firewall_h2_transition_no_b,oos,Tier A,context_plus_et40_slot_fill,True,True,7584,1027,5017,1737,816,921,1027,784,74
v61_v47_et_firewall_h2_transition_no_b,oos,Tier B,context_plus_et40_slot_fill,True,True,1062,244,54,258,117,141,244,14,0
v62_v47_et_firewall_h4_transition_no_b,train,Tier A,context_plus_et40_slot_fill,True,True,29222,4389,17369,7234,3193,4041,4389,3133,288
v62_v47_et_firewall_h4_transition_no_b,train,Tier B,context_plus_et40_slot_fill,True,True,8970,1904,198,1955,837,1118,1904,51,0
v62_v47_et_firewall_h4_transition_no_b,validation,Tier A,context_plus_et40_slot_fill,True,True,9844,1403,5976,2281,1029,1252,1403,971,93
v62_v47_et_firewall_h4_transition_no_b,validation,Tier B,context_plus_et40_slot_fill,True,True,2366,438,33,447,223,224,438,9,0
v62_v47_et_firewall_h4_transition_no_b,oos,Tier A,context_plus_et40_slot_fill,True,True,7584,1027,5017,1737,816,921,1027,784,74
v62_v47_et_firewall_h4_transition_no_b,oos,Tier B,context_plus_et40_slot_fill,True,True,1062,244,54,258,117,141,244,14,0
v63_v47_et_firewall_h6_transition_no_b,train,Tier A,context_plus_et40_slot_fill,True,True,29222,4389,17369,7234,3193,4041,4389,3133,288
v63_v47_et_firewall_h6_transition_no_b,train,Tier B,context_plus_et40_slot_fill,True,True,8970,1904,198,1955,837,1118,1904,51,0
v63_v47_et_firewall_h6_transition_no_b,validation,Tier A,context_plus_et40_slot_fill,True,True,9844,1403,5976,2281,1029,1252,1403,971,93
v63_v47_et_firewall_h6_transition_no_b,validation,Tier B,context_plus_et40_slot_fill,True,True,2366,438,33,447,223,224,438,9,0
v63_v47_et_firewall_h6_transition_no_b,oos,Tier A,context_plus_et40_slot_fill,True,True,7584,1027,5017,1737,816,921,1027,784,74
v63_v47_et_firewall_h6_transition_no_b,oos,Tier B,context_plus_et40_slot_fill,True,True,1062,244,54,258,117,141,244,14,0
