variant_id,split,tier,composite_mode,rows,context_nonflat,et40_nonflat,context_et40_agree,context_et40_conflict,final_nonflat,final_long,final_short,same_direction_reentry_cooldown_bars
v48_midcov_slotfill_sd2_h2c0_no_b,train,Tier A,context_plus_et40_slot_fill,29222,4185,17369,1394,1045,7318,3158,4160,2
v48_midcov_slotfill_sd2_h2c0_no_b,train,Tier B,context_plus_et40_slot_fill,8970,1708,198,74,43,1759,668,1091,2
v48_midcov_slotfill_sd2_h2c0_no_b,validation,Tier A,context_plus_et40_slot_fill,9844,1320,5976,468,327,2290,1017,1273,2
v48_midcov_slotfill_sd2_h2c0_no_b,validation,Tier B,context_plus_et40_slot_fill,2366,362,33,0,3,372,169,203,2
v48_midcov_slotfill_sd2_h2c0_no_b,oos,Tier A,context_plus_et40_slot_fill,7584,940,5017,348,295,1725,800,925,2
v48_midcov_slotfill_sd2_h2c0_no_b,oos,Tier B,context_plus_et40_slot_fill,1062,205,54,6,3,219,88,131,2
v49_midcov_slotfill_sd3_h2c0_no_b,train,Tier A,context_plus_et40_slot_fill,29222,4185,17369,1394,1045,7318,3158,4160,3
v49_midcov_slotfill_sd3_h2c0_no_b,train,Tier B,context_plus_et40_slot_fill,8970,1708,198,74,43,1759,668,1091,3
v49_midcov_slotfill_sd3_h2c0_no_b,validation,Tier A,context_plus_et40_slot_fill,9844,1320,5976,468,327,2290,1017,1273,3
v49_midcov_slotfill_sd3_h2c0_no_b,validation,Tier B,context_plus_et40_slot_fill,2366,362,33,0,3,372,169,203,3
v49_midcov_slotfill_sd3_h2c0_no_b,oos,Tier A,context_plus_et40_slot_fill,7584,940,5017,348,295,1725,800,925,3
v49_midcov_slotfill_sd3_h2c0_no_b,oos,Tier B,context_plus_et40_slot_fill,1062,205,54,6,3,219,88,131,3
v50_topup_slotfill_sd2_h2c0_no_b,train,Tier A,context_plus_et40_slot_fill,29222,4389,17369,1432,1038,7522,3321,4201,2
v50_topup_slotfill_sd2_h2c0_no_b,train,Tier B,context_plus_et40_slot_fill,8970,1904,198,74,43,1955,837,1118,2
v50_topup_slotfill_sd2_h2c0_no_b,validation,Tier A,context_plus_et40_slot_fill,9844,1403,5976,480,318,2374,1065,1309,2
v50_topup_slotfill_sd2_h2c0_no_b,validation,Tier B,context_plus_et40_slot_fill,2366,438,33,1,3,447,223,224,2
v50_topup_slotfill_sd2_h2c0_no_b,oos,Tier A,context_plus_et40_slot_fill,7584,1027,5017,365,296,1811,841,970,2
v50_topup_slotfill_sd2_h2c0_no_b,oos,Tier B,context_plus_et40_slot_fill,1062,244,54,6,3,258,117,141,2
v51_topup_slotfill_sd3_h2c0_no_b,train,Tier A,context_plus_et40_slot_fill,29222,4389,17369,1432,1038,7522,3321,4201,3
v51_topup_slotfill_sd3_h2c0_no_b,train,Tier B,context_plus_et40_slot_fill,8970,1904,198,74,43,1955,837,1118,3
v51_topup_slotfill_sd3_h2c0_no_b,validation,Tier A,context_plus_et40_slot_fill,9844,1403,5976,480,318,2374,1065,1309,3
v51_topup_slotfill_sd3_h2c0_no_b,validation,Tier B,context_plus_et40_slot_fill,2366,438,33,1,3,447,223,224,3
v51_topup_slotfill_sd3_h2c0_no_b,oos,Tier A,context_plus_et40_slot_fill,7584,1027,5017,365,296,1811,841,970,3
v51_topup_slotfill_sd3_h2c0_no_b,oos,Tier B,context_plus_et40_slot_fill,1062,244,54,6,3,258,117,141,3
v52_topup_slotfill_sd4_h2c0_no_b,train,Tier A,context_plus_et40_slot_fill,29222,4389,17369,1432,1038,7522,3321,4201,4
v52_topup_slotfill_sd4_h2c0_no_b,train,Tier B,context_plus_et40_slot_fill,8970,1904,198,74,43,1955,837,1118,4
v52_topup_slotfill_sd4_h2c0_no_b,validation,Tier A,context_plus_et40_slot_fill,9844,1403,5976,480,318,2374,1065,1309,4
v52_topup_slotfill_sd4_h2c0_no_b,validation,Tier B,context_plus_et40_slot_fill,2366,438,33,1,3,447,223,224,4
v52_topup_slotfill_sd4_h2c0_no_b,oos,Tier A,context_plus_et40_slot_fill,7584,1027,5017,365,296,1811,841,970,4
v52_topup_slotfill_sd4_h2c0_no_b,oos,Tier B,context_plus_et40_slot_fill,1062,244,54,6,3,258,117,141,4
v53_topup_slotfill_sd2_h3c0_no_b,train,Tier A,context_plus_et40_slot_fill,29222,4389,17369,1432,1038,7522,3321,4201,2
v53_topup_slotfill_sd2_h3c0_no_b,train,Tier B,context_plus_et40_slot_fill,8970,1904,198,74,43,1955,837,1118,2
v53_topup_slotfill_sd2_h3c0_no_b,validation,Tier A,context_plus_et40_slot_fill,9844,1403,5976,480,318,2374,1065,1309,2
v53_topup_slotfill_sd2_h3c0_no_b,validation,Tier B,context_plus_et40_slot_fill,2366,438,33,1,3,447,223,224,2
v53_topup_slotfill_sd2_h3c0_no_b,oos,Tier A,context_plus_et40_slot_fill,7584,1027,5017,365,296,1811,841,970,2
v53_topup_slotfill_sd2_h3c0_no_b,oos,Tier B,context_plus_et40_slot_fill,1062,244,54,6,3,258,117,141,2
