variant_id,split,tier,slot_width_minutes,rule_count,rows,context_nonflat,context_long,context_short,context_rule_nonflat
v09_slot30_cycle_dense_h2c12_no_b,train,Tier A,30,7,29222,2929,1704,1225,"{""s0_long_bb_ge25"": 450, ""s11_long_us_ge25"": 452, ""s2_short_bb_le75"": 492, ""s3_long_di_ge50"": 355, ""s5_short_vix_ge50"": 351, ""s7_long_adx_le67"": 447, ""s8_short_atr_le25"": 382}"
v09_slot30_cycle_dense_h2c12_no_b,train,Tier B,30,7,8970,1289,801,488,"{""s0_long_bb_ge25"": 354, ""s11_long_us_ge25"": 49, ""s2_short_bb_le75"": 181, ""s3_long_di_ge50"": 166, ""s5_short_vix_ge50"": 31, ""s7_long_adx_le67"": 232, ""s8_short_atr_le25"": 276}"
v09_slot30_cycle_dense_h2c12_no_b,validation,Tier A,30,7,9844,979,563,416,"{""s0_long_bb_ge25"": 144, ""s11_long_us_ge25"": 156, ""s2_short_bb_le75"": 166, ""s3_long_di_ge50"": 116, ""s5_short_vix_ge50"": 118, ""s7_long_adx_le67"": 147, ""s8_short_atr_le25"": 132}"
v09_slot30_cycle_dense_h2c12_no_b,validation,Tier B,30,7,2366,324,170,154,"{""s0_long_bb_ge25"": 30, ""s11_long_us_ge25"": 10, ""s2_short_bb_le75"": 53, ""s3_long_di_ge50"": 50, ""s5_short_vix_ge50"": 14, ""s7_long_adx_le67"": 80, ""s8_short_atr_le25"": 87}"
v09_slot30_cycle_dense_h2c12_no_b,oos,Tier A,30,7,7584,693,391,302,"{""s0_long_bb_ge25"": 92, ""s11_long_us_ge25"": 109, ""s2_short_bb_le75"": 121, ""s3_long_di_ge50"": 83, ""s5_short_vix_ge50"": 82, ""s7_long_adx_le67"": 107, ""s8_short_atr_le25"": 99}"
v09_slot30_cycle_dense_h2c12_no_b,oos,Tier B,30,7,1062,204,96,108,"{""s0_long_bb_ge25"": 24, ""s11_long_us_ge25"": 8, ""s2_short_bb_le75"": 28, ""s3_long_di_ge50"": 9, ""s5_short_vix_ge50"": 21, ""s7_long_adx_le67"": 55, ""s8_short_atr_le25"": 59}"
v10_slot30_cycle_quality_h2c12_no_b,train,Tier A,30,7,29222,2421,1469,952,"{""s0_long_bb_ge33"": 428, ""s11_long_us_ge50"": 239, ""s2_short_di_le25"": 219, ""s3_long_di_ge50"": 355, ""s5_short_vix_ge50"": 351, ""s7_long_adx_le67"": 447, ""s8_short_atr_le25"": 382}"
v10_slot30_cycle_quality_h2c12_no_b,train,Tier B,30,7,8970,1106,746,360,"{""s0_long_bb_ge33"": 329, ""s11_long_us_ge50"": 19, ""s2_short_di_le25"": 53, ""s3_long_di_ge50"": 166, ""s5_short_vix_ge50"": 31, ""s7_long_adx_le67"": 232, ""s8_short_atr_le25"": 276}"
v10_slot30_cycle_quality_h2c12_no_b,validation,Tier A,30,7,9844,809,496,313,"{""s0_long_bb_ge33"": 140, ""s11_long_us_ge50"": 93, ""s2_short_di_le25"": 63, ""s3_long_di_ge50"": 116, ""s5_short_vix_ge50"": 118, ""s7_long_adx_le67"": 147, ""s8_short_atr_le25"": 132}"
v10_slot30_cycle_quality_h2c12_no_b,validation,Tier B,30,7,2366,281,164,117,"{""s0_long_bb_ge33"": 29, ""s11_long_us_ge50"": 5, ""s2_short_di_le25"": 16, ""s3_long_di_ge50"": 50, ""s5_short_vix_ge50"": 14, ""s7_long_adx_le67"": 80, ""s8_short_atr_le25"": 87}"
