variant_id,split,tier,slot_width_minutes,rule_count,rows,context_nonflat,context_long,context_short,context_rule_nonflat
v21_w40_esol_highcov_lr2_h2c0_no_b,train,Tier A,40,9,29222,4469,1970,2499,"{""s0_short_rsi_le65"": 487, ""s1_long_breadth_ge75"": 505, ""s2_short_us_ge50"": 552, ""s3_long_ppo_le80"": 477, ""s4_short_ret_ge67"": 493, ""s5_long_ret_le33"": 502, ""s6_short_us_le33"": 473, ""s7_long_us_le33"": 486, ""s8_short_hv_ge20"": 494}"
v21_w40_esol_highcov_lr2_h2c0_no_b,train,Tier B,40,9,8970,2082,802,1280,"{""s0_short_rsi_le65"": 401, ""s1_long_breadth_ge75"": 116, ""s2_short_us_ge50"": 199, ""s3_long_ppo_le80"": 245, ""s4_short_ret_ge67"": 221, ""s5_long_ret_le33"": 206, ""s6_short_us_le33"": 249, ""s7_long_us_le33"": 235, ""s8_short_hv_ge20"": 210}"
v21_w40_esol_highcov_lr2_h2c0_no_b,validation,Tier A,40,9,9844,1423,624,799,"{""s0_short_rsi_le65"": 155, ""s1_long_breadth_ge75"": 158, ""s2_short_us_ge50"": 175, ""s3_long_ppo_le80"": 163, ""s4_short_ret_ge67"": 152, ""s5_long_ret_le33"": 161, ""s6_short_us_le33"": 152, ""s7_long_us_le33"": 142, ""s8_short_hv_ge20"": 165}"
v21_w40_esol_highcov_lr2_h2c0_no_b,validation,Tier B,40,9,2366,471,218,253,"{""s0_short_rsi_le65"": 35, ""s1_long_breadth_ge75"": 23, ""s2_short_us_ge50"": 49, ""s3_long_ppo_le80"": 76, ""s4_short_ret_ge67"": 56, ""s5_long_ret_le33"": 59, ""s6_short_us_le33"": 57, ""s7_long_us_le33"": 60, ""s8_short_hv_ge20"": 56}"
v21_w40_esol_highcov_lr2_h2c0_no_b,oos,Tier A,40,9,7584,1037,465,572,"{""s0_short_rsi_le65"": 101, ""s1_long_breadth_ge75"": 115, ""s2_short_us_ge50"": 129, ""s3_long_ppo_le80"": 114, ""s4_short_ret_ge67"": 117, ""s5_long_ret_le33"": 120, ""s6_short_us_le33"": 111, ""s7_long_us_le33"": 116, ""s8_short_hv_ge20"": 114}"
v21_w40_esol_highcov_lr2_h2c0_no_b,oos,Tier B,40,9,1062,243,110,133,"{""s0_short_rsi_le65"": 28, ""s1_long_breadth_ge75"": 7, ""s2_short_us_ge50"": 13, ""s3_long_ppo_le80"": 32, ""s4_short_ret_ge67"": 22, ""s5_long_ret_le33"": 32, ""s6_short_us_le33"": 35, ""s7_long_us_le33"": 39, ""s8_short_hv_ge20"": 35}"
v22_w40_esol_midcov_lr2_h2c0_no_b,train,Tier A,40,9,29222,4185,1805,2380,"{""s0_short_rsi_le65"": 487, ""s1_long_breadth_ge75"": 505, ""s2_short_vix_ge20"": 472, ""s3_long_bb_le50"": 384, ""s4_short_ret_ge67"": 493, ""s5_long_breadth_le20"": 430, ""s6_short_us_le33"": 473, ""s7_long_us_le33"": 486, ""s8_short_atr_ge20"": 455}"
v22_w40_esol_midcov_lr2_h2c0_no_b,train,Tier B,40,9,8970,1708,633,1075,"{""s0_short_rsi_le65"": 401, ""s1_long_breadth_ge75"": 116, ""s2_short_vix_ge20"": 21, ""s3_long_bb_le50"": 144, ""s4_short_ret_ge67"": 221, ""s5_long_breadth_le20"": 138, ""s6_short_us_le33"": 249, ""s7_long_us_le33"": 235, ""s8_short_atr_ge20"": 183}"
v22_w40_esol_midcov_lr2_h2c0_no_b,validation,Tier A,40,9,9844,1320,576,744,"{""s0_short_rsi_le65"": 155, ""s1_long_breadth_ge75"": 158, ""s2_short_vix_ge20"": 155, ""s3_long_bb_le50"": 140, ""s4_short_ret_ge67"": 152, ""s5_long_breadth_le20"": 136, ""s6_short_us_le33"": 152, ""s7_long_us_le33"": 142, ""s8_short_atr_ge20"": 130}"
v22_w40_esol_midcov_lr2_h2c0_no_b,validation,Tier B,40,9,2366,362,163,199,"{""s0_short_rsi_le65"": 35, ""s1_long_breadth_ge75"": 23, ""s2_short_vix_ge20"": 16, ""s3_long_bb_le50"": 49, ""s4_short_ret_ge67"": 56, ""s5_long_breadth_le20"": 31, ""s6_short_us_le33"": 57, ""s7_long_us_le33"": 60, ""s8_short_atr_ge20"": 35}"
