run_id,variant_id,split,trade_index,direction,open_time,close_time,hold_bars,net_profit,session_slice,volatility_regime,trend_regime,adx_bucket,spread_regime
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,1,sell,2025-01-02 16:35:00,2025-01-02 16:50:00,3.0,-3.65,early,vol_mid,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,2,buy,2025-01-02 16:50:00,2025-01-02 17:20:00,6.0,5.46,early,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,3,buy,2025-01-02 17:35:00,2025-01-02 18:10:00,7.0,-3.76,early,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,4,buy,2025-01-02 18:25:00,2025-01-02 18:55:00,6.0,1.71,mid,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,5,buy,2025-01-02 19:10:00,2025-01-02 19:40:00,6.0,-23.33,mid,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,6,sell,2025-01-02 19:55:00,2025-01-02 20:25:00,6.0,-0.2,mid,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,7,sell,2025-01-02 20:40:00,2025-01-02 20:45:00,1.0,-4.57,late,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,8,buy,2025-01-02 20:45:00,2025-01-02 21:15:00,6.0,0.11,late,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,9,buy,2025-01-02 21:30:00,2025-01-02 22:00:00,6.0,-4.98,late,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,10,buy,2025-01-03 16:45:00,2025-01-03 17:15:00,6.0,-7.65,early,vol_mid,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,11,buy,2025-01-03 17:30:00,2025-01-03 18:00:00,6.0,4.22,early,vol_high,downtrend,adx_20_25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,12,buy,2025-01-03 18:15:00,2025-01-03 18:45:00,6.0,10.82,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,13,buy,2025-01-03 19:00:00,2025-01-03 19:30:00,6.0,-1.61,mid,vol_mid,range_or_weak_trend,adx_lt20,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,14,buy,2025-01-03 19:50:00,2025-01-03 20:20:00,6.0,2.22,mid,vol_low,range_or_weak_trend,adx_lt20,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,15,buy,2025-01-03 20:35:00,2025-01-03 21:05:00,6.0,2.01,late,vol_low,range_or_weak_trend,adx_lt20,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,16,buy,2025-01-03 21:25:00,2025-01-03 22:00:00,7.0,0.03,late,vol_low,downtrend,adx_20_25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,17,buy,2025-01-06 16:45:00,2025-01-06 17:20:00,7.0,7.01,early,vol_mid,downtrend,adx_20_25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,18,buy,2025-01-06 17:35:00,2025-01-06 18:20:00,9.0,1.79,early,vol_high,downtrend,adx_gt25,spread_low
run50W_nfw_s35l22_c2_sadx_logreg_deep_v1,nfw_s35l22_c2_sadx,validation,19,buy,2025-01-06 18:45:00,2025-01-06 19:20:00,7.0,-3.22,mid,vol_low,downtrend,adx_gt25,spread_low
