variant_id,split,tier,primary_source,secondary_source,composite_mode,rows,primary_nonflat,secondary_nonflat,composite_nonflat,source_agree_nonflat,source_conflict_nonflat,composite_long,composite_short
v01_s47_primary_s45_flatfill_h4c6,validation,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,primary_flatfill,9844,3164,1816,4181,773,26,2241,1940
v01_s47_primary_s45_flatfill_h4c6,validation,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,primary_flatfill,2366,493,231,659,62,3,436,223
v01_s47_primary_s45_flatfill_h4c6,oos,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,primary_flatfill,7584,2692,1243,3385,519,31,1917,1468
v01_s47_primary_s45_flatfill_h4c6,oos,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,primary_flatfill,1062,294,110,367,34,3,202,165
v02_s45_primary_s47_flatfill_h4c6,validation,Tier A,s45_c04_histvol_ratio_expansion,s47_c03_majority_agreement,primary_flatfill,9844,1816,3164,4181,773,26,2233,1948
v02_s45_primary_s47_flatfill_h4c6,validation,Tier B,s45_c04_histvol_ratio_expansion,s47_c03_majority_agreement,primary_flatfill,2366,231,493,659,62,3,435,224
v02_s45_primary_s47_flatfill_h4c6,oos,Tier A,s45_c04_histvol_ratio_expansion,s47_c03_majority_agreement,primary_flatfill,7584,1243,2692,3385,519,31,1916,1469
v02_s45_primary_s47_flatfill_h4c6,oos,Tier B,s45_c04_histvol_ratio_expansion,s47_c03_majority_agreement,primary_flatfill,1062,110,294,367,34,3,201,166
v03_s47_s45_no_conflict_union_h3c6,validation,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,no_conflict_union,9844,3164,1816,4155,773,26,2224,1931
v03_s47_s45_no_conflict_union_h3c6,validation,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,no_conflict_union,2366,493,231,656,62,3,434,222
v03_s47_s45_no_conflict_union_h3c6,oos,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,no_conflict_union,7584,2692,1243,3354,519,31,1901,1453
v03_s47_s45_no_conflict_union_h3c6,oos,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,no_conflict_union,1062,294,110,364,34,3,200,164
v04_s47_s45_agreement_only_h4c3,validation,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_only,9844,3164,1816,773,773,26,315,458
v04_s47_s45_agreement_only_h4c3,validation,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_only,2366,493,231,62,62,3,32,30
v04_s47_s45_agreement_only_h4c3,oos,Tier A,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_only,7584,2692,1243,519,519,31,217,302
v04_s47_s45_agreement_only_h4c3,oos,Tier B,s47_c03_majority_agreement,s45_c04_histvol_ratio_expansion,agreement_only,1062,294,110,34,34,3,15,19
