candidate_id,candidate_label,split,stage_number,mechanism_family,rule_code,model_family,feature_set,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,long_count,short_count,no_trade_rate,trade_count_delta_vs_reference,activation_rate,candidate_rejection_reason,expected_trade_count_effect,overfit_risk,variant_id,source_stage_number,source_candidate_id,max_hold_bars,reentry_cooldown_bars,routed_fallback_enabled,quality_filter_id,quality_filter_blocked_signals,group
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4524,237,4761,2035,2726,0.6100737100737101,0,0.3899262899262899,mt5_pending,moderate,medium,s43c02_h4c0_no_b,43,c02_top8_stability_ranked_elasticnet,4,0,False,none,0,stage43_tier_b_disabled_raw_density
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3868,380,4248,2038,2210,0.508674531575295,0,0.4913254684247051,mt5_pending,moderate,medium,s43c02_h4c0_no_b,43,c02_top8_stability_ranked_elasticnet,4,0,False,none,0,stage43_tier_b_disabled_raw_density
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4524,237,4761,2035,2726,0.6100737100737101,0,0.3899262899262899,mt5_pending,moderate,medium,s43c02_h4c2_no_b,43,c02_top8_stability_ranked_elasticnet,4,2,False,none,0,stage43_tier_b_disabled_microcooldown
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3868,380,4248,2038,2210,0.508674531575295,0,0.4913254684247051,mt5_pending,moderate,medium,s43c02_h4c2_no_b,43,c02_top8_stability_ranked_elasticnet,4,2,False,none,0,stage43_tier_b_disabled_microcooldown
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4524,237,4761,2035,2726,0.6100737100737101,0,0.3899262899262899,mt5_pending,moderate,medium,s43c02_h4c4_no_b,43,c02_top8_stability_ranked_elasticnet,4,4,False,none,0,stage43_tier_b_disabled_cooldown_stress
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3868,380,4248,2038,2210,0.508674531575295,0,0.4913254684247051,mt5_pending,moderate,medium,s43c02_h4c4_no_b,43,c02_top8_stability_ranked_elasticnet,4,4,False,none,0,stage43_tier_b_disabled_cooldown_stress
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4257,219,4476,1750,2726,0.6334152334152334,0,0.3665847665847666,mt5_pending,moderate,medium,s43c02_h4c0_no_b_blvl,43,c02_top8_stability_ranked_elasticnet,4,0,False,block_buy_lowvol_late,1581,stage43_buy_lowvol_late_firewall
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3568,302,3870,1660,2210,0.5523941707147815,0,0.4476058292852186,mt5_pending,moderate,medium,s43c02_h4c0_no_b_blvl,43,c02_top8_stability_ranked_elasticnet,4,0,False,block_buy_lowvol_late,1581,stage43_buy_lowvol_late_firewall
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4257,219,4476,1750,2726,0.6334152334152334,0,0.3665847665847666,mt5_pending,moderate,medium,s43c02_h4c2_no_b_blvl,43,c02_top8_stability_ranked_elasticnet,4,2,False,block_buy_lowvol_late,1581,stage43_buy_lowvol_late_firewall_microcooldown
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3568,302,3870,1660,2210,0.5523941707147815,0,0.4476058292852186,mt5_pending,moderate,medium,s43c02_h4c2_no_b_blvl,43,c02_top8_stability_ranked_elasticnet,4,2,False,block_buy_lowvol_late,1581,stage43_buy_lowvol_late_firewall_microcooldown
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4257,219,4476,1750,2726,0.6334152334152334,0,0.3665847665847666,mt5_pending,moderate,medium,s43c02_h4c0_with_b_blvl,43,c02_top8_stability_ranked_elasticnet,4,0,True,block_buy_lowvol_late,1581,stage43_buy_lowvol_late_firewall_tier_b_audit
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3568,302,3870,1660,2210,0.5523941707147815,0,0.4476058292852186,mt5_pending,moderate,medium,s43c02_h4c0_with_b_blvl,43,c02_top8_stability_ranked_elasticnet,4,0,True,block_buy_lowvol_late,1581,stage43_buy_lowvol_late_firewall_tier_b_audit
