attempt_name,split,tier,telemetry_path,status,cycle_rows,risk_floor_applied_count,max_model_risk_pct,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,telemetry_sha256
ba11_no_atr_sd4_lot025_ta_val,validation_is,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba11_no_atr_sd4_lot025/telemetry/ba11_no_atr_sd4_lot025_ta_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0529764323,0.0000000000,0.0000000000,0.0000000000,4a9034103d4a70dd204d90ecb7f76fe919c0abb4320c045b027621f9ca5121a0
ba11_no_atr_sd4_lot025_rt_val,validation_is,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba11_no_atr_sd4_lot025/telemetry/ba11_no_atr_sd4_lot025_rt_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0529764323,0.0000000000,0.0000000000,0.0000000000,4a9034103d4a70dd204d90ecb7f76fe919c0abb4320c045b027621f9ca5121a0
ba11_no_atr_sd4_lot025_ta_oos,oos,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba11_no_atr_sd4_lot025/telemetry/ba11_no_atr_sd4_lot025_ta_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0518525844,0.0000000000,0.0000000000,0.0000000000,a07e319c10398231900f2a60e90aa0f3970951c44b3da08f05684ab142491cad
ba11_no_atr_sd4_lot025_rt_oos,oos,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba11_no_atr_sd4_lot025/telemetry/ba11_no_atr_sd4_lot025_rt_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0518525844,0.0000000000,0.0000000000,0.0000000000,a07e319c10398231900f2a60e90aa0f3970951c44b3da08f05684ab142491cad
ba12_no_atr_close_only_lot025_ta_val,validation_is,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba12_no_atr_close_only_lot025/telemetry/ba12_no_atr_close_only_lot025_ta_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0529764323,0.0000000000,0.0000000000,0.0000000000,7a0fcaf2ad879aeb09a479a218be8936e5d66fc9d60ee3a8fe5197f725c68a1a
ba12_no_atr_close_only_lot025_rt_val,validation_is,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba12_no_atr_close_only_lot025/telemetry/ba12_no_atr_close_only_lot025_rt_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0529764323,0.0000000000,0.0000000000,0.0000000000,7a0fcaf2ad879aeb09a479a218be8936e5d66fc9d60ee3a8fe5197f725c68a1a
ba12_no_atr_close_only_lot025_ta_oos,oos,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba12_no_atr_close_only_lot025/telemetry/ba12_no_atr_close_only_lot025_ta_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0518525844,0.0000000000,0.0000000000,0.0000000000,aa68215791298935378c18bd62dcc02698dccf1fc36730384bd4a0008a5c818c
ba12_no_atr_close_only_lot025_rt_oos,oos,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba12_no_atr_close_only_lot025/telemetry/ba12_no_atr_close_only_lot025_rt_oos_telemetry.csv,completed,7584,0,0.0000000000,0.0000000000,0.0518525844,0.0000000000,0.0000000000,0.0000000000,aa68215791298935378c18bd62dcc02698dccf1fc36730384bd4a0008a5c818c
ba13_no_atr_control_lot025_ta_val,validation_is,Tier A,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba13_no_atr_control_lot025/telemetry/ba13_no_atr_control_lot025_ta_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0529764323,0.0000000000,0.0000000000,0.0000000000,f64df41058b2d09f7a6083e390828d9bdaf5ad092e8586c66002f7c4a321dd19
ba13_no_atr_control_lot025_rt_val,validation_is,Tier A+B,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage56/run50BX_baseline_adapter_lot_scale_repair/ba13_no_atr_control_lot025/telemetry/ba13_no_atr_control_lot025_rt_val_telemetry.csv,completed,9844,0,0.0000000000,0.0000000000,0.0529764323,0.0000000000,0.0000000000,0.0000000000,f64df41058b2d09f7a6083e390828d9bdaf5ad092e8586c66002f7c4a321dd19
