candidate_id,candidate_label,split,stage_number,mechanism_family,rule_code,model_family,feature_set,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,long_count,short_count,no_trade_rate,trade_count_delta_vs_reference,activation_rate,candidate_rejection_reason,expected_trade_count_effect,overfit_risk,variant_id,source_stage_number,source_candidate_id,max_hold_bars,reentry_cooldown_bars,group
c04_histvol_ratio_expansion,realized volatility expansion,validation_is,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1816,231,2047,1038,1009,0.8323505323505324,0,0.16764946764946764,mt5_pending,moderate,medium,s45c04_h4c0,45,c04_histvol_ratio_expansion,4,0,stage45_volatility_expansion_raw_density
c04_histvol_ratio_expansion,realized volatility expansion,oos,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1243,110,1353,716,637,0.8435114503816794,0,0.15648854961832062,mt5_pending,moderate,medium,s45c04_h4c0,45,c04_histvol_ratio_expansion,4,0,stage45_volatility_expansion_raw_density
c04_histvol_ratio_expansion,realized volatility expansion,validation_is,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1816,231,2047,1038,1009,0.8323505323505324,0,0.16764946764946764,mt5_pending,moderate,medium,s45c04_h4c2,45,c04_histvol_ratio_expansion,4,2,stage45_volatility_expansion_microcooldown
c04_histvol_ratio_expansion,realized volatility expansion,oos,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1243,110,1353,716,637,0.8435114503816794,0,0.15648854961832062,mt5_pending,moderate,medium,s45c04_h4c2,45,c04_histvol_ratio_expansion,4,2,stage45_volatility_expansion_microcooldown
c04_histvol_ratio_expansion,realized volatility expansion,validation_is,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1816,231,2047,1038,1009,0.8323505323505324,0,0.16764946764946764,mt5_pending,moderate,medium,s45c04_h4c4,45,c04_histvol_ratio_expansion,4,4,stage45_volatility_expansion_cooldown_stress
c04_histvol_ratio_expansion,realized volatility expansion,oos,45,realized-vol expansion,vol_ratio_expansion,score_table_rule,[],1243,110,1353,716,637,0.8435114503816794,0,0.15648854961832062,mt5_pending,moderate,medium,s45c04_h4c4,45,c04_histvol_ratio_expansion,4,4,stage45_volatility_expansion_cooldown_stress
c03_majority_agreement,majority agreement signal,validation_is,47,majority consensus,majority_agreement,meta_signal_score_table,[],3164,493,3657,1996,1661,0.7004914004914005,0,0.2995085995085995,mt5_pending,moderate,medium,s47c03_h4c0,47,c03_majority_agreement,4,0,stage47_meta_majority_raw_density
c03_majority_agreement,majority agreement signal,oos,47,majority consensus,majority_agreement,meta_signal_score_table,[],2692,294,2986,1651,1335,0.6546379828822577,0,0.3453620171177423,mt5_pending,moderate,medium,s47c03_h4c0,47,c03_majority_agreement,4,0,stage47_meta_majority_raw_density
c03_majority_agreement,majority agreement signal,validation_is,47,majority consensus,majority_agreement,meta_signal_score_table,[],3164,493,3657,1996,1661,0.7004914004914005,0,0.2995085995085995,mt5_pending,moderate,medium,s47c03_h4c2,47,c03_majority_agreement,4,2,stage47_meta_majority_microcooldown
c03_majority_agreement,majority agreement signal,oos,47,majority consensus,majority_agreement,meta_signal_score_table,[],2692,294,2986,1651,1335,0.6546379828822577,0,0.3453620171177423,mt5_pending,moderate,medium,s47c03_h4c2,47,c03_majority_agreement,4,2,stage47_meta_majority_microcooldown
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,validation_is,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],4524,237,4761,2035,2726,0.6100737100737101,0,0.3899262899262899,mt5_pending,moderate,medium,s43c02_h4c0,43,c02_top8_stability_ranked_elasticnet,4,0,stage43_low_complexity_raw_density
c02_top8_stability_ranked_elasticnet,top-8 stability-ranked elastic-net proxy,oos,43,stability feature subset,weighted_top8,elastic_net_logistic_proxy,[],3868,380,4248,2038,2210,0.508674531575295,0,0.4913254684247051,mt5_pending,moderate,medium,s43c02_h4c0,43,c02_top8_stability_ranked_elasticnet,4,0,stage43_low_complexity_raw_density
