record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,candidate_id,candidate_alias,candidate_role,source_test_id,source_queue_id,state_profile,followup_profile,pressure_group,model_materialization_type,materialization_boundary
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1021.47,1.59,301,3.39,297.77,16.64,3.43,545,545,0,59283,11651,11651,run267AS_p01_s264_aih_range_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_rt_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1021.47,1.59,301,3.39,297.77,16.64,3.43,545,545,0,59283,11651,11651,run267AS_p01_s264_aih_range_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_ta_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1272.69,1.68,296,4.3,378.03,17.76,3.37,540,540,0,59283,11651,11651,run267AS_p02_s264_aih_volatility_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_rt_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1272.69,1.68,296,4.3,378.03,17.76,3.37,540,540,0,59283,11651,11651,run267AS_p02_s264_aih_volatility_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_ta_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1065.48,1.63,296,3.6,259.33,14.57,4.11,535,535,0,59283,11651,11651,run267AS_p03_s264_aia_range_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_rt_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1065.48,1.63,296,3.6,259.33,14.57,4.11,535,535,0,59283,11651,11651,run267AS_p03_s264_aia_range_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_ta_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1062.17,1.65,293,3.63,242.14,13.71,4.39,530,530,0,59283,11651,11651,run267AS_p04_s264_aia_shock_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_rt_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1062.17,1.65,293,3.63,242.14,13.71,4.39,530,530,0,59283,11651,11651,run267AS_p04_s264_aia_shock_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_ta_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,905.51,1.5,268,3.38,335.56,19.87,2.7,489,489,0,59283,11651,11651,run267AS_p05_s258_stc_volatility_pressure,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
mt5_rt_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,905.51,1.5,268,3.38,335.56,19.87,2.7,489,489,0,59283,11651,11651,run267AS_p05_s258_stc_volatility_pressure,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,research_score_table_pool_wide_state_feature_followup_pressure_v2,pool_wide_state_feature_engineering_followup_pressure_not_retrained
