attempt_name,queue_id,candidate_id,candidate_alias,candidate_role,source_test_id,source_queue_id,state_profile,followup_profile,pressure_group,tier,split,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,runtime_path_policy,execution_status,runtime_status,report_status
run267as_p01_s264_aih_range_pressure_ta_2024,run267AS_p01_s264_aih_range_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_range_expansion_pressure_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p01_s264_aih_range_pressure_ta_2024.set,533a7dc2a7767143514721860880cb9ffcd00f95ccf53110718b8d193e703bbc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p01_s264_aih_range_pressure_ta_2024.ini,42e7659bbe0fb6d85f3fcd34420bc0737b14b2b227931da24e8d6a018f7c6229,OPV2/s267at/s264_aih/p01_s264_aih_range_pressure_ta_2024_telemetry.csv,OPV2/s267at/s264_aih/p01_s264_aih_range_pressure_ta_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p01_s264_aih_range_pressure_rt_2024,run267AS_p01_s264_aih_range_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total_duplicate_boundary,mt5_rt_s264_aih_range_expansion_pressure_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p01_s264_aih_range_pressure_rt_2024.set,025a3f0e395e24a8e8334bb4946cd78c929f0b1e8e7d938988ad446605848d21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p01_s264_aih_range_pressure_rt_2024.ini,7717f476c8d09f97bdbf23ffd817a83e27960510c1f1481c47aaa07552c621d8,OPV2/s267at/s264_aih/p01_s264_aih_range_pressure_rt_2024_telemetry.csv,OPV2/s267at/s264_aih/p01_s264_aih_range_pressure_rt_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p02_s264_aih_volatility_pressure_ta_2024,run267AS_p02_s264_aih_volatility_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_volatility_regime_expans_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p02_s264_aih_volatility_pressure_ta_2024.set,0d2f1449dd92db7afbea62ab8367d46939396f9f9af44271970c38273a854531,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p02_s264_aih_volatility_pressure_ta_2024.ini,95702d11dd5c2bf11c5dae30b2d0047b76c68648ac98f41b1f811e2241a8ac6e,OPV2/s267at/s264_aih/p02_s264_aih_volatility_pressure_ta_2024_telemetry.csv,OPV2/s267at/s264_aih/p02_s264_aih_volatility_pressure_ta_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p02_s264_aih_volatility_pressure_rt_2024,run267AS_p02_s264_aih_volatility_pressure,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total_duplicate_boundary,mt5_rt_s264_aih_volatility_regime_expans_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p02_s264_aih_volatility_pressure_rt_2024.set,5ab51739a0f1e3a0b4448b749c38381140a904f17fe85a46b4096a398789f19e,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p02_s264_aih_volatility_pressure_rt_2024.ini,7c85f6449cc48aea9f1f3bd45c9fd178ee9b0bf9924b16f2c8a01e41cc0f15e1,OPV2/s267at/s264_aih/p02_s264_aih_volatility_pressure_rt_2024_telemetry.csv,OPV2/s267at/s264_aih/p02_s264_aih_volatility_pressure_rt_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p03_s264_aia_range_pressure_ta_2024,run267AS_p03_s264_aia_range_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aia_range_expansion_pressure_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p03_s264_aia_range_pressure_ta_2024.set,f2e723eaa60bf5b140053fe7c676e61d32490f7e7d9be9f8c39665d6eabf6518,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p03_s264_aia_range_pressure_ta_2024.ini,0c40f756271ab2608926662d5a9a5b40d5c3a92d9242c48cb0960a7911eb5938,OPV2/s267at/s264_aia/p03_s264_aia_range_pressure_ta_2024_telemetry.csv,OPV2/s267at/s264_aia/p03_s264_aia_range_pressure_ta_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p03_s264_aia_range_pressure_rt_2024,run267AS_p03_s264_aia_range_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total_duplicate_boundary,mt5_rt_s264_aia_range_expansion_pressure_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p03_s264_aia_range_pressure_rt_2024.set,b3718b66a7a3d639ac1ba2867e1e63fd18a585e3563fc15325ffa30200518f6d,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p03_s264_aia_range_pressure_rt_2024.ini,9fa58eb3dfe936f55b9c0b9f6b693b036d35f3507a9787d93114668783932604,OPV2/s267at/s264_aia/p03_s264_aia_range_pressure_rt_2024_telemetry.csv,OPV2/s267at/s264_aia/p03_s264_aia_range_pressure_rt_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p04_s264_aia_shock_pressure_ta_2024,run267AS_p04_s264_aia_shock_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aia_return_shock_absorption_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p04_s264_aia_shock_pressure_ta_2024.set,b561b9ad7ec538b47eee06b83c5daa9e9579ed2a36178958cd90815fb0ec9bd7,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p04_s264_aia_shock_pressure_ta_2024.ini,9a8818f83eeaef2702c68ba76f5f718c49b9ab1f35f1e681333f5a6ab0382b5b,OPV2/s267at/s264_aia/p04_s264_aia_shock_pressure_ta_2024_telemetry.csv,OPV2/s267at/s264_aia/p04_s264_aia_shock_pressure_ta_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p04_s264_aia_shock_pressure_rt_2024,run267AS_p04_s264_aia_shock_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total_duplicate_boundary,mt5_rt_s264_aia_return_shock_absorption_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p04_s264_aia_shock_pressure_rt_2024.set,d31f8fbfb01920ab7dac9233d0e9502c4b2216972e22a323011acebf4d9e97a1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p04_s264_aia_shock_pressure_rt_2024.ini,fe42c44d86a7ff679702c173cbd07473dc175abfad78d19a2c6fc10261df3da3,OPV2/s267at/s264_aia/p04_s264_aia_shock_pressure_rt_2024_telemetry.csv,OPV2/s267at/s264_aia/p04_s264_aia_shock_pressure_rt_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p05_s258_stc_volatility_pressure_ta_2024,run267AS_p05_s258_stc_volatility_pressure,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s258_stc_volatility_regime_expans_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p05_s258_stc_volatility_pressure_ta_2024.set,77d9fb6b45587539e1fd4f755225f5101b8130376887072c390796949029e19a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p05_s258_stc_volatility_pressure_ta_2024.ini,f10d216e0d6b2950382c9a247299657ff8f291a31331b14d768d114387672573,OPV2/s267at/s258_stc/p05_s258_stc_volatility_pressure_ta_2024_telemetry.csv,OPV2/s267at/s258_stc/p05_s258_stc_volatility_pressure_ta_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
run267as_p05_s258_stc_volatility_pressure_rt_2024,run267AS_p05_s258_stc_volatility_pressure,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total_duplicate_boundary,mt5_rt_s258_stc_volatility_regime_expans_as,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AT/pool_wide_state_feature_engineering_followup_mt5_execution/mt5/short_telemetry_sets/run267as_p05_s258_stc_volatility_pressure_rt_2024.set,a5c937d1673caec6f2b64383a6b6c8653562fe9d5f5d5dc98696fb7effb9d617,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AS/pool_wide_state_feature_engineering_followup_materialization/mt5/run267as_p05_s258_stc_volatility_pressure_rt_2024.ini,82239ab9bfa81d72fbb858c96a44e7e806be1ae6045db6040a949bedbdac1a3b,OPV2/s267at/s258_stc/p05_s258_stc_volatility_pressure_rt_2024_telemetry.csv,OPV2/s267at/s258_stc/p05_s258_stc_volatility_pressure_rt_2024_summary.csv,run267AT_short_common_files_telemetry_paths_only,completed,completed,completed
