run_id,source_run_id,variant_id,family,threshold,short_quantile,max_hold_m5,validation_trade_count,validation_trade_density,validation_net,validation_profit_factor,validation_expectancy,oos_trade_count,oos_trade_density,oos_net,oos_profit_factor,oos_expectancy,oos_max_drawdown,control_status,proxy_boundary,claim_boundary(주장 경계)
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q95_maxhold_8,short_side_router_proxy,0.065790976584,0.95,8,138,1.8904109589,-55.94,0.9111636231,-0.4053623188,106,2.0784313725,156.051,1.3636959004,1.4721792453,-94.755,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q90_maxhold_8,short_side_router_proxy,0.043595778942,0.9,8,239,2.39,-110.204,0.8960895446,-0.4611046025,175,2.3026315789,118.304,1.1882640509,0.6760228571,-104.631,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q95_maxhold_4,short_side_router_proxy,0.065790976584,0.95,4,187,2.5616438356,-106.03,0.8283826567,-0.5670053476,143,2.8039215686,99.949,1.2434615488,0.6989440559,-78.905,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q99_maxhold_4,short_side_router_proxy,0.101609106064,0.99,4,53,1.6060606061,-219.603,0.290353332,-4.1434528302,54,2.16,65.048,1.3630153805,1.2045925926,-46.538,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q99_maxhold_12,short_side_router_proxy,0.101609106064,0.99,12,40,1.2121212121,-133.713,0.5199090896,-3.342825,36,1.44,44.004,1.219845223,1.2223333333,-69.864,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q99_maxhold_24,short_side_router_proxy,0.101609106064,0.99,24,38,1.1515151515,-157.237,0.445156851,-4.1378157895,31,1.24,36.962,1.1771372979,1.1923225806,-100.75,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q99_maxhold_8,short_side_router_proxy,0.101609106064,0.99,8,42,1.2727272727,-192.51,0.325692749,-4.5835714286,41,1.64,12.111,1.0560787909,0.2953902439,-92.726,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q90_maxhold_4,short_side_router_proxy,0.043595778942,0.9,4,328,3.3131313131,-183.111,0.8431342146,-0.5582652439,259,3.4078947368,-52.199,0.9314762427,-0.2015405405,-146.6,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q80_maxhold_4,short_side_router_proxy,0.020551484823,0.8,4,628,4.4225352113,-573.353,0.7148327477,-0.9129824841,498,4.8349514563,-53.998,0.9631665398,-0.1084297189,-225.142,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364U_materialize_density_side_balance_repair_inputs_without_db_v1,run364Q_train_drawdown_side_balance_overlay_onnx_scout_without_db_v1,short_q80_maxhold_24,short_side_router_proxy,0.020551484823,0.8,24,326,2.3120567376,-145.818,0.9028994067,-0.4472944785,246,2.4117647059,-108.223,0.9134900467,-0.4399308943,-209.42,fail_expectancy_or_oos_pf(기대값 또는 OOS PF 실패),trade_level_python_proxy_not_mt5_strategy_tester_forced_exit_uses_future_bar_only_as_backtest_label,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
