stage_id,stage_number,run_id,lane,status,judgment,summary_path,run_path,model_family,mechanism_classes,roles,boundary,external_verification_status,mt5_kpi_record_count,has_tier_a,has_tier_b,has_tier_ab,has_onnx,onnx_parity_status,has_score_table,score_table_parity_status,prediction_artifacts_present,artifact_paths_found,artifact_paths_available,validation_net_profit,validation_profit_factor,validation_trades,oos_net_profit,oos_profit_factor,oos_trades,repeatability_label,validation_oos_inversion,evidence_decision
18_model_family_challenge__catboost_ordered_boosting_scout,18,run12A_catboost_ordered_boosting_characteristic_scout_v1,alpha_runtime_probe,reviewed,inconclusive_catboost_ordered_characteristic_mt5_runtime_probe_completed,docs/agent_control/packets/stage18_run12A_catboost_characteristic_mt5_v1/aggregate_summary.json,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12A_catboost_ordered_boosting_characteristic_scout_v1,catboost_catboostclassifier_multiclass_ordered_boosting,onnx_model_adapter|position_exit_adapter|risk_tail_adapter|regime_context_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,catboost_ordered_characteristic_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,10,True,True,True,True,pass,False,missing,True,18,18,206.56,1.27,146,203.52,1.49,99,validation_and_oos_positive_non_tiny,False,adapter_candidate
19_model_family_challenge__ebm_explainable_boosting_shape,19,run13L_ebm_q90_hold6_direction_probe_v1,alpha_runtime_probe,reviewed,inconclusive_ebm_q90_hold6_direction_asymmetry_runtime_probe_completed,docs/agent_control/packets/stage19_run13L_ebm_q90_hold6_direction_mt5_v1/aggregate_summary.json,stages/19_model_family_challenge__ebm_explainable_boosting_shape/02_runs/run13L_ebm_q90_hold6_direction_probe_v1,interpret_ebm_explainable_boosting_classifier_multiclass_main_effect_mql5_score_table,score_table_adapter|position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,ebm_q90_hold6_direction_asymmetry_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,20,True,True,True,False,missing,True,pass,True,10,10,73.58,1.1,196,18.7,1.03,165,validation_and_oos_positive_non_tiny,False,adapter_candidate
19_model_family_challenge__ebm_explainable_boosting_shape,19,run13O_ebm_q90_hold2_probe_v1,alpha_runtime_probe,reviewed,inconclusive_ebm_q90_hold2_runtime_probe_completed,docs/agent_control/packets/stage19_run13O_ebm_hold2_mt5_v1/aggregate_summary.json,stages/19_model_family_challenge__ebm_explainable_boosting_shape/02_runs/run13O_ebm_q90_hold2_probe_v1,interpret_ebm_explainable_boosting_classifier_multiclass_main_effect_mql5_score_table,score_table_adapter|position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,ebm_q90_hold2_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,10,True,True,True,False,missing,True,pass,True,10,10,69.53,1.06,498,25.69,1.03,383,validation_and_oos_positive_non_tiny,False,adapter_candidate
19_model_family_challenge__ebm_explainable_boosting_shape,19,run13S_ebm_q90_hold4_direction_probe_v1,alpha_runtime_probe,reviewed,inconclusive_ebm_q90_hold4_direction_asymmetry_runtime_probe_completed,docs/agent_control/packets/stage19_run13S_ebm_q90_hold4_direction_mt5_v1/aggregate_summary.json,stages/19_model_family_challenge__ebm_explainable_boosting_shape/02_runs/run13S_ebm_q90_hold4_direction_probe_v1,interpret_ebm_explainable_boosting_classifier_multiclass_main_effect_mql5_score_table,score_table_adapter|position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,ebm_q90_hold4_direction_asymmetry_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,20,True,True,True,False,missing,True,pass,True,10,10,195.2,1.23,248,68.64,1.13,190,validation_and_oos_positive_non_tiny,False,adapter_candidate
19_model_family_challenge__ebm_explainable_boosting_shape,19,run13V_ebm_q90_hold4_mask_ema9_ema20_probe_v1,alpha_runtime_probe,reviewed,inconclusive_ebm_q90_hold4_single_feature_mask_ema9_ema20_diff_runtime_probe_completed,docs/agent_control/packets/stage19_run13V_ebm_mask_ema9_ema20_mt5_v1/aggregate_summary.json,stages/19_model_family_challenge__ebm_explainable_boosting_shape/02_runs/run13V_ebm_q90_hold4_mask_ema9_ema20_probe_v1,interpret_ebm_explainable_boosting_classifier_multiclass_main_effect_mql5_score_table,score_table_adapter|permission_filter_adapter|position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Permission / Filter / Abstention|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,ebm_q90_hold4_single_feature_mask_ema9_ema20_diff_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,10,True,True,True,False,missing,True,pass,True,10,10,178.41,1.15,388,32.63,1.04,304,validation_and_oos_positive_non_tiny,False,adapter_candidate
19_model_family_challenge__ebm_explainable_boosting_shape,19,run13AB_ebm_q92_hold4_direction_probe_v1,alpha_runtime_probe,reviewed,inconclusive_ebm_q92_hold4_direction_threshold_compression_runtime_probe_completed,docs/agent_control/packets/stage19_run13AB_ebm_q92_hold4_direction_mt5_v1/aggregate_summary.json,stages/19_model_family_challenge__ebm_explainable_boosting_shape/02_runs/run13AB_ebm_q92_hold4_direction_probe_v1,interpret_ebm_explainable_boosting_classifier_multiclass_main_effect_mql5_score_table,score_table_adapter|position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,ebm_q92_hold4_direction_threshold_compression_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,20,True,True,True,False,missing,True,pass,True,10,10,320.28,1.5,204,37.12,1.09,142,validation_and_oos_positive_non_tiny,False,adapter_candidate
19_model_family_challenge__ebm_explainable_boosting_shape,19,run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,alpha_runtime_probe,reviewed,inconclusive_ebm_q90_hold4_mixed_subtype_direction_followup_runtime_probe_completed,docs/agent_control/packets/stage19_run13AE_ebm_q90_mixed_subtype_direction_mt5_v1/aggregate_summary.json,stages/19_model_family_challenge__ebm_explainable_boosting_shape/02_runs/run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,interpret_ebm_explainable_boosting_classifier_multiclass_main_effect_mql5_score_table,score_table_adapter|permission_filter_adapter|position_exit_adapter|risk_tail_adapter|regime_context_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Permission / Filter / Abstention|Risk / Tail-risk|Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,ebm_q90_hold4_mixed_subtype_direction_followup_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,20,True,True,True,False,missing,True,pass,True,10,10,188.31,1.22,246,80.89,1.16,185,validation_and_oos_positive_non_tiny,False,adapter_candidate
20_model_family_challenge__gam_additive_smooth_shape,20,run14B_gam_runtime_handoff_probe_v1,alpha_runtime_probe,reviewed,inconclusive_gam_piecewise_score_table_runtime_probe_completed,docs/agent_control/packets/stage20_run14B_gam_runtime_handoff_probe_v1/aggregate_summary.json,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1,pygam_logistic_gam_piecewise_score_table_runtime_probe,score_table_adapter|position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,gam_piecewise_score_table_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,10,True,True,True,False,missing,True,pass,True,10,10,8.65,1.01,211,295.69,1.51,125,validation_and_oos_positive_non_tiny,False,adapter_candidate
23_regime_model__supervised_regime_classifier_filter,23,run17B_supervised_regime_classifier_runtime_probe_v1,alpha_runtime_probe,reviewed,inconclusive_supervised_regime_classifier_runtime_probe_completed,docs/agent_control/packets/stage23_run17B_supervised_regime_classifier_runtime_probe_v1/aggregate_summary.json,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1,sklearn_supervised_regime_classifier_filter_onnx_runtime_probe,onnx_model_adapter|permission_filter_adapter|position_exit_adapter|risk_tail_adapter|regime_context_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Permission / Filter / Abstention|Risk / Tail-risk|Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,supervised_regime_classifier_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,10,True,True,True,True,pass,False,missing,True,10,10,324.75,1.16,476,254.63,1.19,345,validation_and_oos_positive_non_tiny,False,adapter_candidate
28_regime_model__markov_switching_regression_state_link,28,run22B_markov_regression_state_runtime_probe_v1,alpha_runtime_probe,reviewed,inconclusive_markov_regression_state_runtime_probe_completed,docs/agent_control/packets/stage28_run22B_markov_regression_state_runtime_probe_v1/aggregate_summary.json,stages/28_regime_model__markov_switching_regression_state_link/02_runs/run22B_markov_regression_state_runtime_probe_v1,markov_regression_state_score_table_runtime_probe,score_table_adapter|position_exit_adapter|risk_tail_adapter|regime_context_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,markov_regression_state_runtime_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,completed,10,True,True,True,False,missing,True,pass,True,98,98,244.08,1.77,190,111.27,1.31,118,validation_and_oos_positive_non_tiny,False,adapter_candidate
