stage_id,stage_number,run_id,lane,status,judgment,summary_path,run_path,model_family,mechanism_classes,roles,boundary,external_verification_status,mt5_kpi_record_count,has_tier_a,has_tier_b,has_tier_ab,has_onnx,onnx_parity_status,has_score_table,score_table_parity_status,prediction_artifacts_present,artifact_paths_found,artifact_paths_available,validation_net_profit,validation_profit_factor,validation_trades,oos_net_profit,oos_profit_factor,oos_trades,repeatability_label,validation_oos_inversion,evidence_decision
10_alpha_scout__default_split_model_threshold_scan,10,run01M_logreg_a_base_no_fallback_hold9_session_early_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01M_logreg_a_base_no_fallback_hold9_session_early_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,8,True,True,True,False,missing,False,missing,False,0,0,-200.19,0.82,,-76.39,0.92,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02A_lgbm_training_method_scout_v1,alpha_training_method_scout,reviewed,inconclusive_training_method_scout_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02A_lgbm_training_method_scout_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,10,True,True,True,False,missing,False,missing,False,0,0,-496.88,0.25,,-27.44,0.94,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02B_lgbm_rank_threshold_scout_v1,alpha_threshold_scout,reviewed,inconclusive_lgbm_rank_threshold_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02B_lgbm_rank_threshold_scout_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-496.45,0.23,,-92.09,0.76,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02D_lgbm_short_only_direction_isolation_v1,alpha_direction_isolation_scout,reviewed,inconclusive_short_only_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02D_lgbm_short_only_direction_isolation_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|regime_context_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-18.33,0.89,,-211.48,0.31,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02E_lgbm_extreme_confidence_rejection_v1,alpha_confidence_rejection_scout,reviewed,inconclusive_extreme_confidence_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02E_lgbm_extreme_confidence_rejection_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|regime_context_adapter|runtime_packaging_surface,Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-115.17,0.31,,-6.35,0.96,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02F_lgbm_calm_trend_context_gate_v1,alpha_context_gate_scout,reviewed,inconclusive_context_gate_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02F_lgbm_calm_trend_context_gate_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|regime_context_adapter|runtime_packaging_surface,Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-234.03,0.46,,-163.22,0.41,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02I_lgbm_low_vol_extreme_confidence_v1,alpha_context_confidence_scout,reviewed,inconclusive_low_vol_extreme_confidence_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02I_lgbm_low_vol_extreme_confidence_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|regime_context_adapter|runtime_packaging_surface,Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-509.12,0.0,,-231.42,0.0,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02K_lgbm_quiet_return_zscore_v1,alpha_context_gate_scout,reviewed,inconclusive_quiet_return_zscore_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02K_lgbm_quiet_return_zscore_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|regime_context_adapter|runtime_packaging_surface,Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-496.54,0.02,,-494.23,0.19,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02L_lgbm_range_compression_v1,alpha_context_gate_scout,reviewed,inconclusive_range_compression_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02L_lgbm_range_compression_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|regime_context_adapter|runtime_packaging_surface,Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-352.49,0.34,,-250.36,0.05,,validation_and_oos_negative_memory,False,negative_memory
11_alpha_robustness__wfo_label_horizon_sensitivity,11,run02M_lgbm_high_vol_momentum_alignment_v1,alpha_context_momentum_scout,reviewed,inconclusive_high_vol_momentum_alignment_mt5_runtime_probe_completed,,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02M_lgbm_high_vol_momentum_alignment_v1,lightgbm_lgbmclassifier_multiclass,position_exit_adapter|regime_context_adapter|runtime_packaging_surface,Position Management|Exit / Hold|Regime / Context|Runtime / Packaging,,,6,True,True,True,False,missing,False,missing,False,0,0,-496.38,0.25,,-305.93,0.31,,validation_and_oos_negative_memory,False,negative_memory
