stage_id,stage_number,run_id,lane,status,judgment,summary_path,run_path,model_family,mechanism_classes,roles,boundary,external_verification_status,mt5_kpi_record_count,has_tier_a,has_tier_b,has_tier_ab,has_onnx,onnx_parity_status,has_score_table,score_table_parity_status,prediction_artifacts_present,artifact_paths_found,artifact_paths_available,validation_net_profit,validation_profit_factor,validation_trades,oos_net_profit,oos_profit_factor,oos_trades,repeatability_label,validation_oos_inversion,evidence_decision
10_alpha_scout__default_split_model_threshold_scan,10,run01A_logreg_threshold_mt5_scout_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01A_logreg_threshold_mt5_scout_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,10,True,True,True,False,missing,False,missing,False,0,0,355.65,1.33,,174.89,1.21,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01B_logreg_tier_threshold_risk_probe_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01B_logreg_tier_threshold_risk_probe_v1,,position_exit_adapter|risk_tail_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Risk / Tail-risk|Position Management|Exit / Hold|Runtime / Packaging,,,10,True,True,True,False,missing,False,missing,False,0,0,-43.43,0.96,,257.52,1.34,,oos_only_positive_deferred,True,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01C_logreg_b_strict_fallback_ablation_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01C_logreg_b_strict_fallback_ablation_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,10,True,True,True,False,missing,False,missing,False,0,0,330.01,1.31,,123.79,1.15,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01D_logreg_tier_a_strict_hold12_ablation_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01D_logreg_tier_a_strict_hold12_ablation_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,10,True,True,True,False,missing,False,missing,False,0,0,121.4,1.12,,103.64,1.13,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01E_logreg_a_base_b_strict_hold9_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01E_logreg_a_base_b_strict_hold9_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,10,True,True,True,False,missing,False,missing,False,0,0,54.62,1.05,,281.83,1.37,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01F_logreg_a_base_b_base_hold9_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01F_logreg_a_base_b_base_hold9_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,10,True,True,True,False,missing,False,missing,False,0,0,54.3,1.05,,280.91,1.36,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01G_logreg_a_base_no_fallback_hold9_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01G_logreg_a_base_no_fallback_hold9_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,8,True,True,True,False,missing,False,missing,False,0,0,82.69,1.07,,256.99,1.34,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01H_logreg_a_base_no_fallback_hold3_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01H_logreg_a_base_no_fallback_hold3_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,8,True,True,True,False,missing,False,missing,False,0,0,15.36,1.01,,74.17,1.07,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01I_logreg_a_base_no_fallback_hold6_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01I_logreg_a_base_no_fallback_hold6_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,8,True,True,True,False,missing,False,missing,False,0,0,95.63,1.07,,135.12,1.16,,validation_and_oos_positive_non_tiny,False,deferred
10_alpha_scout__default_split_model_threshold_scan,10,run01J_logreg_a_base_no_fallback_hold12_v1,alpha_runtime_probe,reviewed,inconclusive_single_split_scout_mt5_routed_completed,,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01J_logreg_a_base_no_fallback_hold12_v1,,position_exit_adapter|entry_decision_surface|runtime_packaging_surface,Entry|Position Management|Exit / Hold|Runtime / Packaging,,,8,True,True,True,False,missing,False,missing,False,0,0,324.13,1.3,,130.01,1.15,,validation_and_oos_positive_non_tiny,False,deferred
