focus_id,candidate_alias,test_id,axis,bucket,trade_count,net_profit,profit_factor,expectancy,slice_read,repair_boundary
run267BB_neg_s264_aia_rep_trend_strength_adx_1,s264_aia,rep_trend_strength_adx,weekday,Monday,49,-319.36,0.519788,-6.517551,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aia_rep_trend_strength_adx_2,s264_aia,rep_trend_strength_adx,month,2024-12,28,-177.31,0.647677,-6.3325,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aia_rep_trend_strength_adx_3,s264_aia,rep_trend_strength_adx,session_report,session_07_12_report_time,3,-130.78,0.0,-43.593333,negative_fragile_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aih_rep_trend_strength_adx_1,s264_aih,rep_trend_strength_adx,weekday,Monday,48,-294.38,0.51167,-6.132917,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aih_rep_trend_strength_adx_2,s264_aih,rep_trend_strength_adx,month,2024-12,27,-193.94,0.538743,-7.182963,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aih_rep_trend_strength_adx_3,s264_aih,rep_trend_strength_adx,session_report,session_07_12_report_time,3,-114.41,0.0,-38.136667,negative_fragile_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s258_stc_rep_trend_strength_adx_1,s258_stc,rep_trend_strength_adx,weekday,Monday,52,-276.83,0.613193,-5.323654,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s258_stc_rep_trend_strength_adx_2,s258_stc,rep_trend_strength_adx,month,2024-12,29,-230.09,0.586191,-7.934138,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s258_stc_rep_trend_strength_adx_3,s258_stc,rep_trend_strength_adx,session_report,session_07_12_report_time,3,-137.66,0.0,-45.886667,negative_fragile_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aih_rep_volatility_atr_1,s264_aih,rep_volatility_atr,weekday,Monday,51,-275.0,0.525289,-5.392157,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aih_rep_volatility_atr_2,s264_aih,rep_volatility_atr,month,2024-12,27,-232.58,0.524415,-8.614074,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aih_rep_volatility_atr_3,s264_aih,rep_volatility_atr,session_report,session_07_12_report_time,3,-116.78,0.0,-38.926667,negative_fragile_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aia_rep_volatility_atr_1,s264_aia,rep_volatility_atr,weekday,Monday,50,-269.98,0.538006,-5.3996,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aia_rep_volatility_atr_2,s264_aia,rep_volatility_atr,month,2024-12,28,-153.18,0.663207,-5.470714,deep_negative_or_dd_slice,do not add literal weekday/month filters; map to route or feature-family pressure
run267BB_neg_s264_aia_rep_volatility_atr_3,s264_aia,rep_volatility_atr,session_report,session_07_12_report_time,3,-112.91,0.0,-37.636667,negative_fragile_slice,do not add literal weekday/month filters; map to route or feature-family pressure
