profile_label,candidate_count,positive_count,negative_or_pf_broken_count,high_dd_count,net_profit_mean,net_profit_min,net_profit_max,profit_factor_mean,report_max_drawdown_percent_worst,profile_read
aggressive_impulse_replacement,5,5,0,5,82.886,51.42,105.26,1.043109,40.04,"salvage_as_aggressive_clue_not_selection(공격형 단서로 회수, 선택 아님)"
directional_asymmetry,5,0,5,5,-40.142,-69.77,-22.07,0.980636,53.29,prune_as_standalone_profile(독립 프로필 가지치기)
