candidate_id,candidate_alias,candidate_role,profile_label,variant_id,net_profit,profit_factor,trade_count,expectancy,report_max_drawdown_percent,closed_balance_max_drawdown_percent,recovery_factor_closed,positive_month_ratio,negative_month_count,worst_month,worst_month_net,worst_slice_axis,worst_slice_bucket,worst_slice_net,chron_early_net,chron_mid_net,chron_late_net,fragility_flags,curve_read,selection_boundary
s258_short_tight_control,s258_stc,stress_challenger,aggressive_impulse_replacement,run267bs_10_s258_stc_impulse_repl,105.26,1.048388,378,0.278466,40.04,39.457778,0.297504,0.416667,7,2024-07,-173.99,month,2024-07,-173.99,257.08,-170.42,18.6,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)",not_candidate_selection(후보 선택 아님)
s264_allow_inner_high_quarter,s264_aih,challenger_core,aggressive_impulse_replacement,run267bs_06_s264_aih_impulse_repl,93.46,1.04998,353,0.264759,36.1,34.695137,0.326076,0.5,6,2024-07,-110.37,weekday,Monday,-142.26,256.82,-139.75,-23.61,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)",not_candidate_selection(후보 선택 아님)
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,aggressive_impulse_replacement,run267bs_09_s264_aia_impulse_repl,92.91,1.049734,354,0.262458,35.76,34.34203,0.329983,0.5,6,2024-07,-109.65,weekday,Monday,-141.28,205.15,-110.02,-2.22,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)",not_candidate_selection(후보 선택 아님)
s264_lowrank_control,s264_lc,defensive_control,aggressive_impulse_replacement,run267bs_07_s264_lc_impulse_repl,71.38,1.03919,350,0.203943,36.59,35.419416,0.248564,0.5,6,2024-07,-107.43,weekday,Monday,-151.93,218.63,-119.18,-28.07,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)",not_candidate_selection(후보 선택 아님)
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,aggressive_impulse_replacement,run267bs_08_s262_lih_impulse_repl,51.42,1.028254,352,0.14608,39.01,37.930609,0.167203,0.5,6,2024-07,-119.67,weekday,Monday,-148.53,223.6,-131.62,-40.56,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)",not_candidate_selection(후보 선택 아님)
s258_short_tight_control,s258_stc,stress_challenger,directional_asymmetry,run267bs_05_s258_stc_dir_asym,-22.07,0.990877,378,-0.058386,51.57,51.300778,-0.047606,0.416667,7,2024-07,-211.58,chron_segment,chron_mid,-229.56,249.07,-229.56,-41.58,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)",not_candidate_selection(후보 선택 아님)
s264_allow_inner_high_quarter,s264_aih,challenger_core,directional_asymmetry,run267bs_01_s264_aih_dir_asym,-26.15,0.987505,353,-0.074079,49.73,48.842357,-0.062042,0.5,6,2024-07,-142.82,chron_segment,chron_mid,-195.12,245.34,-195.12,-76.37,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)",not_candidate_selection(후보 선택 아님)
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,directional_asymmetry,run267bs_04_s264_aia_dir_asym,-34.51,0.983365,354,-0.097486,49.98,49.100827,-0.082449,0.5,6,2024-07,-142.83,chron_segment,chron_mid,-163.44,188.65,-163.44,-59.72,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)",not_candidate_selection(후보 선택 아님)
s264_lowrank_control,s264_lc,defensive_control,directional_asymmetry,run267bs_02_s264_lc_dir_asym,-48.21,0.976112,350,-0.137743,50.89,50.026705,-0.114377,0.5,6,2024-07,-138.48,weekday,Monday,-167.29,191.97,-163.33,-76.85,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)",not_candidate_selection(후보 선택 아님)
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,directional_asymmetry,run267bs_03_s262_lih_dir_asym,-69.77,0.965321,352,-0.19821,53.29,52.46929,-0.157822,0.5,6,2024-07,-150.45,chron_segment,chron_mid,-177.04,197.51,-177.04,-90.24,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)",not_candidate_selection(후보 선택 아님)
