record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_end,closed_balance_min,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_max_drawdown_percent,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,worst_slice_axis,worst_slice_bucket,worst_slice_net,fragility_flags,curve_read
mt5_ta_run267bs_10_s258_stc_impulse_repl_historical_2024_tier_a_train_era_stress,run267bs_10_s258_stc_impulse_repl_ta24,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,tier_only_total,378,105.26,2280.6,-2175.34,1.048388,0.278466,0.497354,12.130851,-11.449158,1.059541,605.26,500.0,353.81,39.457778,296,0.939153,6,0.297504,40.04,40.04,39.46,0.29,0.416667,7,2024-07,-173.99,2024-02,208.66,257.08,-170.42,18.6,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_10_s258_stc_impulse_repl_ta24.png,month,2024-07,-173.99,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)"
mt5_ta_run267bs_08_s262_lih_impulse_repl_historical_2024_tier_a_train_era_stress,run267bs_08_s262_lih_impulse_repl_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_08_s262_lih_impulse_repl,aggressive_impulse_replacement,tier_only_total,352,51.42,1871.35,-1819.93,1.028254,0.14608,0.494318,10.754885,-10.224326,1.051892,551.42,500.0,307.53,37.930609,308,0.948864,6,0.167203,39.01,39.01,37.93,0.16,0.5,6,2024-07,-119.67,2024-02,173.64,223.6,-131.62,-40.56,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_08_s262_lih_impulse_repl_ta24.png,weekday,Monday,-148.53,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)"
mt5_ta_run267bs_09_s264_aia_impulse_repl_historical_2024_tier_a_train_era_stress,run267bs_09_s264_aia_impulse_repl_ta24,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bs_09_s264_aia_impulse_repl,aggressive_impulse_replacement,tier_only_total,354,92.91,1961.05,-1868.14,1.049734,0.262458,0.5,11.079379,-10.554463,1.049734,592.91,500.0,281.56,34.34203,308,0.946328,6,0.329983,35.76,35.76,34.34,0.31,0.5,6,2024-07,-109.65,2024-02,186.86,205.15,-110.02,-2.22,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_09_s264_aia_impulse_repl_ta24.png,weekday,Monday,-141.28,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)"
mt5_ta_run267bs_06_s264_aih_impulse_repl_historical_2024_tier_a_train_era_stress,run267bs_06_s264_aih_impulse_repl_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_06_s264_aih_impulse_repl,aggressive_impulse_replacement,tier_only_total,353,93.46,1963.4,-1869.94,1.04998,0.264759,0.501416,11.092655,-10.624659,1.044048,593.46,500.0,286.62,34.695137,308,0.946176,6,0.326076,36.1,36.1,34.7,0.31,0.5,6,2024-07,-110.37,2024-02,187.77,256.82,-139.75,-23.61,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_06_s264_aih_impulse_repl_ta24.png,weekday,Monday,-142.26,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)"
mt5_ta_run267bs_07_s264_lc_impulse_repl_historical_2024_tier_a_train_era_stress,run267bs_07_s264_lc_impulse_repl_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_07_s264_lc_impulse_repl,aggressive_impulse_replacement,tier_only_total,350,71.38,1892.76,-1821.38,1.03919,0.203943,0.497143,10.877931,-10.34875,1.051135,571.38,500.0,287.17,35.419416,306,0.948571,6,0.248564,36.59,36.59,35.42,0.24,0.5,6,2024-07,-107.43,2024-02,173.64,218.63,-119.18,-28.07,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_07_s264_lc_impulse_repl_ta24.png,weekday,Monday,-151.93,report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"positive_but_dd_or_slice_hole_watch_no_selection(양수지만 손실폭/구간 구멍 관찰, 선택 아님)"
mt5_ta_run267bs_05_s258_stc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_05_s258_stc_dir_asym_ta24,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bs_05_s258_stc_dir_asym,directional_asymmetry,tier_only_total,378,-22.07,2397.02,-2419.09,0.990877,-0.058386,0.497354,12.750106,-12.732053,1.001418,477.93,440.09,463.6,51.300778,296,0.936508,6,-0.047606,51.57,51.57,51.3,-0.05,0.416667,7,2024-07,-211.58,2024-02,216.44,249.07,-229.56,-41.58,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_05_s258_stc_dir_asym_ta24.png,chron_segment,chron_mid,-229.56,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)"
mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_03_s262_lih_dir_asym_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,tier_only_total,352,-69.77,1942.11,-2011.88,0.965321,-0.19821,0.494318,11.161552,-11.302697,0.987512,430.23,400.47,442.08,52.46929,308,0.948864,6,-0.157822,53.29,53.29,52.47,-0.15,0.5,6,2024-07,-150.45,2024-02,175.59,197.51,-177.04,-90.24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_03_s262_lih_dir_asym_ta24.png,chron_segment,chron_mid,-177.04,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)"
mt5_ta_run267bs_04_s264_aia_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_04_s264_aia_dir_asym_ta24,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bs_04_s264_aia_dir_asym,directional_asymmetry,tier_only_total,354,-34.51,2040.09,-2074.6,0.983365,-0.097486,0.5,11.525932,-11.720904,0.983365,465.49,433.89,418.56,49.100827,308,0.943503,6,-0.082449,49.98,49.98,49.1,-0.08,0.5,6,2024-07,-142.83,2024-02,190.16,188.65,-163.44,-59.72,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_04_s264_aia_dir_asym_ta24.png,chron_segment,chron_mid,-163.44,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)"
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,353,-26.15,2066.64,-2092.79,0.987505,-0.074079,0.501416,11.675932,-11.890852,0.981926,473.85,441.47,421.49,48.842357,308,0.946176,6,-0.062042,49.73,49.73,48.84,-0.06,0.5,6,2024-07,-142.82,2024-02,193.76,245.34,-195.12,-76.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_01_s264_aih_dir_asym_ta24.png,chron_segment,chron_mid,-195.12,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)"
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,350,-48.21,1969.93,-2018.14,0.976112,-0.137743,0.497143,11.321437,-11.466705,0.987331,451.79,421.05,421.5,50.026705,306,0.948571,6,-0.114377,50.89,50.89,50.03,-0.11,0.5,6,2024-07,-138.48,2024-02,175.59,191.97,-163.33,-76.85,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_02_s264_lc_dir_asym_ta24.png,weekday,Monday,-167.29,headline_negative_or_pf_broken(대표 숫자 음수 또는 수익 팩터 붕괴);report_dd_high(보고서 손실폭 높음);month_hole(月별 구멍);slice_hole(구간 구멍);many_negative_months(음수 월 많음);late_segment_negative(후반 구간 음수),"negative_profile_prune_no_selection(음수 프로필 가지치기, 선택 아님)"
