attempt_name,record_view,candidate_alias,profile_label,report_path,expected_trade_count,parsed_deal_count,parsed_trade_count,trade_count_delta,parser_status
run267bs_01_s264_aih_dir_asym_ta24,mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,s264_aih,directional_asymmetry,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_01_s264_aih_dir_asym_ta24.htm,353,706,353,0,matched
run267bs_02_s264_lc_dir_asym_ta24,mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,s264_lc,directional_asymmetry,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_02_s264_lc_dir_asym_ta24.htm,350,700,350,0,matched
run267bs_03_s262_lih_dir_asym_ta24,mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,s262_lih,directional_asymmetry,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_03_s262_lih_dir_asym_ta24.htm,352,704,352,0,matched
run267bs_04_s264_aia_dir_asym_ta24,mt5_ta_run267bs_04_s264_aia_dir_asym_historical_2024_tier_a_train_era_stress,s264_aia,directional_asymmetry,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_04_s264_aia_dir_asym_ta24.htm,354,708,354,0,matched
run267bs_05_s258_stc_dir_asym_ta24,mt5_ta_run267bs_05_s258_stc_dir_asym_historical_2024_tier_a_train_era_stress,s258_stc,directional_asymmetry,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_05_s258_stc_dir_asym_ta24.htm,378,756,378,0,matched
run267bs_06_s264_aih_impulse_repl_ta24,mt5_ta_run267bs_06_s264_aih_impulse_repl_historical_2024_tier_a_train_era_stress,s264_aih,aggressive_impulse_replacement,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_06_s264_aih_impulse_repl_ta24.htm,353,706,353,0,matched
run267bs_07_s264_lc_impulse_repl_ta24,mt5_ta_run267bs_07_s264_lc_impulse_repl_historical_2024_tier_a_train_era_stress,s264_lc,aggressive_impulse_replacement,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_07_s264_lc_impulse_repl_ta24.htm,350,700,350,0,matched
run267bs_08_s262_lih_impulse_repl_ta24,mt5_ta_run267bs_08_s262_lih_impulse_repl_historical_2024_tier_a_train_era_stress,s262_lih,aggressive_impulse_replacement,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_08_s262_lih_impulse_repl_ta24.htm,352,704,352,0,matched
run267bs_09_s264_aia_impulse_repl_ta24,mt5_ta_run267bs_09_s264_aia_impulse_repl_historical_2024_tier_a_train_era_stress,s264_aia,aggressive_impulse_replacement,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_09_s264_aia_impulse_repl_ta24.htm,354,708,354,0,matched
run267bs_10_s258_stc_impulse_repl_ta24,mt5_ta_run267bs_10_s258_stc_impulse_repl_historical_2024_tier_a_train_era_stress,s258_stc,aggressive_impulse_replacement,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267BT_run267bs_10_s258_stc_impulse_repl_ta24.htm,378,756,378,0,matched
