record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_end,closed_balance_min,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_run267bs_05_s258_stc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_05_s258_stc_dir_asym_ta24,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bs_05_s258_stc_dir_asym,directional_asymmetry,tier_only_total,chron_segment,chron_mid,126,-229.56,690.77,-920.33,0.750568,-1.821905,0.460317,11.909828,-13.534265,0.879976,270.44,230.36,356.8,60.767082,122,0.984127,6,-0.643386,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_05_s258_stc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_05_s258_stc_dir_asym_ta24,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bs_05_s258_stc_dir_asym,directional_asymmetry,tier_only_total,month,2024-07,41,-211.58,148.45,-360.03,0.412327,-5.160488,0.390244,9.278125,-14.4012,0.644261,288.42,280.5,230.24,45.079688,38,0.95122,6,-0.918954,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,chron_segment,chron_mid,118,-195.12,558.85,-753.97,0.74121,-1.653559,0.483051,9.804386,-12.360164,0.793225,304.88,234.51,265.49,53.098,118,1.0,5,-0.734943,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_03_s262_lih_dir_asym_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,tier_only_total,chron_segment,chron_mid,118,-177.04,527.75,-704.79,0.748805,-1.500339,0.483051,9.258772,-11.553934,0.801352,322.96,251.68,248.32,49.664,118,1.0,6,-0.712951,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_10_s258_stc_impulse_repl_historical_2024_tier_a_train_era_stress,run267bs_10_s258_stc_impulse_repl_ta24,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,tier_only_total,month,2024-07,41,-173.99,150.29,-324.28,0.463458,-4.243659,0.390244,9.393125,-12.9712,0.724152,326.01,319.17,190.75,37.407829,38,0.95122,6,-0.912136,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_05_s258_stc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_05_s258_stc_dir_asym_ta24,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bs_05_s258_stc_dir_asym,directional_asymmetry,tier_only_total,weekday,Friday,88,-173.47,445.64,-619.11,0.719807,-1.97125,0.454545,11.141,-12.898125,0.863769,326.53,288.0,259.61,47.407827,77,0.954545,5,-0.668195,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_10_s258_stc_impulse_repl_historical_2024_tier_a_train_era_stress,run267bs_10_s258_stc_impulse_repl_ta24,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,tier_only_total,chron_segment,chron_mid,126,-170.42,672.78,-843.2,0.797889,-1.35254,0.460317,11.599655,-12.4,0.935456,329.58,285.79,308.04,51.873432,122,0.984127,6,-0.55324,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,weekday,Monday,60,-167.29,236.9,-404.19,0.58611,-2.788167,0.466667,8.460714,-12.630937,0.669841,332.71,321.69,185.24,36.541534,56,0.95,4,-0.903099,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_03_s262_lih_dir_asym_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,tier_only_total,direction,sell,207,-166.32,1338.78,-1505.1,0.889496,-0.803478,0.47343,13.66102,-13.808257,0.989337,333.68,294.7,444.25,60.119088,177,0.94686,5,-0.374384,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_03_s262_lih_dir_asym_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,tier_only_total,weekday,Friday,84,-165.83,373.78,-539.61,0.692685,-1.974167,0.440476,10.102162,-11.481064,0.879898,334.17,298.96,228.61,43.332638,74,0.964286,6,-0.725384,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
