record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_end,closed_balance_min,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-01,24,94.79,163.65,-68.86,2.376561,3.949583,0.625,10.91,-7.651111,1.425937,594.79,500.0,23.95,3.978272,9,0.625,3,3.957829,measured_slice(측정 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-02,27,193.76,363.37,-169.61,2.142385,7.176296,0.592593,22.710625,-15.419091,1.47289,693.76,500.0,88.85,11.56645,8,0.592593,5,2.180754,measured_slice(측정 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-03,21,-69.11,101.22,-170.33,0.594258,-3.290952,0.428571,11.246667,-14.194167,0.792344,430.89,417.84,88.63,17.499556,16,0.952381,3,-0.779759,negative_fragile_slice(음수 취약 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-04,32,-55.24,199.28,-254.52,0.782964,-1.72625,0.4375,14.234286,-14.14,1.006668,444.76,444.76,139.95,23.934942,27,0.84375,6,-0.394712,minor_negative_slice(작은 음수 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-05,19,45.15,164.6,-119.45,1.377982,2.376316,0.631579,13.716667,-17.064286,0.803823,545.15,500.0,51.89,8.866902,11,0.631579,2,0.87011,measured_slice(측정 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-06,16,-51.64,110.14,-161.78,0.680801,-3.2275,0.4375,15.734286,-17.975556,0.875316,448.36,433.21,69.76,13.869614,15,0.9375,3,-0.740252,minor_negative_slice(작은 음수 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-07,36,-142.82,120.41,-263.23,0.457433,-3.967222,0.416667,8.027333,-12.534762,0.640406,357.18,336.03,173.47,34.047105,33,0.944444,5,-0.823312,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-08,44,0.53,232.49,-231.96,1.002285,0.012045,0.5,10.567727,-10.543636,1.002285,500.53,464.96,76.69,13.805581,24,0.886364,3,0.006911,measured_slice(측정 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-09,42,42.29,195.56,-153.27,1.275918,1.006905,0.595238,7.8224,-9.015882,0.867624,542.29,473.96,65.18,12.089624,22,0.880952,4,0.648819,measured_slice(측정 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-10,35,-38.97,148.38,-187.35,0.791994,-1.113429,0.428571,9.892,-9.3675,1.055991,461.03,461.03,108.62,19.067849,28,0.885714,4,-0.358774,minor_negative_slice(작은 음수 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-11,28,22.53,157.23,-134.7,1.167261,0.804643,0.535714,10.482,-10.361538,1.011626,522.53,458.16,49.78,9.80037,15,0.892857,3,0.452591,measured_slice(측정 구간)
mt5_ta_run267bs_01_s264_aih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_01_s264_aih_dir_asym_ta24,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,tier_only_total,month,2024-12,29,-67.42,110.31,-177.73,0.620661,-2.324828,0.413793,9.1925,-10.454706,0.879269,432.58,400.2,99.8,19.96,29,1.0,6,-0.675551,negative_fragile_slice(음수 취약 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-01,24,94.79,163.65,-68.86,2.376561,3.949583,0.625,10.91,-7.651111,1.425937,594.79,500.0,23.95,3.978272,9,0.625,3,3.957829,measured_slice(측정 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-02,26,175.59,340.28,-164.69,2.066185,6.753462,0.576923,22.685333,-14.971818,1.515202,675.59,500.0,86.36,11.54916,8,0.615385,5,2.033233,measured_slice(측정 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-03,21,-68.92,98.83,-167.75,0.589151,-3.281905,0.428571,10.981111,-13.979167,0.785534,431.08,418.3,88.21,17.415253,16,0.952381,3,-0.781317,negative_fragile_slice(음수 취약 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-04,31,-64.98,180.68,-245.66,0.735488,-2.096129,0.419355,13.898462,-13.647778,1.018368,435.02,435.02,147.07,25.265852,26,0.83871,6,-0.44183,negative_fragile_slice(음수 취약 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-05,19,43.19,157.6,-114.41,1.377502,2.273158,0.631579,13.133333,-16.344286,0.803543,543.19,500.0,49.88,8.576784,11,0.631579,2,0.865878,measured_slice(측정 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-06,16,-48.62,106.17,-154.79,0.685897,-3.03875,0.4375,15.167143,-17.198889,0.881868,451.38,436.79,66.21,13.163022,8,0.875,3,-0.73433,minor_negative_slice(작은 음수 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-07,36,-138.48,115.23,-253.71,0.45418,-3.846667,0.416667,7.682,-12.081429,0.635852,361.52,341.31,167.75,32.952894,33,0.944444,5,-0.825514,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-08,44,1.11,223.73,-222.62,1.004986,0.025227,0.5,10.169545,-10.119091,1.004986,501.11,466.4,73.66,13.29963,24,0.886364,3,0.015069,measured_slice(측정 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-09,41,39.49,186.54,-147.05,1.268548,0.963171,0.585366,7.7725,-8.65,0.898555,539.49,476.23,63.07,11.69479,21,0.878049,4,0.62613,measured_slice(측정 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-10,35,-38.16,141.4,-179.56,0.787481,-1.090286,0.428571,9.426667,-8.978,1.049974,461.84,461.84,104.09,18.392734,28,0.885714,4,-0.366606,minor_negative_slice(작은 음수 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-11,28,20.45,149.51,-129.06,1.158453,0.730357,0.535714,9.967333,-9.927692,1.003993,520.45,460.81,46.83,9.225041,15,0.892857,3,0.436686,measured_slice(측정 구간)
mt5_ta_run267bs_02_s264_lc_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_02_s264_lc_dir_asym_ta24,Tier A,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,tier_only_total,month,2024-12,29,-63.67,106.31,-169.98,0.625427,-2.195517,0.413793,8.859167,-9.998824,0.886021,436.33,405.59,94.41,18.882,29,1.0,6,-0.674399,negative_fragile_slice(음수 취약 구간)
mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_03_s262_lih_dir_asym_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,tier_only_total,month,2024-01,24,94.79,163.65,-68.86,2.376561,3.949583,0.625,10.91,-7.651111,1.425937,594.79,500.0,23.95,3.978272,9,0.625,3,3.957829,measured_slice(측정 구간)
mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_03_s262_lih_dir_asym_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,tier_only_total,month,2024-02,26,175.59,340.28,-164.69,2.066185,6.753462,0.576923,22.685333,-14.971818,1.515202,675.59,500.0,86.36,11.54916,8,0.615385,5,2.033233,measured_slice(측정 구간)
mt5_ta_run267bs_03_s262_lih_dir_asym_historical_2024_tier_a_train_era_stress,run267bs_03_s262_lih_dir_asym_ta24,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,tier_only_total,month,2024-03,21,-68.92,98.83,-167.75,0.589151,-3.281905,0.428571,10.981111,-13.979167,0.785534,431.08,418.3,88.21,17.415253,16,0.952381,3,-0.781317,negative_fragile_slice(음수 취약 구간)
