trade_index,entry_time,exit_time,entry_hour,exit_hour,entry_month,exit_month,hold_minutes,hold_days,entry_price,exit_price,profit_before_swap,swap,net_after_swap,comment,claim_boundary
1,2025.10.01 17:00:00,2025.10.06 16:55:00,17,16,2025-10,2025-10,7195.0,4.996527777777778,24578.4,24954.88,37.65,-1.85,35.8,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2,2025.10.08 16:40:00,2025.10.10 17:10:00,16,17,2025-10,2025-10,2910.0,2.0208333333333335,24960.91,25163.65,20.27,-0.74,19.53,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
3,2025.10.13 16:50:00,2025.10.14 20:15:00,16,20,2025-10,2025-10,1645.0,1.1423611111111112,24654.5,24742.76,8.83,-0.37,8.46,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
4,2025.10.14 20:50:00,2025.10.16 20:05:00,20,20,2025-10,2025-10,2835.0,1.96875,24747.34,24696.4,-5.09,-0.74,-5.83,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
5,2025.10.16 20:15:00,2025.10.17 19:55:00,20,19,2025-10,2025-10,1420.0,0.9861111111111112,24724.6,24728.55,0.4,-0.37,0.030000000000000027,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
6,2025.10.17 21:00:00,2025.10.21 17:00:00,21,17,2025-10,2025-10,5520.0,3.8333333333333335,24775.5,25085.6,31.01,-1.48,29.53,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
7,2025.10.21 17:10:00,2025.10.22 19:25:00,17,19,2025-10,2025-10,1575.0,1.09375,25080.43,24876.94,-20.35,-0.37,-20.720000000000002,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
8,2025.10.23 16:45:00,2025.10.28 16:40:00,16,16,2025-10,2025-10,7195.0,4.996527777777778,24950.49,25932.85,98.24,-1.85,96.39,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
9,2025.10.29 17:10:00,2025.10.30 18:15:00,17,18,2025-10,2025-10,1505.0,1.0451388888888888,26156.04,25949.66,-20.64,-0.37,-21.01,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
10,2025.10.31 17:45:00,2025.11.04 18:05:00,17,18,2025-10,2025-11,5780.0,4.013888888888889,26043.43,25688.16,-35.53,-1.48,-37.01,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
11,2025.11.04 18:45:00,2025.11.07 17:20:00,18,17,2025-11,2025-11,4235.0,2.9409722222222223,25665.36,24907.26,-75.81,-1.11,-76.92,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
12,2025.11.07 21:50:00,2025.11.11 18:40:00,21,18,2025-11,2025-11,5570.0,3.8680555555555554,24976.08,25426.48,45.04,-1.48,43.56,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
13,2025.11.11 19:35:00,2025.11.14 21:40:00,19,21,2025-11,2025-11,4445.0,3.0868055555555554,25482.43,25126.62,-35.58,-1.11,-36.69,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
14,2025.11.17 16:40:00,2025.11.18 18:15:00,16,18,2025-11,2025-11,1535.0,1.0659722222222223,25096.47,24457.33,-63.91,-0.37,-64.28,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
15,2025.11.18 19:25:00,2025.11.19 16:50:00,19,16,2025-11,2025-11,1285.0,0.8923611111111112,24508.9,24698.25,18.94,-0.37,18.57,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
