exit_month,trades,gross_profit_before_swap,gross_loss_before_swap,net_before_swap,swap,net_after_swap,avg_net_after_swap,wins,losses,max_win,max_loss,claim_boundary
2025-10,9,196.4,-46.08,150.32,-8.14,142.18,15.797778,6,3,98.24,-20.64,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-11,10,157.47,-322.56,-165.09,-8.14,-173.23,-17.323,5,5,45.04,-111.73,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-12,10,81.56,-61.63,19.93,-11.84,8.09,0.809,6,4,31.3,-28.73,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-01,9,103.94,-146.09,-42.15,-9.99,-52.14,-5.793333,3,6,57.68,-56.62,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-02,9,94.9,-173.73,-78.83,-7.77,-86.6,-9.622222,4,5,42.7,-124.35,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-03,12,62.4,-249.99,-187.59,-8.51,-196.1,-16.341667,4,8,37.51,-53.46,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-04,7,168.61,-37.02,131.59,-4.44,127.15,18.164286,5,2,88.73,-19.48,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
