attempt_name,record_view,tier_scope,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024,mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024.htm,314,314,0,matched
run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024,mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024.htm,314,314,0,matched
run267ab_q02_s264_aia_rep_volatility_atr_ta_2024,mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q02_s264_aia_rep_volatility_atr_ta_2024.htm,317,317,0,matched
run267ab_q02_s264_aia_rep_volatility_atr_rt_2024,mt5_rt_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q02_s264_aia_rep_volatility_atr_rt_2024.htm,317,317,0,matched
run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024,mt5_ta_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024.htm,302,302,0,matched
run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024,mt5_rt_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024.htm,302,302,0,matched
run267ab_q04_s258_stc_abl_price_return_range_ta_2024,mt5_ta_s258_stc_abl_price_return_range_state_guard_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q04_s258_stc_abl_price_return_range_ta_2024.htm,297,297,0,matched
run267ab_q04_s258_stc_abl_price_return_range_rt_2024,mt5_rt_s258_stc_abl_price_return_range_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q04_s258_stc_abl_price_return_range_rt_2024.htm,297,297,0,matched
run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024,mt5_ta_s258_stc_abl_trend_strength_direction_state_guard_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024.htm,306,306,0,matched
run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024,mt5_rt_s258_stc_abl_trend_strength_direction_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024.htm,306,306,0,matched
run267ab_q06_s264_lc_abl_gate_variant_rule_ta_2024,mt5_ta_s264_lc_abl_gate_variant_rule_state_guard_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q06_s264_lc_abl_gate_variant_rule_ta_2024.htm,378,378,0,matched
run267ab_q06_s264_lc_abl_gate_variant_rule_rt_2024,mt5_rt_s264_lc_abl_gate_variant_rule_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q06_s264_lc_abl_gate_variant_rule_rt_2024.htm,378,378,0,matched
run267ab_q07_s264_aih_abl_volatility_bandwidth_ta_2024,mt5_ta_s264_aih_abl_volatility_bandwidth_state_guard_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q07_s264_aih_abl_volatility_bandwidth_ta_2024.htm,297,297,0,matched
run267ab_q07_s264_aih_abl_volatility_bandwidth_rt_2024,mt5_rt_s264_aih_abl_volatility_bandwidth_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q07_s264_aih_abl_volatility_bandwidth_rt_2024.htm,297,297,0,matched
