record_view,tier_scope,candidate_id,candidate_alias,candidate_role,test_id,guard_rule_family,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,314,1250.12,3358.83,-2108.71,1.592836,3.981274,0.582803,18.354262,-16.097023,1.140227,280.94,15.679349,83,0.751592,6,4.449776,15.75,14.22,3.96,0,0,0.75,3,2024-12,-177.43,2024-10,306.43,551.25,136.85,562.02,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024.png,constructive_curve_watch_not_selection
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,314,1250.12,3358.83,-2108.71,1.592836,3.981274,0.582803,18.354262,-16.097023,1.140227,280.94,15.679349,83,0.751592,6,4.449776,15.75,14.22,3.96,0,0,0.75,3,2024-12,-177.43,2024-10,306.43,551.25,136.85,562.02,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024.png,constructive_curve_watch_not_selection
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,317,1097.15,3031.4,-1934.25,1.567222,3.461041,0.567823,16.841111,-14.118613,1.19283,250.17,15.236606,84,0.782334,6,4.385618,15.07,13.84,3.98,0,0,0.75,3,2024-12,-161.24,2024-11,280.89,523.15,74.73,499.27,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q02_s264_aia_rep_volatility_atr_ta_2024.png,constructive_curve_watch_not_selection
mt5_rt_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,317,1097.15,3031.4,-1934.25,1.567222,3.461041,0.567823,16.841111,-14.118613,1.19283,250.17,15.236606,84,0.782334,6,4.385618,15.07,13.84,3.98,0,0,0.75,3,2024-12,-161.24,2024-11,280.89,523.15,74.73,499.27,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q02_s264_aia_rep_volatility_atr_rt_2024.png,constructive_curve_watch_not_selection
mt5_ta_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,302,1036.02,2819.25,-1783.23,1.580979,3.43053,0.576159,16.202586,-13.931484,1.163019,271.58,15.347491,62,0.754967,6,3.814788,16.67,15.35,3.47,0,0,0.75,3,2024-12,-184.63,2024-10,280.46,433.22,153.21,449.59,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,302,1036.02,2819.25,-1783.23,1.580979,3.43053,0.576159,16.202586,-13.931484,1.163019,271.58,15.347491,62,0.754967,6,3.814788,16.67,15.35,3.47,0,0,0.75,3,2024-12,-184.63,2024-10,280.46,433.22,153.21,449.59,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s258_stc_abl_price_return_range_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,297,969.98,2849.28,-1879.3,1.516139,3.265926,0.579125,16.565581,-15.0344,1.101845,272.33,16.408189,71,0.76431,7,3.561782,17.75,16.41,3.25,0,0,0.666667,4,2024-12,-159.01,2024-11,311.83,441.21,99.6,429.17,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q04_s258_stc_abl_price_return_range_ta_2024.png,mixed_constructive_needs_more_pressure
mt5_rt_s258_stc_abl_price_return_range_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,297,969.98,2849.28,-1879.3,1.516139,3.265926,0.579125,16.565581,-15.0344,1.101845,272.33,16.408189,71,0.76431,7,3.561782,17.75,16.41,3.25,0,0,0.666667,4,2024-12,-159.01,2024-11,311.83,441.21,99.6,429.17,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q04_s258_stc_abl_price_return_range_rt_2024.png,mixed_constructive_needs_more_pressure
mt5_ta_s258_stc_abl_trend_strength_direction_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,306,970.89,3142.61,-2171.72,1.44706,3.172843,0.571895,17.957771,-16.578015,1.083228,302.08,18.51966,100,0.80719,7,3.214016,19.29,17.75,2.92,0,0,0.75,3,2024-12,-180.43,2024-11,253.44,485.29,133.84,351.76,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s258_stc_abl_trend_strength_direction_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,306,970.89,3142.61,-2171.72,1.44706,3.172843,0.571895,17.957771,-16.578015,1.083228,302.08,18.51966,100,0.80719,7,3.214016,19.29,17.75,2.92,0,0,0.75,3,2024-12,-180.43,2024-11,253.44,485.29,133.84,351.76,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AD/noncalendar_state_guard_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AC_stage267_noncalendar_state_guard_score_table_materialization_v1_run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024.png,dd_or_month_hole_uncomfortable
