record_view,tier_scope,candidate_id,candidate_alias,candidate_role,test_id,guard_rule_family,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aih_abl_volatility_bandwidth_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,pressure_or_prune_state_guard_design,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,weekday,Monday,43,-314.12,222.35,-536.47,0.414469,-7.305116,0.395349,13.079412,-20.633462,0.633893,318.13,63.119779,42,0.976744,5,-0.987395,negative_deep_drawdown_slice
mt5_ta_s264_lc_abl_gate_variant_rule_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,control_audit_soft_state_penalty,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-12,31,-297.93,343.46,-641.39,0.535493,-9.610645,0.387097,28.621667,-33.757368,0.847864,380.56,76.112,31,1.0,5,-0.782873,negative_deep_drawdown_slice
mt5_ta_s264_lc_abl_gate_variant_rule_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,control_audit_soft_state_penalty,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,weekday,Monday,62,-275.09,592.75,-867.84,0.683018,-4.436935,0.5,19.120968,-27.994839,0.683018,344.11,63.351007,47,0.887097,4,-0.799425,negative_deep_drawdown_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,weekday,Monday,45,-272.43,294.66,-567.09,0.5196,-6.054,0.466667,14.031429,-23.62875,0.593829,276.56,54.858866,44,0.977778,4,-0.985067,negative_deep_drawdown_slice
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,weekday,Monday,47,-259.52,246.42,-505.94,0.487054,-5.521702,0.468085,11.200909,-20.2376,0.55347,263.2,52.2554,46,0.978723,4,-0.986018,negative_deep_drawdown_slice
mt5_ta_s258_stc_abl_price_return_range_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,weekday,Monday,44,-252.12,240.16,-492.28,0.487852,-5.73,0.431818,12.64,-19.6912,0.641911,264.24,52.415052,43,0.977273,4,-0.954133,negative_deep_drawdown_slice
mt5_ta_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,weekday,Monday,43,-252.02,229.45,-481.47,0.476561,-5.86093,0.44186,12.076316,-20.06125,0.601972,254.92,50.689998,42,0.976744,3,-0.988624,negative_deep_drawdown_slice
mt5_ta_s258_stc_abl_trend_strength_direction_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,weekday,Monday,45,-247.77,296.15,-543.92,0.544473,-5.506,0.444444,14.8075,-21.7568,0.680592,270.58,53.672664,44,0.977778,4,-0.9157,negative_deep_drawdown_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,pressure_or_prune_state_guard_design,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-197.01,209.75,-406.76,0.51566,-7.8804,0.4,20.975,-27.117333,0.773491,210.23,42.046,25,1.0,4,-0.937116,negative_deep_drawdown_slice
mt5_ta_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-12,24,-184.63,195.67,-380.3,0.514515,-7.692917,0.416667,19.567,-27.164286,0.720321,222.69,44.538,24,1.0,4,-0.82909,negative_deep_drawdown_slice
