record_view,tier_scope,candidate_id,candidate_alias,candidate_role,test_id,guard_rule_family,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-01,15,68.55,90.59,-22.04,4.110254,4.57,0.666667,9.059,-4.408,2.055127,20.97,3.913993,4,0.4,3,3.268956,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-02,17,225.96,250.43,-24.47,10.234164,13.291765,0.823529,17.887857,-8.156667,2.193035,22.76,3.039855,2,0.176471,2,9.927944,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-03,14,75.05,105.6,-30.55,3.456628,5.360714,0.571429,13.2,-5.091667,2.592471,12.96,2.285755,2,0.428571,2,5.790895,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-04,32,135.36,292.59,-157.23,1.860904,4.23,0.5625,16.255,-11.230714,1.44737,60.11,9.823822,7,0.625,4,2.251872,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-05,12,126.27,172.42,-46.15,3.736078,10.5225,0.833333,17.242,-23.075,0.747216,33.23,5.975007,3,0.416667,1,3.79988,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-06,10,-47.92,112.71,-160.63,0.701675,-4.792,0.3,37.57,-22.947143,1.637241,71.88,13.718604,5,0.8,3,-0.666667,negative_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-07,40,-51.21,217.33,-268.54,0.809302,-1.28025,0.525,10.349048,-14.133684,0.732226,109.24,21.848,40,1.0,5,-0.468784,negative_deep_drawdown_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-08,50,120.09,409.74,-289.65,1.414604,2.4018,0.56,14.633571,-13.165909,1.111474,48.7,9.122925,15,0.72,3,2.465914,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-09,39,182.64,399.81,-217.17,1.841,4.683077,0.615385,16.65875,-14.478,1.150625,75.94,13.032212,17,0.666667,6,2.405057,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-10,30,306.43,485.88,-179.45,2.707607,10.214333,0.566667,28.581176,-13.803846,2.070523,66.28,8.982125,9,0.666667,5,4.623265,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-11,31,286.33,559.53,-273.2,2.04806,9.236452,0.612903,29.448947,-22.766667,1.293512,126.25,24.242948,15,0.83871,3,2.26796,constructive_slice
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-12,24,-177.43,262.2,-439.63,0.596411,-7.392917,0.458333,23.836364,-33.817692,0.704849,233.18,46.636,24,1.0,4,-0.760914,negative_deep_drawdown_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-01,15,68.55,90.59,-22.04,4.110254,4.57,0.666667,9.059,-4.408,2.055127,20.97,3.913993,4,0.4,3,3.268956,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-02,17,225.96,250.43,-24.47,10.234164,13.291765,0.823529,17.887857,-8.156667,2.193035,22.76,3.039855,2,0.176471,2,9.927944,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-03,14,75.05,105.6,-30.55,3.456628,5.360714,0.571429,13.2,-5.091667,2.592471,12.96,2.285755,2,0.428571,2,5.790895,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-04,32,135.36,292.59,-157.23,1.860904,4.23,0.5625,16.255,-11.230714,1.44737,60.11,9.823822,7,0.625,4,2.251872,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-05,12,126.27,172.42,-46.15,3.736078,10.5225,0.833333,17.242,-23.075,0.747216,33.23,5.975007,3,0.416667,1,3.79988,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-06,10,-47.92,112.71,-160.63,0.701675,-4.792,0.3,37.57,-22.947143,1.637241,71.88,13.718604,5,0.8,3,-0.666667,negative_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-07,40,-51.21,217.33,-268.54,0.809302,-1.28025,0.525,10.349048,-14.133684,0.732226,109.24,21.848,40,1.0,5,-0.468784,negative_deep_drawdown_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-08,50,120.09,409.74,-289.65,1.414604,2.4018,0.56,14.633571,-13.165909,1.111474,48.7,9.122925,15,0.72,3,2.465914,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-09,39,182.64,399.81,-217.17,1.841,4.683077,0.615385,16.65875,-14.478,1.150625,75.94,13.032212,17,0.666667,6,2.405057,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-10,30,306.43,485.88,-179.45,2.707607,10.214333,0.566667,28.581176,-13.803846,2.070523,66.28,8.982125,9,0.666667,5,4.623265,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-11,31,286.33,559.53,-273.2,2.04806,9.236452,0.612903,29.448947,-22.766667,1.293512,126.25,24.242948,15,0.83871,3,2.26796,constructive_slice
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,routed_total,month,2024-12,24,-177.43,262.2,-439.63,0.596411,-7.392917,0.458333,23.836364,-33.817692,0.704849,233.18,46.636,24,1.0,4,-0.760914,negative_deep_drawdown_slice
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-01,18,60.56,88.42,-27.86,3.173726,3.364444,0.611111,8.038182,-3.98,2.019644,20.89,3.906133,4,0.444444,3,2.898995,constructive_slice
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-02,16,208.2,227.2,-19.0,11.957895,13.0125,0.8125,17.476923,-6.333333,2.759514,16.9,2.330713,2,0.1875,2,12.319527,constructive_slice
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-03,15,68.47,95.88,-27.41,3.497993,4.564667,0.6,10.653333,-4.568333,2.331996,12.22,2.17256,2,0.466667,2,5.60311,constructive_slice
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-04,34,111.86,287.52,-175.66,1.636798,3.29,0.529412,15.973333,-10.97875,1.454932,61.1,9.079291,14,0.705882,4,1.830769,constructive_slice
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-05,12,80.75,130.32,-49.57,2.629009,6.729167,0.75,14.48,-16.523333,0.876336,27.78,5.153606,4,0.583333,1,2.906767,constructive_slice
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,noncalendar_state_guard_score_table_extension_not_retrained,tier_only_total,month,2024-06,13,-43.89,104.05,-147.94,0.703326,-3.376154,0.307692,26.0125,-16.437778,1.582483,62.84,12.109066,5,0.846154,3,-0.69844,negative_slice
