focus_run_id,tier_scope,split,side,rank,feature,feature_index,signal_count,mean_chosen_minus_best_other,mean_chosen_minus_opposite,mean_chosen_minus_flat,mean_chosen_class_contribution,mean_abs_chosen_minus_best_other,positive_share,mean_probability,mean_probability_margin
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,1,atr_14,26,688,0.15803795,0.15859569,0.4903107,0.16983309,0.17267681,0.87645349,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,2,bollinger_width_20,29,688,0.13124185,0.13746824,0.22725967,0.1096628,0.15916554,0.49273256,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,3,ema9_ema20_diff,12,688,-0.11191357,-0.099787101,-0.082699203,-0.058601778,0.12608156,0.42732558,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,4,hl_zscore_50,7,688,-0.060625796,-0.015961815,-0.036954535,-0.017435062,0.087286529,0.25145349,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,5,ppo_hist_12_26_9,23,688,-0.057054594,-0.034064003,0.035535239,-0.0022886076,0.058899322,0.082848837,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,6,historical_vol_20,32,688,-0.053213691,-0.049729933,0.15830793,0.035169733,0.061230153,0.2994186,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,7,atr_14_over_atr_50,28,688,-0.044990456,0.0024295186,-0.030151933,-0.0086814664,0.048104114,0.069767442,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,8,hl_range,2,688,0.044422948,0.054035401,0.315445,0.10964561,0.070743054,0.75581395,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,9,atr_50,27,688,-0.043399305,0.010522598,-0.031568576,-0.0018834976,0.077676975,0.39098837,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,10,is_first_30m_after_open,40,688,-0.035610284,-0.0030862049,0.0078462707,0.0012446892,0.035610284,0,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,11,di_spread_14,35,688,-0.035074342,0.0055506358,0.0065662895,0.003966261,0.049621147,0.59738372,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,long,12,return_1_over_atr_14,9,688,-0.032604226,0.0010635154,-0.0067520924,-0.0016733764,0.032719073,0.081395349,0.61621418,0.35327967
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,1,ema9_ema20_diff,12,297,0.24163473,0.43302288,0.24749589,0.21763652,0.27997446,0.63973064,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,2,atr_14,26,297,-0.14040803,-0.13362512,0.34243039,0.023280254,0.14251921,0.1043771,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,3,close_ema50_ratio,11,297,-0.13670616,-0.11202653,-0.12827745,-0.074463317,0.15353888,0.48148148,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,4,bollinger_width_20,29,297,-0.11521736,-0.10990094,0.11267223,-0.010316049,0.13263873,0.45117845,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,5,historical_vol_20,32,297,0.099645759,0.10960206,0.20078011,0.10505363,0.12530688,0.79124579,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,6,ema20_ema50_diff,13,297,-0.083737291,-0.022423072,-0.0055381598,-0.0099654511,0.10081498,0.1952862,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,7,sma50_sma200_ratio,16,297,0.078661445,0.11734282,0.13271536,0.079722675,0.20654414,0.55555556,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,8,bb_position_20,30,297,-0.071836464,-0.053396794,-0.0048986265,-0.020172259,0.078934331,0.36363636,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,9,overnight_return,8,297,-0.061645666,0.1140823,-0.044870338,0.028929962,0.13911654,0.3973064,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,10,di_spread_14,35,297,-0.061217081,0.029644621,-0.031883789,-0.00019217744,0.061220847,0.0067340067,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,11,atr_14_over_atr_50,28,297,-0.060265308,-0.0010019928,-0.04712187,-0.014688992,0.063340882,0.11111111,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,validation,short,12,ppo_hist_12_26_9,23,297,0.0584119,0.064348661,0.17900386,0.07157322,0.081726921,0.71043771,0.60208816,0.33028539
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,1,atr_14,26,480,0.19468745,0.19480378,0.55774367,0.19868741,0.19693821,0.97916667,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,2,ema9_ema20_diff,12,480,-0.10359329,-0.087209838,-0.077112109,-0.052521656,0.12100241,0.39375,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,3,ema50_ema200_diff,14,480,0.063940895,0.16888987,0.08057578,0.079902135,0.18889808,0.55833333,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,4,hl_zscore_50,7,480,-0.055559331,-0.012335401,-0.030822885,-0.014245061,0.083953359,0.275,0.59296307,0.33555381
