adapter_id,split,atr_enabled,model_risk_enabled,model_risk_max_pct,max_actual_risk_pct_after_floor,risk_floor_applied_count,avg_open_sl_points,avg_open_tp_points,same_move_reentry_ratio,mfe_capture_ratio,cost_stressed_expectancy,cap_5pct_check,floor_inflation_flag
s246_cap0305_control,validation_is,True,True,0.0305,0.0304804771,0,7386.913407,16772.74557,,,,pass,fail
s246_cap0305_control,oos,True,True,0.0305,0.0303111449,0,7933.588343,18014.02716,,,,pass,fail
s246_softlow_flat003,validation_is,True,True,0.0305,0.0304804771,0,7386.913407,16772.74557,,,,pass,fail
s246_softlow_flat003,oos,True,True,0.0305,0.0304370138,0,7933.588343,18014.02716,,,,pass,fail
s246_softlow_flat005,validation_is,True,True,0.0305,0.0304804771,0,7386.913407,16772.74557,,,,pass,fail
s246_softlow_flat005,oos,True,True,0.0305,0.0302558377,0,7933.588343,18014.02716,,,,pass,fail
s246_softlowmid_lite,validation_is,True,True,0.0305,0.0304804771,0,7386.913407,16772.74557,,,,pass,fail
s246_softlowmid_lite,oos,True,True,0.0305,0.0304265347,0,7933.588343,18014.02716,,,,pass,fail
s246_softlowmid_balanced,validation_is,True,True,0.0305,0.0304804771,0,7386.913407,16772.74557,,,,pass,fail
s246_softlowmid_balanced,oos,True,True,0.0305,0.0302558377,0,7933.588343,18014.02716,,,,pass,fail
