variant_id,source_bucket,trade_count,net_profit,gross_profit,swap,commission,expectancy,win_count,loss_count,win_rate_percent,profit_factor_gross,avg_hold_minutes,claim_boundary
bx03_hour17_overlay_plus_weak_late_session_firewall,long_threshold,903,883.52,874.67,8.85,0.0,0.978427,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,native_short_threshold,66,55.47,58.77,-3.3,0.0,0.840455,29,37,43.939394,1.234676,183.864394,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,synthetic_short_overlay,39,69.19,69.19,0.0,0.0,1.774103,20,19,51.282051,1.636405,29.358974,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,long_threshold,903,871.13,874.67,-3.54,0.0,0.964707,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,native_short_threshold,66,57.17,58.77,-1.6,0.0,0.866212,29,37,43.939394,1.234676,183.864394,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,synthetic_short_overlay,39,69.19,69.19,0.0,0.0,1.774103,20,19,51.282051,1.636405,29.358974,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,long_threshold,907,863.26,866.92,-3.66,0.0,0.951775,488,419,53.803749,1.399131,114.008361,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,native_short_threshold,66,57.17,58.77,-1.6,0.0,0.866212,29,37,43.939394,1.234676,183.864394,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,synthetic_short_overlay,39,69.19,69.19,0.0,0.0,1.774103,20,19,51.282051,1.636405,29.358974,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca03_december_h21_h23_long_block_stress,long_threshold,903,871.13,874.67,-3.54,0.0,0.964707,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca03_december_h21_h23_long_block_stress,native_short_threshold,66,57.17,58.77,-1.6,0.0,0.866212,29,37,43.939394,1.234676,183.864394,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca03_december_h21_h23_long_block_stress,synthetic_short_overlay,39,69.19,69.19,0.0,0.0,1.774103,20,19,51.282051,1.636405,29.358974,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca06_native_short_same_calendar_control,long_threshold,903,871.13,874.67,-3.54,0.0,0.964707,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca06_native_short_same_calendar_control,native_short_threshold,99,85.27,86.87,-1.6,0.0,0.861313,45,54,45.454545,1.254296,132.475253,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
