variant_id,direction,trade_count,net_profit,gross_profit,swap,commission,expectancy,win_count,loss_count,win_rate_percent,profit_factor_gross,avg_hold_minutes,claim_boundary
bx03_hour17_overlay_plus_weak_late_session_firewall,long,903,883.52,874.67,8.85,0.0,0.978427,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,short,105,124.66,127.96,-3.3,0.0,1.187238,49,56,46.666667,1.356286,126.476667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,long,903,871.13,874.67,-3.54,0.0,0.964707,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,short,105,126.36,127.96,-1.6,0.0,1.203429,49,56,46.666667,1.356286,126.476667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,long,907,863.26,866.92,-3.66,0.0,0.951775,488,419,53.803749,1.399131,114.008361,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,short,105,126.36,127.96,-1.6,0.0,1.203429,49,56,46.666667,1.356286,126.476667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca03_december_h21_h23_long_block_stress,long,903,871.13,874.67,-3.54,0.0,0.964707,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca03_december_h21_h23_long_block_stress,short,105,126.36,127.96,-1.6,0.0,1.203429,49,56,46.666667,1.356286,126.476667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca06_native_short_same_calendar_control,long,903,871.13,874.67,-3.54,0.0,0.964707,486,417,53.820598,1.404636,111.910945,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca06_native_short_same_calendar_control,short,99,85.27,86.87,-1.6,0.0,0.861313,45,54,45.454545,1.254296,132.475253,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
