run_id,segment,trade_count,net_diff_ca01_minus_bx3,gross_diff_ca01_minus_bx3,swap_diff_ca01_minus_bx3,commission_diff_ca01_minus_bx3,claim_boundary,close_month_ca01,direction_ca01,source_bucket_ca01
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,87,-1.47,0.0,-1.47,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-01,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,74,0.86,0.0,0.86,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-02,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,9,-0.63,0.0,-0.63,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-03,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,119,-1.26,0.0,-1.26,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-04,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,75,-1.89,0.0,-1.89,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-05,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,68,-1.05,0.0,-1.05,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-06,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,35,-0.42,0.0,-0.42,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-07,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,47,-0.42,0.0,-0.42,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-08,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,51,-0.63,0.0,-0.63,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-09,,
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,close_month_ca01,78,-0.21,0.0,-0.21,0.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,2025-10,,
