variant_id,open_hour,trade_count,net_profit,gross_profit,swap,commission,expectancy,win_count,loss_count,win_rate_percent,profit_factor_gross,avg_hold_minutes,claim_boundary
bx03_hour17_overlay_plus_weak_late_session_firewall,16,129,29.87,29.87,0.0,0.0,0.23155,70,59,54.263566,1.069198,30.930233,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,17,300,218.79,218.79,0.0,0.0,0.7293,161,139,53.666667,1.309209,31.668611,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,18,223,55.34,55.34,0.0,0.0,0.248161,115,108,51.569507,1.105057,32.28722,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,19,135,37.41,37.41,0.0,0.0,0.277111,73,62,54.074074,1.11613,35.148148,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,20,125,173.53,173.38,0.15,0.0,1.38824,64,61,51.2,1.639,44.72,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,21,84,301.33,298.03,3.3,0.0,3.587262,43,41,51.190476,2.255656,794.583333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,22,12,191.91,189.81,2.1,0.0,15.9925,9,3,75.0,8.925261,1380.416667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,16,129,29.87,29.87,0.0,0.0,0.23155,70,59,54.263566,1.069198,30.930233,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,17,300,218.79,218.79,0.0,0.0,0.7293,161,139,53.666667,1.309209,31.668611,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,18,223,55.34,55.34,0.0,0.0,0.248161,115,108,51.569507,1.105057,32.28722,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,19,135,37.41,37.41,0.0,0.0,0.277111,73,62,54.074074,1.11613,35.148148,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,20,125,173.32,173.38,-0.06,0.0,1.38656,64,61,51.2,1.639,44.72,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,21,84,293.79,298.03,-4.24,0.0,3.4975,43,41,51.190476,2.255656,794.583333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca01_bx03_semantics_control,22,12,188.97,189.81,-0.84,0.0,15.7475,9,3,75.0,8.925261,1380.416667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,16,129,29.87,29.87,0.0,0.0,0.23155,70,59,54.263566,1.069198,30.930233,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,17,300,218.79,218.79,0.0,0.0,0.7293,161,139,53.666667,1.309209,31.668611,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,18,223,55.34,55.34,0.0,0.0,0.248161,115,108,51.569507,1.105057,32.28722,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,19,135,37.41,37.41,0.0,0.0,0.277111,73,62,54.074074,1.11613,35.148148,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,20,125,173.32,173.38,-0.06,0.0,1.38656,64,61,51.2,1.639,44.72,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,21,88,285.92,290.28,-4.36,0.0,3.249091,45,43,51.136364,2.171665,785.170455,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
ca02_december_h22_only_long_block_isolation,22,12,188.97,189.81,-0.84,0.0,15.7475,9,3,75.0,8.925261,1380.416667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
