run_id,entry_month,side,segment_trade_count,segment_trade_per_business_day,segment_net_profit,segment_profit_factor,segment_max_drawdown,review_status,claim_boundary
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-04,short,13.0,0.65,0.917,1.0126645214,-48.182,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-12,short,4.0,1.0,1.175,1.1358381503,-6.425,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-01,short,6.0,0.2727272727,5.812,1.2080395175,-27.937,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-10,long,70.0,3.1818181818,7.199,1.0423368482,-52.886,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2026-04,long,44.0,4.8888888889,11.825,1.1190236537,-57.24,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-02,short,11.0,0.6875,12.946,1.2417012061,-27.862,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-10,short,6.0,0.6666666667,20.939,1.7958268405,-19.774,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2026-02,short,10.0,0.5555555556,21.9,1.9988597491,-8.275,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-02,long,59.0,2.95,25.67,1.1862425724,-44.901,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-11,short,9.0,0.6428571429,28.687,1.9832733505,-15.501,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
