run_id,input_role,path,exists,sha256,claim_boundary
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,supporting input(보조 입력),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/final_decision.json,True,81ea15c1149db9bdc4f1d80bbde5e1c9383f27eb93aaac7edf923f369c528f06,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,supporting input(보조 입력),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/required_gate_coverage_audit.csv,True,04b9458e0d84cf02368c9a558229093a21e4a462afb27b0395c496db3eae26e6,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,parent scout surface(부모 정찰 표면),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/threshold_edge_pf_gap_repair_proxy_scout_surface.csv,True,43b91b4e25cd6f2ebd785ceb36f0981ad6a8c02eef3aa6322f9f4c7fa4cfdd4e,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,parent strict candidates(부모 엄격 후보),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/strict_proxy_candidates.csv,True,333833b0467d1314cee59d98717d88a7f7895288f5535290813e762168b7c564,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,selected proxy candidate(선택 프록시 후보),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/selected_proxy_candidate.json,True,a4b10aef8b3b84e9554dec29ebbe05b9f6f1a533029480ffc2ec45a5285e395a,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,selected expected trade tape(선택 예상 거래 테이프),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/expected_tapes/selected_trade_tape.csv,True,acc32825941fc8163578a4634dff7d53e71f82e9a88f1091b065c81ff53ed625,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,selected session summary(선택 세션 요약),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/selected_session_summary.csv,True,af0244f08863f638cb38ca66824da6e8aa929e93cfaf0ab39e143c49f6a53de4,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,selected month-side summary(선택 월/방향 요약),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/selected_month_side_summary.csv,True,9bb69bc48d4300abbad9822046a31f39149eb2b2dc6f11cc1d29f0317d2ade86,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,supporting input(보조 입력),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/policy_attribution.csv,True,c3e2516b35513710605443d3265b13d2d16eb4cb5b30a0f0e8be1b52ad037c13,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,supporting input(보조 입력),stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/baseline_comparison.csv,True,fb3c774e009168da875034c97de64b4ece0a97daeed4a59280d080fafeb5f9cb,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
