profile_id,profile_role,split,granularity,period,tier_scope,record_view,max_hold_bars,atr_stop_multiplier,atr_take_profit_multiplier,cooldown_bars,early_adverse_exit_enabled,trade_count,days_in_scope,trades_per_day,long_trade_count,short_trade_count,net_profit,profit_factor,expectancy,win_rate,max_drawdown_percent,max_monthly_drawdown_percent,dd_risk_percent,underwater_ratio,max_loss_streak,equity_trend_r2,sparse_flag,pf999_sparse_flag,density_axis_distance,pf_axis_distance,dd_axis_distance,smoothness_axis_distance,aspiration_distance_score,proxy_cost_log_return,source_candidate_id,source_rule_definition,source_lane,source_shock_feature,source_context_feature
f22b_0321__hold6_atr1p0_tp2p0_cd2,balanced_containment(균형 위험 억제),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),6,1.0,2.0,2,False,331,81,4.08641975308642,331,0,-0.023297660062897487,0.9138759737954891,-7.038567994833078e-05,0.4199395770392749,4.443835475552116,3.062683168285152,4.443835475552116,0.9818731117824774,10,0.443359801601678,False,False,0.18271604938271596,0.5430620131022554,0.0,1.7923309895813597,2.518109052066331,5e-05,f22b_0321,log_return_1 >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,log_return_1,ema20_ema50_diff
f22b_0321__hold8_atr1p2_tp2p4_cd3,wide_containment(넓은 위험 억제),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),8,1.2,2.4,3,False,956,338,2.828402366863905,956,0,0.15050505634057265,1.1663286182389216,0.00015743206730185424,0.4476987447698745,7.777230689837378,2.7718764935979023,7.777230689837378,0.8891213389121339,12,0.6827739763276801,False,False,0.43431952662721895,0.4168356908805392,0.0,0.6428563131630042,1.4940115306707624,5e-05,f22b_0321,log_return_1 >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,log_return_1,ema20_ema50_diff
f22b_0321__hold8_atr1p2_tp2p4_cd3,wide_containment(넓은 위험 억제),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),8,1.2,2.4,3,False,342,122,2.80327868852459,342,0,0.030880435842481128,1.0896993723563264,9.029367205403838e-05,0.4473684210526316,3.7657283396550167,3.7657283396550167,3.7657283396550167,0.935672514619883,11,0.6967372284090136,False,False,0.439344262295082,0.4551503138218368,0.0,0.6575208787948912,1.55201545491181,5e-05,f22b_0321,log_return_1 >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,log_return_1,ema20_ema50_diff
f22b_0321__hold8_atr1p2_tp2p4_cd3,wide_containment(넓은 위험 억제),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),8,1.2,2.4,3,False,267,81,3.2962962962962963,267,0,0.016263918293799577,1.0722395224765722,6.09135516621707e-05,0.4344569288389513,2.8533277305167304,2.004244182774406,2.8533277305167304,0.9400749063670412,10,0.37886604734165485,False,False,0.34074074074074073,0.4638802387617139,0.0,0.8025439865614238,1.6071649660638783,5e-05,f22b_0321,log_return_1 >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,log_return_1,ema20_ema50_diff
f22b_0343__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,4518,567,7.968253968253968,4518,0,0.035304019161434594,1.0131749371438228,7.814081266364452e-06,0.4701195219123506,8.229199629386908,5.759487362010429,8.229199629386908,0.9794156706507304,12,0.3143649238616459,False,False,0.0,0.4934125314280886,0.0,0.849272836055088,1.3426853674831767,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
f22b_0343__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,1345,180,7.472222222222222,1345,0,-0.029179650322401704,0.969833304823483,-2.1694907302900897e-05,0.47732342007434947,9.772442204477482,9.772442204477505,9.772442204477505,0.9962825278810409,8,0.1898658451412921,False,False,0.0,0.5150833475882586,0.0,1.892887507232887,2.4079708548211456,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
f22b_0343__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,923,129,7.155038759689923,923,0,0.002090026942743045,1.003913709215542,2.2643845533510783e-06,0.4799566630552546,4.03580411001232,3.0013708160725683,4.03580411001232,0.9739978331527628,10,0.19632623373360983,False,False,0.0,0.49804314539222905,0.0,0.8999522197386188,1.3979953651308479,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
f22b_0343__hold4_atr0p8_tp1p6_cd1,compact_containment(압축 위험 억제),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),4,0.8,1.6,1,False,3547,566,6.26678445229682,3547,0,0.11094876658949715,1.0432453823336605,3.127960715802006e-05,0.4268395827459825,6.146056244994613,5.552218589503221,6.146056244994613,0.9656047363969552,14,0.789397168734284,False,False,0.0,0.47837730883316976,0.0,0.629293405448202,1.1076707142813718,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
f22b_0343__hold4_atr0p8_tp1p6_cd1,compact_containment(압축 위험 억제),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),4,0.8,1.6,1,False,1066,180,5.9222222222222225,1066,0,-0.027575849562648178,0.9696571563558185,-2.5868526794229058e-05,0.4146341463414634,9.009068124587527,7.697155314050585,9.009068124587527,0.99812382739212,14,0.017946250973023787,False,False,0.0,0.5151714218220907,0.0,1.9910799093885934,2.506251331210684,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
f22b_0343__hold4_atr0p8_tp1p6_cd1,compact_containment(압축 위험 억제),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),4,0.8,1.6,1,False,751,129,5.821705426356589,751,0,-0.03219748939223564,0.942491542401263,-4.2872822093522826e-05,0.4207723035952064,4.60206513722089,4.132064611740304,4.60206513722089,0.9946737683089214,12,0.268769134911882,False,False,0.0,0.5287542287993685,0.0,1.876657085028668,2.4054113138280364,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
f22b_0343__hold6_atr1p0_tp2p0_cd2,balanced_containment(균형 위험 억제),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),6,1.0,2.0,2,False,2900,566,5.123674911660777,2900,0,0.19191303190688005,1.0756031378237336,6.617690755409657e-05,0.4337931034482759,7.0371512915573415,4.320003142745888,7.0371512915573415,0.9455172413793104,18,0.9230578630381583,False,False,0.0,0.4621984310881332,0.0,0.5601067202535185,1.0223051513416517,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
f22b_0343__hold6_atr1p0_tp2p0_cd2,balanced_containment(균형 위험 억제),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),6,1.0,2.0,2,False,880,180,4.888888888888889,880,0,-0.025917855323601406,0.9708686004666598,-2.9452108322274326e-05,0.4159090909090909,11.264907106875476,9.688198110632895,11.264907106875476,0.9863636363636363,12,0.22271809015583113,False,False,0.022222222222222143,0.5145656997666701,0.12649071068754764,1.8936404957935125,2.5569191284699526,5e-05,f22b_0343,log_return_1 >= q70 & mega8_pos_breadth_1 >= q80 [shock_continuation],shock_continuation,log_return_1,mega8_pos_breadth_1
