variant_id,idea_type,policy_family,description,net_profit,profit_factor,expectancy,trade_count,trade_density_per_business_day,gross_profit,gross_loss,max_closed_drawdown_amount,max_closed_drawdown_percent,recovery_factor,win_rate_percent,long_trade_count,short_trade_count,long_share,short_share,run_id,removed_trade_count,removed_net_profit,net_delta_vs_baseline,pf_delta_vs_baseline,density_delta_vs_baseline,closed_dd_delta_vs_baseline,forward_fail_count,weak_month_fail_count,density_floor_pass,short_share_target_pass,long_share_target_pass,overfit_penalty,candidate_status,selection_score,claim_boundary,long_hours,margin_col,margin_min,blocked_months,hard_block_long_hours,blocked_short_slices
bh02_long_h19_margin_opp_0020,repair_control(수리/대조),hour19_closed_bar_margin_guard(19시 닫힌 봉 margin 가드),block hour 19 long entries when selected minus opposite probability <0.0020(19시 롱에서 선택-반대 확률 차이 0.0020 미만 차단),938.59,1.3732279833,0.935782652,1003,3.012012012,3453.38,2514.79,86.04,14.4168390608,10.9087633659,53.0408773679,904,99,0.9012961117,0.0987038883,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,13,-38.23,38.23,0.0222665385,-0.0390390391,-13.92,0,1,True,False,False,0.0,"proxy_review_candidate_density_preserved(프록시 검토 후보, 밀도 보존)",0.765454216,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,[19],margin_vs_opposite,0.002,,,
bh03_long_h19_margin_max_0015,repair_control(수리/대조),hour19_closed_bar_margin_guard(19시 닫힌 봉 margin 가드),block hour 19 long entries when selected minus max-other probability <0.0015(19시 롱에서 선택-최대 다른 확률 차이 0.0015 미만 차단),925.38,1.367389233,0.9244555445,1001,3.006006006,3444.18,2518.8,86.04,14.4168390608,10.7552301255,52.9470529471,902,99,0.9010989011,0.0989010989,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,15,-25.02,25.02,0.0164277882,-0.0450450451,-13.92,0,1,True,False,False,0.0,"proxy_review_candidate_density_preserved(프록시 검토 후보, 밀도 보존)",-4.055032048,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,[19],margin_vs_max_other,0.0015,,,
bh01_long_h19_margin_opp_0015,repair_control(수리/대조),hour19_closed_bar_margin_guard(19시 닫힌 봉 margin 가드),block hour 19 long entries when selected minus opposite probability <0.0015(19시 롱에서 선택-반대 확률 차이 0.0015 미만 차단),908.16,1.3568100204,0.9027435388,1006,3.021021021,3453.38,2545.22,96.43,14.4168390608,9.4178160324,52.8827037773,907,99,0.9015904573,0.0984095427,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,10,-7.8,7.8,0.0058485756,-0.0300300301,-3.53,0,1,True,False,False,0.0,"proxy_review_candidate_density_preserved(프록시 검토 후보, 밀도 보존)",-5.073770554,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,[19],margin_vs_opposite,0.0015,,,
bh04_long_h18_margin_opp_0005,repair_control(수리/대조),hour18_closed_bar_margin_guard(18시 닫힌 봉 margin 가드),thin hour 18 long guard(18시 롱 얇은 가드),905.96,1.3560687644,0.896990099,1010,3.033033033,3450.3,2544.34,100.45,13.6034063749,9.019014435,52.7722772277,911,99,0.901980198,0.098019802,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,6,-5.6,5.6,0.0051073196,-0.0180180181,0.49,0,2,True,False,False,0.0,"proxy_review_candidate_density_preserved(프록시 검토 후보, 밀도 보존)",-12.817987158,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,[18],margin_vs_opposite,0.0005,,,
bh05_long_h16_margin_opp_0020,repair_control(수리/대조),hour16_closed_bar_margin_guard(16시 닫힌 봉 margin 가드),hour 16 long margin stress guard(16시 롱 margin 압박 가드),900.55,1.3570309991,0.8978564307,1003,3.012012012,3422.88,2522.33,90.64,12.6714736187,9.9354589585,52.6420737787,904,99,0.9012961117,0.0987038883,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,13,-0.19,0.19,0.0060695543,-0.0390390391,-9.32,0,2,True,False,False,0.0,"proxy_review_candidate_density_preserved(프록시 검토 후보, 밀도 보존)",-18.786183888,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,[16],margin_vs_opposite,0.002,,,
bh10_h19_margin_plus_short_2025_01_h17,offensive_control(공격/대조),micro_margin_plus_exact_short_slice_watch(소형 margin + 정확 숏 조각 관찰),h19 margin guard plus one exact short loss slice(19시 margin 가드 + 정확 숏 손실 조각 1개),970.94,1.3911232497,0.97094,1000,3.003003003,3453.38,2482.44,86.04,9.7238188298,11.2847512785,53.2,904,96,0.904,0.096,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,16,-70.58,70.58,0.0401618049,-0.0480480481,-13.92,0,1,True,False,False,30.0,"watch_long_skew_worse_than_parent(관찰, 부모보다 롱 편향 악화)",-23.193832662,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,[19],margin_vs_opposite,0.002,,,['short_2025-01_h17']
bh00_current_runtime_policy_reference,reference(기준),no_policy_change(정책 변경 없음),current BF/BE MT5 closed trade tape baseline(현재 BF/BE MT5 종료 거래 기준),900.36,1.3509614448,0.8861811024,1016,3.0510510511,3465.77,2565.41,99.96,14.4168390608,9.0072028812,52.7559055118,917,99,0.9025590551,0.0974409449,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,0,0.0,0.0,0.0,0.0,0.0,0,2,True,False,False,0.0,"watch_no_strict_improvement(관찰, 엄격 개선 아님)",-34.944323837,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,,,,,,
bh09_short_negative_exact_slice_guard,offensive_control(공격/대조),"exact_short_slice_guard_research_only(정확 숏 조각 가드, 연구 전용)",drop exact negative short slices from BG(BG의 정확 음수 숏 조각 제외),1018.22,1.419959003,1.0223092369,996,2.990990991,3442.79,2424.57,85.87,9.6074394832,11.8576918598,53.5140562249,917,79,0.9206827309,0.0793172691,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,20,-117.86,117.86,0.0689975582,-0.0600600601,-14.09,0,2,False,False,False,35.0,"rejected_density_breaks_3_per_day(거절, 밀도 3/day 붕괴)",-1028.030220724,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,,,,,,"['short_2025-01_h17', 'short_2025-10_h20', 'short_2025-04_h17', 'short_2025-12_h17', 'short_2025-05_h20', 'short_2025-02_h17']"
bh06_negative_month_exact_firewall,repair_control(수리/대조),"exact_month_firewall_research_only(정확 월 방화벽, 연구 전용)",drop exact negative months from BG stress matrix(BG 압박 행렬의 정확 음수 월 제외),934.43,1.4098700775,1.0313796909,906,2.7207207207,3214.25,2279.82,71.78,14.4168390608,13.0179715798,53.4216335541,815,91,0.8995584989,0.1004415011,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,110,-34.07,34.07,0.0589086327,-0.3303303304,-28.18,0,0,False,False,False,20.0,"rejected_density_breaks_3_per_day(거절, 밀도 3/day 붕괴)",-1044.463983944,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,,,,"['2025-08', '2025-12']",,
bh07_weak_month_exact_firewall,repair_control(수리/대조),"exact_month_firewall_research_only(정확 월 방화벽, 연구 전용)",drop exact weak months from BG stress matrix(BG 압박 행렬의 정확 약한 월 제외),907.0,1.432861179,1.1007281553,824,2.4744744745,3002.36,2095.36,71.78,14.4168390608,12.635831708,54.0048543689,738,86,0.895631068,0.104368932,run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,192,-6.64,6.64,0.0818997342,-0.5765765766,-28.18,0,0,False,False,False,25.0,"rejected_density_breaks_3_per_day(거절, 밀도 3/day 붕괴)",-1084.519760056,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,,,,"['2025-08', '2025-12', '2026-01']",,
