record_type,feature_index,item_index,value,score_short,score_flat,score_long
intercept,-1,-1,,-0.18358211308807892,-0.15258338177072223,0
cut,0,0,-0.5,,,
cut,0,1,0.5,,,
score,0,0,,0,0,0
score,0,1,,0.31063521792570548,-0.018298748949669701,-0.31186079409645318
score,0,2,,-0.0033008959710521413,0.0065247513353605983,0.00061937618281454805
score,0,3,,-0.42782400438164525,-0.35609598731455111,0.59181441489725584
score,0,4,,0,0,0
cut,1,0,0.5,,,
cut,1,1,1.5,,,
cut,1,2,2.5,,,
score,1,0,,0,0,0
score,1,1,,-0.16699188822689864,0.15535854078009564,0.043756084249074803
score,1,2,,0.27867270865654742,-0.28674862006462321,-0.039003470187597492
score,1,3,,0.56785759588506235,-0.50254553528714196,-0.17393202199773125
score,1,4,,0.8053476720054632,-0.68530955823921658,-0.30212814282041872
score,1,5,,0,0,0
cut,2,0,13.047600746154785,,,
cut,2,1,14.334038257598877,,,
cut,2,2,15.204872131347656,,,
cut,2,3,16.056653022766113,,,
cut,2,4,16.80323314666748,,,
cut,2,5,17.45524787902832,,,
cut,2,6,18.097109794616699,,,
cut,2,7,18.724605560302734,,,
cut,2,8,19.283627510070801,,,
cut,2,9,19.811806678771973,,,
cut,2,10,20.374255180358887,,,
cut,2,11,20.951473236083984,,,
cut,2,12,21.513334274291992,,,
cut,2,13,22.085512161254883,,,
cut,2,14,22.664056777954102,,,
cut,2,15,23.230297088623047,,,
cut,2,16,23.834548950195312,,,
cut,2,17,24.454257011413574,,,
cut,2,18,25.135722160339355,,,
cut,2,19,25.914843559265137,,,
cut,2,20,26.708145141601562,,,
cut,2,21,27.607204437255859,,,
cut,2,22,28.563857078552246,,,
cut,2,23,29.68226432800293,,,
cut,2,24,30.934930801391602,,,
cut,2,25,32.497461318969727,,,
cut,2,26,34.615589141845703,,,
cut,2,27,38.140586853027344,,,
cut,2,28,43.559650421142578,,,
score,2,0,,0,0,0
score,2,1,,-0.031977260776204268,0.039903418240358972,-0.010375092068927077
score,2,2,,-0.027923868711496765,0.038467416060455416,-0.012241215851037246
score,2,3,,-0.021637744942580507,0.036273616925563433,-0.015280026265149094
score,2,4,,-0.012130435865250935,0.023718907029330889,-0.010057571487244678
score,2,5,,-0.010296665536670089,0.025117767192743334,-0.013221750833483583
score,2,6,,-0.0091048660832226905,0.026766615003699611,-0.016063762916605044
score,2,7,,-0.0069448827258270125,0.024762963713550502,-0.01590033837208733
score,2,8,,-0.0087089925750081839,0.026780184664351912,-0.016444486871398906
score,2,9,,-0.0094594198799105838,0.027910153601424334,-0.016942360430758106
score,2,10,,-0.010737761526977037,0.029342164296568964,-0.017250136981944157
score,2,11,,-0.011598329451124623,0.032048172619354387,-0.019177723701756844
score,2,12,,-0.0084247008585894602,0.02626237140251525,-0.016406977665680004
score,2,13,,0.0061643038331354212,0.0036211173361966882,-0.0080962532026965083
score,2,14,,0.006272837367002352,0.0059394327298374072,-0.010399369292674225
score,2,15,,0.010353776523475773,-0.0026426504090737279,-0.0059361344521402098
score,2,16,,0.010275773580303071,-0.003048743340786073,-0.0054894398379116763
score,2,17,,0.013765248396950218,-0.010651583356690544,-0.0014471573994850335
score,2,18,,0.015512986718774793,-0.015890660762582678,0.0019281469019969367
score,2,19,,0.017485970403490567,-0.020875056000698385,0.0052577439240974484
score,2,20,,0.013810297935497175,-0.0050564623464474986,-0.004780218049754037
score,2,21,,0.013810297935497175,-0.0050564623464474986,-0.004780218049754037
score,2,22,,0.013998680316009322,-0.0045416665140974744,-0.0053773627691988835
score,2,23,,0.017715844994370619,-0.015758830191794495,0.00087634654716865204
score,2,24,,0.016701276620488613,-0.017430382500753801,0.0031436085174329025
score,2,25,,0.01442568776780535,-0.015283320973613712,0.0036316084054517327
score,2,26,,0.01442568776780535,-0.015283320973613712,0.0036316084054517327
score,2,27,,0.008179764491886253,-0.016915599547173324,0.010619796959563138
score,2,28,,-0.0072800877920016268,-0.049198899566269334,0.048967823380520484
