record_view,tier_scope,candidate_id,candidate_alias,candidate_role,test_id,feature_family,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,323,1269.97,3687.49,-2417.52,1.525319,3.931796,0.575851,19.825215,-17.646131,1.123488,365.59,17.928343,78,0.76161,6,3.473755,17.52,17.29,3.43,0,0,0.75,3,2024-12,-227.63,2024-09,274.2,501.59,346.57,421.81,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_01_s264_aih_abl_volatility_bandwidth_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,routed_total,323,1269.97,3687.49,-2417.52,1.525319,3.931796,0.575851,19.825215,-17.646131,1.123488,365.59,17.928343,78,0.76161,6,3.473755,17.52,17.29,3.43,0,0,0.75,3,2024-12,-227.63,2024-09,274.2,501.59,346.57,421.81,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_01_s264_aih_abl_volatility_bandwidth_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_aih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,354,1130.52,3694.44,-2563.92,1.440934,3.193559,0.550847,18.945846,-16.125283,1.174916,347.67,17.747864,98,0.80791,7,3.251704,19.46,17.75,2.92,0,0,0.75,3,2024-12,-280.42,2024-11,295.44,564.14,147.98,418.4,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_02_s264_aih_abl_trend_strength_direction_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_aih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,routed_total,354,1130.52,3694.44,-2563.92,1.440934,3.193559,0.550847,18.945846,-16.125283,1.174916,347.67,17.747864,98,0.80791,7,3.251704,19.46,17.75,2.92,0,0,0.75,3,2024-12,-280.42,2024-11,295.44,564.14,147.98,418.4,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_02_s264_aih_abl_trend_strength_direction_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_aih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,tier_only_total,308,1097.96,3244.46,-2146.5,1.511512,3.564805,0.590909,17.826703,-17.035714,1.046431,313.09,16.900853,79,0.769481,7,3.506851,18.19,16.9,3.23,0,0,0.75,3,2024-12,-193.94,2024-10,245.69,513.66,200.5,383.8,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_03_s264_aih_rep_trend_strength_adx_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_aih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,routed_total,308,1097.96,3244.46,-2146.5,1.511512,3.564805,0.590909,17.826703,-17.035714,1.046431,313.09,16.900853,79,0.769481,7,3.506851,18.19,16.9,3.23,0,0,0.75,3,2024-12,-193.94,2024-10,245.69,513.66,200.5,383.8,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_03_s264_aih_rep_trend_strength_adx_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_aih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_risk(변동성 위험),true_internal_feature_order_supervised_score_table,tier_only_total,337,1177.35,3452.65,-2275.3,1.517448,3.49362,0.554896,18.463369,-15.168667,1.217204,305.76,16.501714,79,0.789318,6,3.850569,17.25,15.64,3.44,0,0,0.833333,2,2024-12,-232.58,2024-10,330.59,486.31,171.36,519.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_04_s264_aih_rep_volatility_atr_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_aih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_risk(변동성 위험),true_internal_feature_order_supervised_score_table,routed_total,337,1177.35,3452.65,-2275.3,1.517448,3.49362,0.554896,18.463369,-15.168667,1.217204,305.76,16.501714,79,0.789318,6,3.850569,17.25,15.64,3.44,0,0,0.833333,2,2024-12,-232.58,2024-10,330.59,486.31,171.36,519.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_04_s264_aih_rep_volatility_atr_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_lc_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,source_feature_rank_bucket,true_internal_feature_order_supervised_score_table,tier_only_total,165,52.75,635.73,-582.98,1.090483,0.319697,0.515152,7.479176,-7.28725,1.026337,119.9,19.537552,129,0.915152,6,0.43995,20.42,19.54,0.42,0,0,0.666667,4,2024-06,-32.58,2024-02,49.02,72.82,-41.25,21.18,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_05_s264_lc_abl_gate_rank_bucket_ta_2024.png,mixed_or_fragile
mt5_rt_s264_lc_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,source_feature_rank_bucket,true_internal_feature_order_supervised_score_table,routed_total,165,52.75,635.73,-582.98,1.090483,0.319697,0.515152,7.479176,-7.28725,1.026337,119.9,19.537552,129,0.915152,6,0.43995,20.42,19.54,0.42,0,0,0.666667,4,2024-06,-32.58,2024-02,49.02,72.82,-41.25,21.18,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_05_s264_lc_abl_gate_rank_bucket_rt_2024.png,mixed_or_fragile
