attempt_name,record_view,tier_scope,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267w_01_s264_aih_abl_volatility_bandwidth_ta_2024,mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_01_s264_aih_abl_volatility_bandwidth_ta_2024.htm,323,323,0,matched
run267w_01_s264_aih_abl_volatility_bandwidth_rt_2024,mt5_rt_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_01_s264_aih_abl_volatility_bandwidth_rt_2024.htm,323,323,0,matched
run267w_02_s264_aih_abl_trend_strength_direction_ta_2024,mt5_ta_s264_aih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_02_s264_aih_abl_trend_strength_direction_ta_2024.htm,354,354,0,matched
run267w_02_s264_aih_abl_trend_strength_direction_rt_2024,mt5_rt_s264_aih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_02_s264_aih_abl_trend_strength_direction_rt_2024.htm,354,354,0,matched
run267w_03_s264_aih_rep_trend_strength_adx_ta_2024,mt5_ta_s264_aih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_03_s264_aih_rep_trend_strength_adx_ta_2024.htm,308,308,0,matched
run267w_03_s264_aih_rep_trend_strength_adx_rt_2024,mt5_rt_s264_aih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_03_s264_aih_rep_trend_strength_adx_rt_2024.htm,308,308,0,matched
run267w_04_s264_aih_rep_volatility_atr_ta_2024,mt5_ta_s264_aih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_04_s264_aih_rep_volatility_atr_ta_2024.htm,337,337,0,matched
run267w_04_s264_aih_rep_volatility_atr_rt_2024,mt5_rt_s264_aih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_04_s264_aih_rep_volatility_atr_rt_2024.htm,337,337,0,matched
run267w_05_s264_lc_abl_gate_rank_bucket_ta_2024,mt5_ta_s264_lc_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_05_s264_lc_abl_gate_rank_bucket_ta_2024.htm,165,165,0,matched
run267w_05_s264_lc_abl_gate_rank_bucket_rt_2024,mt5_rt_s264_lc_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_05_s264_lc_abl_gate_rank_bucket_rt_2024.htm,165,165,0,matched
run267w_06_s264_lc_abl_gate_variant_rule_ta_2024,mt5_ta_s264_lc_abl_gate_variant_rule_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_06_s264_lc_abl_gate_variant_rule_ta_2024.htm,400,400,0,matched
run267w_06_s264_lc_abl_gate_variant_rule_rt_2024,mt5_rt_s264_lc_abl_gate_variant_rule_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_06_s264_lc_abl_gate_variant_rule_rt_2024.htm,400,400,0,matched
run267w_07_s264_lc_abl_trend_strength_direction_ta_2024,mt5_ta_s264_lc_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_07_s264_lc_abl_trend_strength_direction_ta_2024.htm,330,330,0,matched
run267w_07_s264_lc_abl_trend_strength_direction_rt_2024,mt5_rt_s264_lc_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_07_s264_lc_abl_trend_strength_direction_rt_2024.htm,330,330,0,matched
run267w_08_s264_lc_rep_trend_strength_adx_ta_2024,mt5_ta_s264_lc_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_08_s264_lc_rep_trend_strength_adx_ta_2024.htm,343,343,0,matched
run267w_08_s264_lc_rep_trend_strength_adx_rt_2024,mt5_rt_s264_lc_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_08_s264_lc_rep_trend_strength_adx_rt_2024.htm,343,343,0,matched
run267w_09_s264_lc_rep_volatility_atr_ta_2024,mt5_ta_s264_lc_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_09_s264_lc_rep_volatility_atr_ta_2024.htm,330,330,0,matched
