record_view,tier_scope,candidate_id,candidate_alias,candidate_role,test_id,feature_family,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-01,17,66.95,92.28,-25.33,3.643111,3.938235,0.647059,8.389091,-4.221667,1.987151,21.21,3.936964,4,0.411765,3,3.15653,measured_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-02,14,242.44,266.22,-23.78,11.195122,17.317143,0.857143,22.185,-11.89,1.865854,23.78,3.103547,2,0.142857,2,10.195122,measured_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-03,14,70.04,104.73,-34.69,3.019026,5.002857,0.571429,13.09125,-5.781667,2.264269,12.72,2.270456,2,0.428571,2,5.506289,measured_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-04,33,100.89,318.4,-217.51,1.463841,3.057273,0.515152,18.729412,-13.594375,1.377732,78.85,12.287865,14,0.818182,3,1.279518,measured_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-05,14,159.83,212.83,-53.0,4.01566,11.416429,0.785714,19.348182,-17.666667,1.09518,32.24,5.943734,2,0.285714,1,4.957506,measured_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-06,12,-95.0,95.56,-190.56,0.501469,-7.916667,0.25,31.853333,-21.173333,1.504408,95.0,19.0,12,1.0,4,-1.0,negative_fragile_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-07,43,-3.66,277.32,-280.98,0.986974,-0.085116,0.534884,12.057391,-14.049,0.858238,109.41,21.882,43,1.0,5,-0.033452,minor_negative_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-08,51,190.08,465.43,-275.35,1.690321,3.727059,0.607843,15.013871,-13.7675,1.09053,45.5,7.105167,8,0.647059,3,4.177582,measured_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-09,36,274.2,480.5,-206.3,2.329132,7.616667,0.694444,19.22,-18.754545,1.024818,66.74,9.955399,11,0.583333,2,4.108481,measured_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-10,33,244.48,495.93,-251.45,1.972281,7.408485,0.545455,27.551667,-16.763333,1.643567,75.31,10.795275,9,0.666667,5,3.246315,measured_slice
