record_view,tier_scope,candidate_id,candidate_alias,candidate_role,test_id,feature_family,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s258_stc_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,51,-437.18,349.5,-786.68,0.444272,-8.572157,0.392157,17.475,-25.376774,0.688622,441.77,87.550288,49,0.960784,5,-0.98961,deep_negative_or_dd_slice
mt5_ta_s264_aia_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,46,-378.04,250.93,-628.97,0.398954,-8.218261,0.391304,13.940556,-22.463214,0.620595,382.17,75.807827,45,0.978261,5,-0.989193,deep_negative_or_dd_slice
mt5_ta_s264_aia_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,49,-319.36,345.68,-665.04,0.519788,-6.517551,0.469388,15.029565,-25.578462,0.587587,323.49,64.167973,48,0.979592,4,-0.987233,deep_negative_or_dd_slice
mt5_ta_s264_aia_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,48,-319.19,331.53,-650.72,0.509482,-6.649792,0.4375,15.787143,-24.100741,0.655048,323.32,64.134251,47,0.979167,4,-0.987226,deep_negative_or_dd_slice
mt5_ta_s262_lih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_risk(변동성 위험),true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,50,-312.35,341.68,-654.03,0.522423,-6.247,0.44,15.530909,-23.358214,0.664901,316.48,62.777458,49,0.98,4,-0.98695,deep_negative_or_dd_slice
mt5_ta_s258_stc_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,47,-304.16,311.67,-615.83,0.506097,-6.471489,0.446809,14.841429,-23.685769,0.626597,330.42,65.542618,46,0.978723,4,-0.920525,deep_negative_or_dd_slice
mt5_ta_s264_aia_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,month,2024-12,27,-302.52,232.61,-535.13,0.434679,-11.204444,0.37037,23.261,-31.478235,0.738955,346.66,69.332,27,1.0,5,-0.872671,deep_negative_or_dd_slice
mt5_ta_s264_aih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,48,-294.38,308.45,-602.83,0.51167,-6.132917,0.4375,14.688095,-22.327037,0.657861,317.61,63.001607,47,0.979167,4,-0.92686,deep_negative_or_dd_slice
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,49,-292.57,343.08,-635.65,0.539731,-5.970816,0.44898,15.594545,-23.542593,0.662397,304.79,60.458612,48,0.979592,4,-0.959907,deep_negative_or_dd_slice
mt5_ta_s262_lih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,weekday,Monday,49,-289.77,320.04,-609.81,0.524819,-5.913673,0.44898,14.547273,-22.585556,0.644096,293.9,58.298455,48,0.979592,5,-0.985948,deep_negative_or_dd_slice
