stage_num,stage_id,candidate_id,split,source_kind,runtime_status_triplet,expected_rows,feature_ready_count,feature_ready_diff,expected_signal_count,mt5_signal_count,signal_count_diff,proxy_pf,runtime_pf,pf_delta_runtime_minus_proxy,proxy_dd,runtime_dd_percent,dd_delta_runtime_minus_proxy,proxy_trade_count,runtime_trade_count,trade_count_delta_runtime_minus_proxy,proxy_trades_per_day,runtime_trades_per_day,proxy_net_profit,runtime_net_profit,signal_to_trade_ratio,primary_gap,gap_causes,predeclared_gap_taxonomy,metric_fields_used,claim_boundary
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,validation_is,stage11_stability_selected_argmax_joblib_replay,completed/completed/completed,9844,9844,0,614,614,0,0.8401129006633017,0.72,-0.12011290066330171,59.5314950456166,59.46,-0.0714950456166008,,92.0,,3.3551912568306013,0.3382352941176471,,-203.19,0.1498371335504886,signal_compression_execution_gap(신호 압축/실행 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_and_exit_risk_representation_gap(신호 인계 및 청산/위험 표현 간극),"{""proxy_pf"": ""validation_pf"", ""proxy_dd"": ""validation_dd"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""validation_density"", ""proxy_net_profit"": """"}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,oos,stage11_stability_selected_argmax_joblib_replay,completed/completed/completed,7584,7584,0,254,254,0,1.5478691375350877,2.18,0.6321308624649125,10.926086978138084,10.87,-0.05608697813808483,,61.0,,1.938931297709924,0.3128205128205128,,282.71,0.24015748031496062,signal_compression_execution_gap(신호 압축/실행 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_and_exit_risk_representation_gap(신호 인계 및 청산/위험 표현 간극),"{""proxy_pf"": ""oos_pf"", ""proxy_dd"": ""oos_dd"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""oos_density"", ""proxy_net_profit"": """"}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,validation_is,stage15_score_threshold_joblib_replay,completed/completed/completed,9844,9844,0,1094,1094,0,1.0063660085306956,0.91,-0.09636600853069555,17.505989631758602,34.81,17.3040103682414,,200.0,,5.978142076502732,0.7352941176470589,0.010957113467184025,-87.01,0.18281535648994515,signal_compression_execution_gap(신호 압축/실행 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_and_exit_risk_representation_gap(신호 인계 및 청산/위험 표현 간극),"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,oos,stage15_score_threshold_joblib_replay,completed/completed/completed,7584,7584,0,732,732,0,1.0465609217127194,1.16,0.1134390782872805,18.86683855070843,25.75,6.8831614492915705,,125.0,,5.587786259541985,0.6410256410256411,0.04941356451622884,97.98,0.17076502732240437,signal_compression_execution_gap(신호 압축/실행 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_and_exit_risk_representation_gap(신호 인계 및 청산/위험 표현 간극),"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,validation_is,stage18_lifecycle_trade_log_replay,completed/completed/completed,9844,9844,0,1678,1678,0,1.0387833995729927,1.02,-0.018783399572992687,8.872623279528657,26.9,18.02737672047134,,1067.0,,9.426966292134832,3.922794117647059,0.0781215684663134,51.86,0.6358760429082241,"entry_preserved_exit_risk_representation_gap(진입 보존, 청산/위험 표현 간극)","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]","entry_preserved_exit_risk_representation_gap(진입 보존, 청산/위험 표현 간극)","{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,oos,stage18_lifecycle_trade_log_replay,completed/completed/completed,7584,7584,0,1334,1334,0,0.9995299338454778,1.1,0.10047006615452225,7.6068409523916465,25.53,17.923159047608355,,818.0,,10.587301587301587,4.194871794871795,-0.0006355617333938992,227.71,0.6131934032983508,"entry_preserved_exit_risk_representation_gap(진입 보존, 청산/위험 표현 간극)","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]","entry_preserved_exit_risk_representation_gap(진입 보존, 청산/위험 표현 간극)","{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,validation_is,stage19_probability_argmax_replay,completed/completed/completed,9844,9844,0,5849,5849,0,1.0256946570990235,1.12,0.09430534290097659,81.26162980005735,37.75,-43.51162980005735,5849.0,572.0,-5277.0,31.961748633879782,2.1029411764705883,0.28701714041963766,286.87,0.09779449478543341,signal_compression_execution_gap(신호 압축/실행 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_and_exit_risk_representation_gap(신호 인계 및 청산/위험 표현 간극),"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_max_drawdown_percent"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,oos,stage19_probability_argmax_replay,completed/completed/completed,7584,7584,0,4803,4803,0,1.0512177340051903,1.15,0.09878226599480966,41.17784716541726,35.86,-5.3178471654172625,4803.0,445.0,-4358.0,36.66412213740458,2.282051282051282,0.37547514078286787,290.25,0.09265042681657297,signal_compression_execution_gap(신호 압축/실행 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_and_exit_risk_representation_gap(신호 인계 및 청산/위험 표현 간극),"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_max_drawdown_percent"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,validation_is,rule_proxy_table,completed/completed/completed,9844,9844,0,1570,1570,0,1.3266614376938166,1.32,-0.006661437693816552,31.744253285360656,24.46,-7.284253285360656,1570.0,261.0,-1309.0,8.579234972677595,0.9595588235294118,0.7213111537181105,331.79,0.1662420382165605,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_execution_economics_gap(신호 인계/실행/경제성 간극),"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,oos,rule_proxy_table,completed/completed/completed,7584,7584,0,1298,1298,0,1.220645208969599,0.95,-0.270645208969599,20.776566454978163,46.38,25.60343354502184,1298.0,208.0,-1090.0,9.908396946564885,1.0666666666666667,0.31596877771002047,-49.81,0.16024653312788906,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",signal_handoff_execution_economics_gap(신호 인계/실행/경제성 간극),"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
